Name,Level,Class,Race,Type
Burynai_Excavator57,14,Warrior,Burynai,NPC
greater_skeleton27,13,Warrior,Iksar Skeleton,NPC
greater_skeleton45,13,Warrior,Iksar Skeleton,NPC
Burynai_Excavator53,12,Warrior,Burynai,NPC
Burynai_Excavator52,13,Necromancer,Burynai,NPC
Burynai_Excavator51,14,Shadow Knight,Burynai,NPC
lesser_icebone_skeleton10,18,Warrior,Iksar Skeleton,NPC
Burynai_Excavator50,14,Necromancer,Burynai,NPC
scalebone_skeleton26,9,Warrior,Iksar Skeleton,NPC
Burynai_Excavator49,12,Shadow Knight,Burynai,NPC
Burynai_Excavator48,13,Warrior,Burynai,NPC
Burynai_Excavator47,12,Warrior,Burynai,NPC
greater_scalebone19,14,Warrior,Iksar Skeleton,NPC
Burynai_Excavator46,12,Shaman,Burynai,NPC
Burynai_Excavator45,14,Warrior,Burynai,NPC
Burynai_Excavator44,14,Warrior,Burynai,NPC
greater_skeleton42,11,Warrior,Iksar Skeleton,NPC
greater_scalebone18,13,Warrior,Iksar Skeleton,NPC
scalebone_skeleton22,8,Warrior,Iksar Skeleton,NPC
greater_skeleton59,11,Warrior,Iksar Skeleton,NPC
Burynai_Excavator97,16,Warrior,Burynai,NPC
greater_skeleton66,11,Warrior,Iksar Skeleton,NPC
Burynai_Excavator41,14,Shaman,Burynai,NPC
Burynai_Excavator40,14,Warrior,Burynai,NPC
Burynai_Excavator39,13,Necromancer,Burynai,NPC
Burynai_Excavator26,14,Warrior,Burynai,NPC
Burynai_burrower02,10,Warrior,Burynai,NPC
Burynai_Excavator32,16,Warrior,Burynai,NPC
scalebone_skeleton20,8,Warrior,Iksar Skeleton,NPC
Burynai_Excavator24,12,Warrior,Burynai,NPC
greater_skeleton69,12,Warrior,Iksar Skeleton,NPC
Burynai_Excavator29,12,Warrior,Burynai,NPC
Burynai_Excavator28,16,Warrior,Burynai,NPC
Burynai_Excavator27,13,Shadow Knight,Burynai,NPC
Burynai_burrower04,11,Necromancer,Burynai,NPC
Burynai_Excavator12,15,Warrior,Burynai,NPC
Burynai_Excavator11,13,Warrior,Burynai,NPC
scalebone_skeleton17,8,Warrior,Iksar Skeleton,NPC
greater_skeleton60,11,Warrior,Iksar Skeleton,NPC
greater_skeleton56,11,Warrior,Iksar Skeleton,NPC
Burynai_Excavator16,13,Shadow Knight,Burynai,NPC
Burynai_Excavator15,13,Warrior,Burynai,NPC
greater_scalebone13,14,Warrior,Iksar Skeleton,NPC
greater_skeleton51,12,Warrior,Iksar Skeleton,NPC
Burynai_burrower01,10,Shaman,Burynai,NPC
Burynai_Excavator61,14,Shadow Knight,Burynai,NPC
Burynai_Excavator60,14,Warrior,Burynai,NPC
Burynai_Excavator10,12,Necromancer,Burynai,NPC
thick_skulled_skeleton00,14,Warrior,Iksar Skeleton,NPC
greater_skeleton55,13,Warrior,Iksar Skeleton,NPC
lesser_icebone_skeleton14,18,Warrior,Iksar Skeleton,NPC
Burynai_Excavator09,12,Warrior,Burynai,NPC
fingered_skeleton00,12,Warrior,Iksar Skeleton,NPC
Burynai_burrower03,10,Warrior,Burynai,NPC
Burynai_Excavator35,16,Necromancer,Burynai,NPC
greater_skeleton53,11,Warrior,Iksar Skeleton,NPC
greater_skeleton41,11,Warrior,Iksar Skeleton,NPC
Burynai_Excavator08,13,Shaman,Burynai,NPC
lesser_icebone_skeleton02,18,Warrior,Iksar Skeleton,NPC
Burynai_Excavator07,12,Warrior,Burynai,NPC
Burynai_sapper20,16,Necromancer,Burynai,NPC
Burynai_Excavator06,14,Warrior,Burynai,NPC
an_odd_mole00,20,Warrior,Burynai,NPC
Burynai_Excavator78,12,Warrior,Burynai,NPC
Burynai_Excavator77,14,Warrior,Burynai,NPC
Burynai_sapper03,18,Necromancer,Burynai,NPC
Burynai_sapper02,17,Warrior,Burynai,NPC
Burynai_sapper01,16,Shaman,Burynai,NPC
Burynai_Excavator76,13,Shadow Knight,Burynai,NPC
Burynai_Excavator75,13,Shaman,Burynai,NPC
Burynai_Excavator74,15,Shaman,Burynai,NPC
Burynai_sapper00,18,Shadow Knight,Burynai,NPC
Burynai_Excavator73,15,Shaman,Burynai,NPC
Burynai_Excavator02,15,Warrior,Burynai,NPC
Burynai_Excavator62,15,Necromancer,Burynai,NPC
lesser_icebone_skeleton01,18,Warrior,Iksar Skeleton,NPC
Burynai_Excavator72,13,Warrior,Burynai,NPC
Burynai_Excavator71,12,Necromancer,Burynai,NPC
Burynai_Excavator31,15,Shadow Knight,Burynai,NPC
Burynai_Excavator70,14,Necromancer,Burynai,NPC
Burynai_Excavator66,13,Shaman,Burynai,NPC
Burynai_Excavator63,15,Necromancer,Burynai,NPC
Burynai_Excavator21,13,Warrior,Burynai,NPC
Burynai_Excavator65,14,Shadow Knight,Burynai,NPC
greater_skeleton30,13,Warrior,Iksar Skeleton,NPC
Burynai_Excavator56,12,Necromancer,Burynai,NPC
greater_skeleton67,12,Warrior,Iksar Skeleton,NPC
Burynai_Excavator55,15,Warrior,Burynai,NPC
greater_skeleton13,12,Warrior,Iksar Skeleton,NPC
greater_skeleton12,13,Warrior,Iksar Skeleton,NPC
Burynai_Excavator43,14,Warrior,Burynai,NPC
scalebone_skeleton24,8,Warrior,Iksar Skeleton,NPC
Burynai_Excavator42,14,Warrior,Burynai,NPC
Burynai_Excavator38,14,Necromancer,Burynai,NPC
lesser_icebone_skeleton00,16,Warrior,Iksar Skeleton,NPC
scalebone_skeleton08,8,Warrior,Iksar Skeleton,NPC
Burynai_burrower00,11,Warrior,Burynai,NPC
Burynai_Excavator37,12,Warrior,Burynai,NPC
greater_scalebone31,13,Warrior,Iksar Skeleton,NPC
greater_skeleton17,13,Warrior,Iksar Skeleton,NPC
Burynai_sapper21,18,Shadow Knight,Burynai,NPC
greater_skeleton04,12,Warrior,Iksar Skeleton,NPC
lesser_icebone_skeleton09,16,Warrior,Iksar Skeleton,NPC
Burynai_sapper14,18,Warrior,Burynai,NPC
Burynai_Excavator30,14,Shaman,Burynai,NPC
greater_skeleton18,13,Warrior,Iksar Skeleton,NPC
greater_scalebone30,13,Warrior,Iksar Skeleton,NPC
Burynai_Excavator25,14,Warrior,Burynai,NPC
scalebone_skeleton06,7,Warrior,Iksar Skeleton,NPC
Burynai_Sapper12,17,Warrior,Burynai,NPC
Burynai_sapper11,18,Necromancer,Burynai,NPC
Burynai_Excavator01,13,Warrior,Burynai,NPC
Burynai_Excavator23,14,Warrior,Burynai,NPC
Burynai_Excavator22,13,Warrior,Burynai,NPC
lesser_icebone_skeleton08,16,Warrior,Iksar Skeleton,NPC
greater_skeleton34,13,Warrior,Iksar Skeleton,NPC
Burynai_Excavator20,14,Shaman,Burynai,NPC
scalebone_skeleton14,7,Warrior,Iksar Skeleton,NPC
Burynai_Excavator19,14,Warrior,Burynai,NPC
greater_skeleton01,12,Warrior,Iksar Skeleton,NPC
Burynai_Excavator18,15,Warrior,Burynai,NPC
Burynai_Excavator17,12,Warrior,Burynai,NPC
Burynai_Excavator03,14,Warrior,Burynai,NPC
greater_skeleton44,11,Warrior,Iksar Skeleton,NPC
greater_scalebone12,14,Warrior,Iksar Skeleton,NPC
#Burynai_Spelunker00,16,Warrior,Burynai,NPC
Burynai_Excavator00,13,Shaman,Burynai,NPC
lesser_icebone_skeleton05,18,Warrior,Iksar Skeleton,NPC
greater_skeleton78,12,Warrior,Iksar Skeleton,NPC
greater_skeleton77,13,Warrior,Iksar Skeleton,NPC
Burynai_Excavator14,14,Warrior,Burynai,NPC
Burynai_Excavator13,13,Shaman,Burynai,NPC
lesser_charbone_skeleton00,19,Warrior,Iksar Skeleton,NPC
greater_skeleton14,11,Warrior,Iksar Skeleton,NPC
