Name,Level,Class,Race,Type
a_sabertooth_cat06,11,Warrior,Saber-toothed Cat,NPC
a_skeleton01,5,Warrior,Iksar Skeleton,NPC
a_goblin_scout16,3,Warrior,Goblin,NPC
Gikrani_Do`Saraken00,50,Warrior,Iksar,NPC
Gai_Nuhost00,50,Warrior,Iksar,NPC
Klok_Foob00,30,Shopkeeper,Iksar,NPC
a_sabertooth_cat04,10,Warrior,Saber-toothed Cat,NPC
a_sarnak_recruit12,25,Warrior,Sarnak,NPC
Malkez_Glyphen00,50,Warrior,Iksar,NPC
Crusader_Swype00,50,Shadow Knight,Iksar,NPC
a_sarnak_recruit11,25,Warrior,Sarnak,NPC
a_sarnak_recruit06,23,Warrior,Sarnak,NPC
a_sabertooth_grimalkin05,23,Warrior,Saber-toothed Cat,NPC
Trooper_Eshzik00,50,Warrior,Iksar,NPC
a_goblin_soothsayer07,21,Shaman,Goblin,NPC
a_sabertooth_cat03,12,Warrior,Saber-toothed Cat,NPC
a_sabertooth_cat02,10,Warrior,Saber-toothed Cat,NPC
a_sarnak_recruit02,23,Warrior,Sarnak,NPC
Trooper_Digdul00,50,Warrior,Iksar,NPC
Trooper_Hegwez00,50,Warrior,Iksar,NPC
a_sarnak_recruit01,24,Warrior,Sarnak,NPC
goblin_spirit_caller02,22,Shaman,Goblin,NPC
a_goblin_soothsayer05,20,Shaman,Goblin,NPC
a_sabertooth_kit05,7,Warrior,Saber-toothed Cat,NPC
a_sabertooth_tiger00,19,Warrior,Saber-toothed Cat,NPC
a_sabertooth_kitten14,2,Warrior,Saber-toothed Cat,NPC
a_goblin_hunter05,10,Warrior,Goblin,NPC
#Spirit_Sentinel00,65,Warrior,Wolf,NPC
a_sabertooth_kitten13,2,Warrior,Saber-toothed Cat,NPC
an_Iksar_bandit01,8,Warrior,Iksar,NPC
a_goblin_aggressor00,19,Warrior,Goblin,NPC
a_sabertooth_grimalkin03,24,Warrior,Saber-toothed Cat,NPC
charbone_skeleton07,24,Warrior,Iksar Skeleton,NPC
goblin_warlord21,26,Warrior,Goblin,NPC
an_iksar_marauder06,15,Warrior,Iksar,NPC
a_goblin_scout07,2,Warrior,Goblin,NPC
a_sabertooth_tigress07,14,Warrior,Saber-toothed Cat,NPC
Syrik_Iceblood00,60,Warrior,Iksar,NPC
goblin_warlord14,23,Warrior,Goblin,NPC
Astral_Projection00,50,Monk,Human,NPC
war_boned_skeleton01,21,Monk,Iksar Skeleton,NPC
a_goblin_aggressor02,19,Warrior,Goblin,NPC
a_sarnak_recruit17,22,Warrior,Sarnak,NPC
an_Iksar_footpad02,7,Warrior,Iksar,NPC
a_goblin_whelp14,1,Warrior,Goblin,NPC
charbone_skeleton09,27,Warrior,Iksar Skeleton,NPC
goblin_warlord18,25,Warrior,Goblin,NPC
an_explorer03,18,Warrior,Barbarian,NPC
an_iksar_marauder05,15,Warrior,Iksar,NPC
goblin_warlord23,23,Warrior,Goblin,NPC
icebone_skeleton06,22,Warrior,Iksar Skeleton,NPC
a_goblin_warrior09,22,Warrior,Goblin,NPC
an_Iksar_footpad00,6,Warrior,Iksar,NPC
goblin_warlord03,22,Warrior,Goblin,NPC
a_bloodgill_goblin11,37,Warrior,Goblin,NPC
a_bloodgill_goblin10,38,Warrior,Goblin,NPC
a_goblin_scout06,2,Warrior,Goblin,NPC
a_goblin_warrior02,22,Warrior,Goblin,NPC
an_iksar_marauder02,14,Warrior,Iksar,NPC
a_goblin_scout05,4,Warrior,Goblin,NPC
a_goblin_skirmisher02,11,Warrior,Goblin,NPC
a_sabertooth_cub01,3,Warrior,Saber-toothed Cat,NPC
a_sabertooth_tiger03,19,Warrior,Saber-toothed Cat,NPC
a_sabertooth_kitten04,2,Warrior,Saber-toothed Cat,NPC
a_goblin_watcher04,5,Warrior,Goblin,NPC
an_iksar_marauder11,16,Warrior,Iksar,NPC
a_goblin_scout00,4,Warrior,Goblin,NPC
a_goblin_aggressor06,19,Warrior,Goblin,NPC
a_goblin_whelp04,1,Warrior,Goblin,NPC
goblin_spirit_caller04,22,Shaman,Goblin,NPC
a_goblin_watcher01,5,Warrior,Goblin,NPC
skeleton03,4,Warrior,Iksar Skeleton,NPC
#Chancellor_of_Di`Zok00,40,Shaman,Sarnak,NPC
a_sabertooth_kitten02,2,Warrior,Saber-toothed Cat,NPC
a_goblin_warrior04,22,Warrior,Goblin,NPC
greater_skeleton06,13,Warrior,Iksar Skeleton,NPC
a_goblin_soothsayer00,20,Shaman,Goblin,NPC
a_goblin_whelp02,1,Warrior,Goblin,NPC
a_goblin_whelp09,1,Warrior,Goblin,NPC
goblin_warlord01,22,Warrior,Goblin,NPC
a_sabertooth_cat09,10,Warrior,Saber-toothed Cat,NPC
a_sabertooth_grimalkin01,24,Warrior,Saber-toothed Cat,NPC
lesser_charbone_skeleton00,19,Warrior,Iksar Skeleton,NPC
a_sabertooth_tigress04,14,Warrior,Saber-toothed Cat,NPC
a_goblin_warrior06,20,Warrior,Goblin,NPC
skeleton01,6,Warrior,Iksar Skeleton,NPC
a_bloodgill_goblin07,39,Warrior,Goblin,NPC
a_sarnak_recruit46,24,Warrior,Sarnak,NPC
an_iksar_marauder09,14,Warrior,Iksar,NPC
a_bloodgill_goblin05,37,Warrior,Goblin,NPC
an_explorer05,19,Warrior,Barbarian,NPC
a_sarnak_chancellor00,24,Warrior,Sarnak,NPC
a_bloodgill_goblin03,39,Warrior,Goblin,NPC
a_sabertooth_cat01,11,Warrior,Saber-toothed Cat,NPC
a_sabertooth_cat08,10,Warrior,Saber-toothed Cat,NPC
a_sabertooth_kit08,6,Warrior,Saber-toothed Cat,NPC
goblin_warlord02,26,Warrior,Goblin,NPC
charbone_skeleton10,24,Warrior,Iksar Skeleton,NPC
goblin_warlord00,26,Warrior,Goblin,NPC
icebone_skeleton01,22,Warrior,Iksar Skeleton,NPC
a_sabertooth_cat05,11,Warrior,Saber-toothed Cat,NPC
charbone_skeleton00,23,Warrior,Iksar Skeleton,NPC
a_sarnak_recruit43,22,Warrior,Sarnak,NPC
icebone_skeleton00,24,Warrior,Iksar Skeleton,NPC
a_goblin_aggressor05,17,Warrior,Goblin,NPC
a_sarnak_recruit16,21,Warrior,Sarnak,NPC
an_Iksar_brigand01,13,Warrior,Iksar,NPC
an_Iksar_brigand00,13,Warrior,Iksar,NPC
an_iksar_marauder00,14,Warrior,Iksar,NPC
charbone_skeleton06,26,Warrior,Iksar Skeleton,NPC
a_decaying_skeleton00,1,Warrior,Iksar Skeleton,NPC
