Name,Level,Class,Race,Type
an_aviak_guard12,19,Warrior,Aviak,NPC
Ro`ken_Redfeather00,61,Warrior,Aviak,NPC
Vo`ken_Redfeather00,60,Warrior,Aviak,NPC
Go`ken_Redfeather00,60,Warrior,Aviak,NPC
Deep00,58,Monk,Dark Elf,NPC
an_aviak_guard07,20,Warrior,Aviak,NPC
Rykas00,37,Magician,Gnome,NPC
an_aviak_guard06,17,Warrior,Aviak,NPC
an_aviak_guard05,17,Warrior,Aviak,NPC
Emkel_Kabae00,55,Wizard,Human,NPC
Kazen_Fecae00,59,Necromancer,Human,NPC
a_stone_skeleton01,25,Magician,Ancient Skeleton,NPC
a_stone_skeleton00,25,Magician,Ancient Skeleton,NPC
a_fish10,1,Warrior,Fish,NPC
a_freshwater_shark05,15,Warrior,Shark,NPC
a_freshwater_shark04,13,Warrior,Shark,NPC
a_fish09,1,Warrior,Fish,NPC
a_fish08,1,Warrior,Fish,NPC
a_fish07,1,Warrior,Fish,NPC
a_freshwater_shark03,13,Warrior,Shark,NPC
an_aqua_goblin16,11,Warrior,Goblin,NPC
a_froglok00,4,Warrior,Froglok,NPC
a_fish06,1,Warrior,Fish,NPC
a_fish05,1,Warrior,Fish,NPC
a_piranha00,2,Warrior,Piranha,NPC
a_crocodile03,14,Warrior,Alligator,NPC
a_crocodile02,12,Warrior,Alligator,NPC
a_freshwater_shark02,17,Warrior,Shark,NPC
a_fish04,1,Warrior,Fish,NPC
a_crocodile01,11,Warrior,Alligator,NPC
a_crocodile00,15,Warrior,Alligator,NPC
a_fish03,1,Warrior,Fish,NPC
a_fish02,1,Warrior,Fish,NPC
an_aqua_goblin15,11,Warrior,Goblin,NPC
a_fish01,1,Warrior,Fish,NPC
a_goblin_net_master00,31,Shadow Knight,Goblin,NPC
a_freshwater_shark01,14,Warrior,Shark,NPC
an_aqua_goblin14,9,Warrior,Goblin,NPC
a_freshwater_shark00,15,Warrior,Shark,NPC
Misty_Tekcihta00,51,Warrior,Half Elf,NPC
a_boat06,50,Warrior,Boat,NPC
an_aviak_guard03,19,Warrior,Aviak,NPC
a_boat05,50,Warrior,Boat,NPC
a_boat04,50,Warrior,Boat,NPC
a_boat03,50,Warrior,Boat,NPC
a_boat02,50,Warrior,Boat,NPC
a_boat01,50,Warrior,Boat,NPC
a_boat00,50,Warrior,Boat,NPC
an_aviak_guard09,16,Warrior,Aviak,NPC
an_aviak_guard08,16,Warrior,Aviak,NPC
an_aviak_guard11,17,Warrior,Aviak,NPC
