Name,Level,Class,Race,Type
a_shattered_ore_cairn08,55,Warrior,Earth Elemental,NPC
#Miner_Welnik00,60,Warrior,Gnome,NPC
a_fire_drake03,11,Warrior,Drake,NPC
#Kicha00,70,Shopkeeper,Ogre,NPC
a_lesser_lavaspinner07,10,Warrior,Spider,NPC
a_fire_elemental25,9,Warrior,Elemental,NPC
#Kanetheus_Forestwalker00,70,Rogue,Wood Elf,NPC
#Bianca_Galbraith00,70,Shaman,Barbarian,NPC
a_fire_elemental12,9,Warrior,Elemental,NPC
#Gordish_Frozenheart00,70,Wizard,Gnome,NPC
a_shattered_ore_cairn07,54,Warrior,Earth Elemental,NPC
a_shattered_ore_cairn06,54,Warrior,Earth Elemental,NPC
a_firescale_crocodile00,30,Warrior,Basilisk,NPC
a_shattered_ore_cairn05,51,Warrior,Earth Elemental,NPC
a_shattered_ore_cairn04,52,Warrior,Earth Elemental,NPC
a_magma_war_drake02,27,Warrior,Drake,NPC
a_shattered_ore_cairn03,52,Warrior,Earth Elemental,NPC
a_swirling_smoke03,31,Warrior,Dervish,NPC
a_shattered_ore_cairn02,55,Warrior,Earth Elemental,NPC
a_magma_basilisk_warrior00,29,Warrior,Basilisk,NPC
a_shattered_ore_cairn01,53,Warrior,Earth Elemental,NPC
a_shattered_ore_cairn00,54,Warrior,Earth Elemental,NPC
Norrath`s_Keepers_Guard03,60,Warrior,Wood Elf,NPC
a_fire_goblin_scout06,11,Warrior,Goblin,NPC
Norrath`s_Keepers_Guard02,60,Warrior,High Elf,NPC
a_fire_goblin01,11,Warrior,Goblin,NPC
Hykallen00,16,Necromancer,Erudite,NPC
a_fire_elemental26,11,Warrior,Elemental,NPC
a_fire_goblin00,9,Warrior,Goblin,NPC
a_burnt_protector06,21,Warrior,Skeleton,NPC
a_fire_goblin_scout05,10,Warrior,Goblin,NPC
a_burnt_protector05,21,Warrior,Skeleton,NPC
a_fire_goblin_scout04,9,Warrior,Goblin,NPC
a_burnt_protector04,21,Warrior,Skeleton,NPC
#Scorchfist00,12,Warrior,Goblin,NPC
a_fire_elemental11,10,Warrior,Elemental,NPC
a_burnt_protector03,23,Warrior,Skeleton,NPC
a_scorched_lavaspinner_elite09,30,Warrior,Lava Spider,NPC
a_scorched_Lavaspinner_elite07,32,Warrior,Lava Spider,NPC
a_fire_goblin_scout03,11,Warrior,Goblin,NPC
a_fire_goblin_scout02,10,Warrior,Goblin,NPC
a_magma_rockpile16,1,LDoN Object,Rock Pile,NPC
a_burnt_protector01,23,Warrior,Skeleton,NPC
a_cinder_goblin_warrior03,18,Warrior,Goblin,NPC
a_fire_goblin_scout01,11,Warrior,Goblin,NPC
a_fire_goblin_scout00,11,Warrior,Goblin,NPC
a_Lavaspinner12,16,Warrior,Spider,NPC
a_fire_drake27,10,Warrior,Drake,NPC
a_fire_drake23,9,Warrior,Drake,NPC
a_Solusek_goblin_priest01,23,Cleric,Goblin,NPC
a_Solusek_goblin_priest03,24,Cleric,Goblin,NPC
a_Solusek_goblin_sage01,24,Wizard,Goblin,NPC
a_Solusek_goblin_priest02,22,Cleric,Goblin,NPC
a_Solusek_goblin_sage03,22,Wizard,Goblin,NPC
a_scorched_lavaspinner_elite06,28,Warrior,Lava Spider,NPC
a_scorched_lavaspinner_elite05,31,Warrior,Lava Spider,NPC
a_lava_basilisk04,12,Warrior,Basilisk,NPC
a_scorched_lavaspinner_elite04,29,Warrior,Lava Spider,NPC
a_scorched_lavaspinner_elite03,29,Warrior,Lava Spider,NPC
a_scorched_lavaspinner_elite02,30,Warrior,Lava Spider,NPC
a_scorched_lavaspinner_elite01,31,Warrior,Lava Spider,NPC
a_fire_drake11,10,Warrior,Drake,NPC
a_scorched_lavaspinner_elite00,31,Warrior,Lava Spider,NPC
a_magma_basilisk_warrior03,28,Warrior,Basilisk,NPC
a_magma_basilisk_warrior02,28,Warrior,Basilisk,NPC
a_magma_basilisk_warrior01,27,Warrior,Basilisk,NPC
a_fire_elemental19,9,Warrior,Elemental,NPC
a_swirling_smoke02,31,Warrior,Dervish,NPC
a_swirling_smoke01,30,Warrior,Dervish,NPC
a_cinder_goblin_warrior06,20,Warrior,Goblin,NPC
a_swirling_smoke00,31,Warrior,Dervish,NPC
a_cinder_goblin_cleric00,20,Cleric,Goblin,NPC
a_lava_basilisk03,11,Warrior,Basilisk,NPC
a_cinder_goblin_warrior01,19,Warrior,Goblin,NPC
a_cinder_goblin_warrior00,18,Warrior,Goblin,NPC
a_lavaspinner10,16,Warrior,Spider,NPC
a_lavaspinner09,15,Warrior,Spider,NPC
a_lavaspinner08,14,Warrior,Spider,NPC
a_lavaspinner07,14,Warrior,Spider,NPC
a_lavaspinner06,14,Warrior,Spider,NPC
a_burnt_guardian06,14,Warrior,Skeleton,NPC
a_burnt_guardian05,16,Warrior,Skeleton,NPC
a_burnt_guardian04,15,Warrior,Skeleton,NPC
a_burnt_guardian03,15,Warrior,Skeleton,NPC
a_burnt_guardian02,15,Warrior,Skeleton,NPC
a_greater_lavaspinner05,19,Warrior,Lava Spider,NPC
a_burnt_guardian00,16,Warrior,Skeleton,NPC
a_greater_lavaspinner00,18,Warrior,Lava Spider,NPC
