Name,Level,Class,Race,Type
an_Adult_Rockhopper33,37,Warrior,Rockhopper,NPC
an_Adult_Rockhopper32,36,Warrior,Rockhopper,NPC
an_Adult_Rockhopper31,36,Warrior,Rockhopper,NPC
an_Adult_Rockhopper30,37,Warrior,Rockhopper,NPC
a_Stonegrabber23,39,Warrior,Stonegrabber,NPC
an_Adult_Rockhopper29,34,Warrior,Rockhopper,NPC
an_Adult_Rockhopper28,34,Warrior,Rockhopper,NPC
a_Stonegrabber17,41,Warrior,Stonegrabber,NPC
a_ShikNar_Gatherer09,34,Warrior,Shik'Nar,NPC
an_Adult_Rockhopper27,37,Warrior,Rockhopper,NPC
a_ShikNar_Gatherer07,35,Warrior,Shik'Nar,NPC
a_ShikNar_Gatherer06,36,Warrior,Shik'Nar,NPC
an_Adult_Rockhopper26,38,Warrior,Rockhopper,NPC
an_Adult_Rockhopper25,36,Warrior,Rockhopper,NPC
a_Stonegrabber00,40,Warrior,Stonegrabber,NPC
a_ShikNar_Gatherer05,35,Warrior,Shik'Nar,NPC
an_Adult_Rockhopper23,37,Warrior,Rockhopper,NPC
a_Stonegrabber07,41,Warrior,Stonegrabber,NPC
a_Stonegrabber08,38,Warrior,Stonegrabber,NPC
an_Adult_Rockhopper38,35,Warrior,Rockhopper,NPC
a_Mature_Rockhopper23,40,Warrior,Rockhopper,NPC
a_Mature_Rockhopper09,38,Warrior,Rockhopper,NPC
a_ShikNar_Warrior21,36,Warrior,Shik'Nar,NPC
a_Greater_Spire_Spirit11,40,Necromancer,Shade,NPC
a_Lesser_Spire_Spirit12,36,Necromancer,Shade,NPC
a_Mature_Rockhopper13,41,Warrior,Rockhopper,NPC
An_Aggressive_Rockhopper00,35,Warrior,Rockhopper,NPC
an_Adult_Rockhopper21,36,Warrior,Rockhopper,NPC
a_Stonegrabber03,38,Warrior,Stonegrabber,NPC
an_Adult_Rockhopper20,35,Warrior,Rockhopper,NPC
a_Mature_Rockhopper11,40,Warrior,Rockhopper,NPC
a_Mature_Rockhopper10,39,Warrior,Rockhopper,NPC
an_Adult_Rockhopper18,35,Warrior,Rockhopper,NPC
an_Adult_Rockhopper17,36,Warrior,Rockhopper,NPC
a_Mature_Rockhopper08,39,Warrior,Rockhopper,NPC
an_Adult_Rockhopper16,36,Warrior,Rockhopper,NPC
a_Mature_Rockhopper07,39,Warrior,Rockhopper,NPC
a_Mature_Rockhopper06,41,Warrior,Rockhopper,NPC
An_Enslaved_ShikNar01,36,Warrior,Shik'Nar,NPC
An_Enslaved_Hivewatcher02,38,Warrior,Shik'Nar,NPC
A_Corrupted_Hivemistress00,49,Warrior,Shik'Nar,NPC
An_Enslaved_ShikNar00,34,Warrior,Shik'Nar,NPC
An_Enslaved_Hivewatcher01,38,Warrior,Shik'Nar,NPC
An_Enslaved_Hivewatcher00,35,Warrior,Shik'Nar,NPC
a_Stonegrabber02,38,Warrior,Stonegrabber,NPC
a_Mature_Rockhopper05,41,Warrior,Rockhopper,NPC
a_Mature_Rockhopper03,42,Warrior,Rockhopper,NPC
a_Mature_Rockhopper02,41,Warrior,Rockhopper,NPC
a_Mature_Rockhopper25,39,Warrior,Rockhopper,NPC
a_ShikNar_Warrior00,38,Warrior,Shik'Nar,NPC
a_Mature_Rockhopper01,39,Warrior,Rockhopper,NPC
a_Mature_Rockhopper00,38,Warrior,Rockhopper,NPC
an_Adult_Rockhopper03,38,Warrior,Rockhopper,NPC
a_Greater_Spire_Spirit09,43,Necromancer,Shade,NPC
a_ShikNar_Gatherer04,35,Warrior,Shik'Nar,NPC
an_Adult_Rockhopper02,35,Warrior,Rockhopper,NPC
an_Adult_Rockhopper01,36,Warrior,Rockhopper,NPC
a_Stonegrabber01,41,Warrior,Stonegrabber,NPC
a_ShikNar_Gatherer03,35,Warrior,Shik'Nar,NPC
