Name,Level,Class,Race,Type
a_mist_wolf30,5,Warrior,Ancient Wolf,NPC
a_rancorous_ghast02,10,Warrior,Zombie,NPC
a_pixie_prankster04,3,Rogue,Pixie,NPC
a_wasp_soldier09,2,Warrior,Wasp,NPC
a_faerie_maiden04,6,Ranger,Fairy,NPC
a_mist_wolf07,5,Warrior,Ancient Wolf,NPC
a_mist_wolf35,3,Warrior,Ancient Wolf,NPC
a_fae_drake_hatchling06,2,Warrior,Drixie,NPC
a_mist_wolf06,4,Warrior,Ancient Wolf,NPC
Scout_Rahjiq00,15,Warrior,Vah Shir,NPC
a_mist_wolf05,3,Warrior,Ancient Wolf,NPC
a_faerie01,17,Ranger,Fairy,NPC
a_faerie_maiden10,7,Ranger,Fairy,NPC
orc_centurion25,9,Warrior,Orc,NPC
a_skeleton23,5,Warrior,Ancient Skeleton,NPC
orc_centurion24,6,Warrior,Orc,NPC
a_wasp_sentinel03,6,Warrior,Wasp,NPC
a_wasp_soldier07,3,Warrior,Wasp,NPC
Equestrielle_the_Corrupted00,40,Shadow Knight,Unicorn,NPC
a_giant_spider06,9,Warrior,Spider,NPC
a_mist_wolf03,4,Warrior,Ancient Wolf,NPC
a_giant_spider05,8,Warrior,Spider,NPC
Teir`Dal_Elite03,30,Warrior,Dark Elf,NPC
a_giant_spider04,8,Warrior,Spider,NPC
Teir`Dal_Elite02,30,Warrior,Dark Elf,NPC
a_wasp_soldier06,2,Warrior,Wasp,NPC
a_giant_spider03,9,Warrior,Spider,NPC
Teir`Dal_Elite00,30,Warrior,Dark Elf,NPC
a_mist_wolf12,3,Warrior,Ancient Wolf,NPC
a_rancorous_ghast03,10,Warrior,Zombie,NPC
brownie_scout01,41,Druid,Brownie,NPC
a_mist_wolf02,5,Warrior,Ancient Wolf,NPC
a_skeleton02,6,Warrior,Ancient Skeleton,NPC
a_mist_wolf01,5,Warrior,Ancient Wolf,NPC
a_mist_wolf21,3,Warrior,Ancient Wolf,NPC
a_mist_wolf14,3,Warrior,Ancient Wolf,NPC
a_skeleton01,10,Warrior,Ancient Skeleton,NPC
a_mummy01,12,Warrior,Zombie,NPC
a_mummy00,10,Warrior,Zombie,NPC
a_fae_drake_hatchling01,2,Warrior,Drixie,NPC
a_fae_drake05,6,Warrior,Drixie,NPC
a_fae_drake04,6,Warrior,Drixie,NPC
a_fae_drake21,6,Warrior,Drixie,NPC
orc_chief00,19,Warrior,Orc,NPC
orc_centurion15,7,Warrior,Orc,NPC
orc_centurion14,10,Warrior,Orc,NPC
orc_centurion13,9,Warrior,Orc,NPC
orc_centurion12,6,Warrior,Orc,NPC
a_mist_wolf34,5,Warrior,Ancient Wolf,NPC
orc_oracle00,7,Warrior,Orc,NPC
a_fae_drake_hatchling02,2,Warrior,Drixie,NPC
brownie_scout00,39,Druid,Brownie,NPC
a_mist_wolf00,4,Warrior,Ancient Wolf,NPC
a_mist_wolf36,3,Warrior,Ancient Wolf,NPC
a_mist_wolf20,5,Warrior,Ancient Wolf,NPC
orc_centurion09,8,Warrior,Orc,NPC
orc_centurion08,6,Warrior,Orc,NPC
Teir`Dal_Prophet01,30,Cleric,Dark Elf,NPC
Teir`Dal_Prophet00,30,Cleric,Dark Elf,NPC
a_faerie04,15,Ranger,Fairy,NPC
a_faerie_guard03,25,Ranger,Fairy,NPC
Priestess_Llandra00,45,Cleric,Dark Elf,NPC
Dragoon_Szorn00,45,Warrior,Dark Elf,NPC
a_faerie03,16,Ranger,Fairy,NPC
a_faerie02,17,Ranger,Fairy,NPC
a_wasp_soldier12,4,Warrior,Wasp,NPC
a_faerie_guard02,24,Ranger,Fairy,NPC
a_faerie00,15,Ranger,Fairy,NPC
a_faerie_guard01,26,Ranger,Fairy,NPC
a_faerie_guard00,25,Ranger,Fairy,NPC
a_faerie_maiden03,8,Ranger,Fairy,NPC
a_fae_drake03,7,Warrior,Drixie,NPC
an_emperor_fae_drake00,15,Enchanter,Drixie,NPC
a_faerie_maiden00,7,Ranger,Fairy,NPC
a_faerie_maiden08,8,Ranger,Fairy,NPC
a_fae_drake_hatchling00,2,Warrior,Drixie,NPC
a_faerie_maiden07,8,Ranger,Fairy,NPC
a_fae_drake23,7,Warrior,Drixie,NPC
a_fae_drake01,7,Warrior,Drixie,NPC
a_fae_drake00,6,Warrior,Drixie,NPC
a_faerie_maiden06,8,Ranger,Fairy,NPC
a_faerie_maiden05,7,Ranger,Fairy,NPC
a_fae_drake20,7,Warrior,Drixie,NPC
a_faerie_maiden02,6,Ranger,Fairy,NPC
a_bandit02,12,Rogue,Half Elf,NPC
a_faerie_maiden01,8,Ranger,Fairy,NPC
a_mist_wolf13,4,Warrior,Ancient Wolf,NPC
Kayla_Nybright00,12,Rogue,Half Elf,NPC
Anelia_Thrywiel00,35,Shopkeeper,Half Elf,NPC
a_fae_drake19,5,Warrior,Drixie,NPC
Happ_Dremblenod00,35,Magician,Gnome,NPC
Saben_Tucross00,21,Warrior,Gnome,NPC
Cognoggin00,13,Warrior,Clockwork Gnome,NPC
Bin_Fiddlekins00,30,Wizard,Gnome,NPC
Trudo_Frugrin00,21,Wizard,Gnome,NPC
orc_centurion07,7,Warrior,Orc,NPC
a_rancorous_ghast04,9,Warrior,Zombie,NPC
a_skeleton00,10,Warrior,Ancient Skeleton,NPC
Gearheart00,26,Warrior,Clockwork Gnome,NPC
a_brownie_guard01,45,Druid,Brownie,NPC
a_brownie_guard00,45,Druid,Brownie,NPC
a_brownie_farmer00,15,Druid,Brownie,NPC
a_brownie02,15,Druid,Brownie,NPC
a_brownie01,15,Druid,Brownie,NPC
pained_unicorn00,60,Warrior,Unicorn,NPC
a_brownie00,15,Druid,Brownie,NPC
a_brownie_merchant02,30,Shopkeeper,Brownie,NPC
a_brownie_merchant01,30,Shopkeeper,Brownie,NPC
