Name,Level,Class,Race,Type
Xin_Thall_Centien42,52,Cleric,Akheva,NPC
Xin_Thall_Centien41,52,Cleric,Akheva,NPC
Xin_Thall_Centien40,53,Shadow Knight,Akheva,NPC
Xin_Thall_Centien39,53,Cleric,Akheva,NPC
Xin_Thall_Centien38,51,Shadow Knight,Akheva,NPC
Xin_Thall_Centien37,54,Cleric,Akheva,NPC
Xin_Thall_Centien36,54,Shadow Knight,Akheva,NPC
Xin_Thall_Centien35,52,Shadow Knight,Akheva,NPC
Xin_Thall_Centien34,52,Cleric,Akheva,NPC
Xin_Thall_Centien33,53,Shadow Knight,Akheva,NPC
Xin_Thall_Centien32,54,Cleric,Akheva,NPC
Xin_Thall_Centien31,50,Cleric,Akheva,NPC
Xin_Thall_Centien30,53,Cleric,Akheva,NPC
Xin_Thall_Centien29,54,Cleric,Akheva,NPC
Xin_Thall_Centien28,53,Shadow Knight,Akheva,NPC
Xin_Thall_Centien27,51,Cleric,Akheva,NPC
Xin_Thall_Centien26,54,Shadow Knight,Akheva,NPC
Xin_Thall_Centien25,55,Shadow Knight,Akheva,NPC
Xin_Thall_Centien24,51,Shadow Knight,Akheva,NPC
Xin_Thall_Centien23,51,Shadow Knight,Akheva,NPC
Xin_Thall_Centien22,51,Cleric,Akheva,NPC
Xin_Thall_Centien21,52,Cleric,Akheva,NPC
Xin_Thall_Centien20,54,Cleric,Akheva,NPC
Xin_Thall_Centien19,55,Shadow Knight,Akheva,NPC
Xi_Vius27,49,Shadow Knight,Shade,NPC
an_umbrous_toiler28,47,Warrior,Tegi,NPC
Xi_Vius13,51,Shadow Knight,Shade,NPC
Xin_Thall_Centien18,54,Shadow Knight,Akheva,NPC
Xin_Thall_Centien17,52,Shadow Knight,Akheva,NPC
Xi_Xaui12,51,Cleric,Shade,NPC
an_umbrous_toiler27,46,Warrior,Tegi,NPC
Xi_Xaui11,52,Cleric,Shade,NPC
Xi_Vius12,52,Shadow Knight,Shade,NPC
Xi_Xaui05,51,Cleric,Shade,NPC
an_umbrous_toiler25,46,Warrior,Tegi,NPC
an_umbrous_toiler24,45,Warrior,Tegi,NPC
an_umbrous_toiler23,46,Warrior,Tegi,NPC
an_umbrous_toiler22,45,Warrior,Tegi,NPC
an_umbrous_toiler21,46,Warrior,Tegi,NPC
an_umbrous_toiler20,45,Warrior,Tegi,NPC
an_umbrous_toiler19,47,Warrior,Tegi,NPC
an_umbrous_toiler18,46,Warrior,Tegi,NPC
an_umbrous_toiler17,49,Warrior,Tegi,NPC
an_umbrous_toiler16,47,Warrior,Tegi,NPC
