Name,Level,Class,Race,Type
a_spiritish_ancille00,30,Wizard,Dark Elf,NPC
a_ghostly_ancille00,34,Wizard,Dark Elf,NPC
a_hemo_enologist00,33,Warrior,Dark Elf,NPC
a_deathly_harbinger00,35,Warrior,Dark Elf,NPC
a_deathly_usher11,29,Warrior,Dark Elf,NPC
a_dark_offerer04,29,Necromancer,Dark Elf,NPC
a_flouting_gargoyle03,33,Warrior,Gargoyle,NPC
a_flouting_gargoyle01,32,Warrior,Gargoyle,NPC
a_deathly_usher10,30,Warrior,Dark Elf,NPC
a_deathly_herald04,32,Warrior,Dark Elf,NPC
a_shadowy_scrivener01,30,Wizard,Dark Elf,NPC
a_deathly_usher09,31,Warrior,Dark Elf,NPC
a_deathly_usher07,30,Warrior,Dark Elf,NPC
a_deathly_usher06,29,Warrior,Dark Elf,NPC
an_undead_knight_00,40,Warrior,Ancient Skeleton,NPC
a_Mistmoore_guard00,17,Necromancer,Dark Elf,NPC
an_advisor00,35,Wizard,Dark Elf,NPC
a_pledge_familiar04,19,Warrior,Dark Elf,NPC
an_initiate_familiar12,23,Warrior,Dark Elf,NPC
an_initiate_familiar11,22,Rogue,Dark Elf,NPC
a_pledge_familiar03,20,Warrior,Dark Elf,NPC
Enynti00,26,Warrior,Dark Elf,NPC
an_initiate_familiar05,22,Rogue,Dark Elf,NPC
an_initiate_familiar04,23,Wizard,Dark Elf,NPC
an_initiate_familiar03,23,Rogue,Dark Elf,NPC
a_deathly_herald07,32,Warrior,Dark Elf,NPC
an_initiate_familiar00,21,Rogue,Dark Elf,NPC
a_flouting_gargoyle05,33,Warrior,Gargoyle,NPC
a_leering_gargoyle00,36,Warrior,Gargoyle,NPC
a_ghoulish_ancille03,30,Warrior,Dark Elf,NPC
a_grinning_gargoyle00,24,Warrior,Gargoyle,NPC
a_glyphed_sentry01,28,Warrior,Dark Elf,NPC
a_pledge_familiar01,21,Warrior,Dark Elf,NPC
a_vampiric_ancille04,33,Warrior,Dark Elf,NPC
a_vampiric_ancille03,35,Warrior,Dark Elf,NPC
a_pledge_familiar00,19,Rogue,Dark Elf,NPC
a_ghastish_ancille00,32,Warrior,Dark Elf,NPC
an_initiate_familiar02,21,Warrior,Dark Elf,NPC
a_ghoulish_ancille02,29,Warrior,Dark Elf,NPC
a_ghoulish_ancille01,29,Warrior,Dark Elf,NPC
a_glyphed_guard03,27,Warrior,Dark Elf,NPC
a_wightish_ancille01,31,Necromancer,Dark Elf,NPC
an_initiate_familiar01,23,Warrior,Dark Elf,NPC
a_wightish_ancille00,31,Necromancer,Dark Elf,NPC
a_ghoulish_ancille00,29,Warrior,Dark Elf,NPC
an_imp_familiar00,29,Warrior,Imp,NPC
a_glyphed_guard01,26,Warrior,Dark Elf,NPC
a_glyphed_warder00,25,Cleric,Dark Elf,NPC
a_glyphed_guard00,25,Warrior,Dark Elf,NPC
a_glyphed_sentry00,29,Warrior,Dark Elf,NPC
a_jeering_gargoyle10,29,Warrior,Gargoyle,NPC
a_flouting_gargoyle09,33,Warrior,Gargoyle,NPC
a_dark_sacrificer01,31,Necromancer,Dark Elf,NPC
a_deathly_herald06,33,Warrior,Dark Elf,NPC
a_gypsy_musician02,30,Rogue,Human,NPC
a_gypsy_musician01,31,Rogue,Human,NPC
a_jeering_gargoyle09,29,Warrior,Gargoyle,NPC
a_jeering_gargoyle08,28,Warrior,Gargoyle,NPC
a_gypsy_musician00,29,Rogue,Human,NPC
a_gypsy_dancer00,24,Rogue,Human,NPC
a_shadowy_sage02,35,Wizard,Dark Elf,NPC
a_deathly_usher13,29,Warrior,Dark Elf,NPC
a_dark_ritualist02,35,Necromancer,Dark Elf,NPC
a_negotiator00,32,Enchanter,Dark Elf,NPC
a_deathly_usher12,31,Warrior,Dark Elf,NPC
a_deathly_herald05,31,Warrior,Dark Elf,NPC
a_dark_elf_noble00,33,Wizard,Dark Elf,NPC
a_deathly_usher05,31,Warrior,Dark Elf,NPC
a_deathly_herald03,32,Warrior,Dark Elf,NPC
Eirod_Haerod00,33,Warrior,Dark Elf,NPC
a_shadowy_scrivener02,29,Wizard,Dark Elf,NPC
a_deathly_usher01,29,Warrior,Dark Elf,NPC
a_shadowy_scrivener00,29,Wizard,Dark Elf,NPC
a_flouting_gargoyle02,33,Warrior,Gargoyle,NPC
a_thought_corruptor01,32,Wizard,Vampire,NPC
a_soul_inveigling01,33,Necromancer,Vampire,NPC
a_will_sapper04,31,Warrior,Vampire,NPC
