Name,Level,Class,Race,Type
a_young_kodiak00,9,Warrior,Bear,NPC
a_giant_bat03,5,Warrior,Bat,NPC
a_large_bat10,5,Warrior,Bat,NPC
a_tree_snake00,4,Warrior,Snake,NPC
a_large_wood_spider00,3,Warrior,Spider,NPC
a_giant_thicket_rat09,7,Warrior,Rat,NPC
a_thorn_drakeling00,4,Warrior,Drake,NPC
a_giant_fruit_bat01,7,Warrior,Bat,NPC
a_large_fruit_bat05,5,Warrior,Bat,NPC
a_bixie_drone02,2,Ranger,Bixie,NPC
a_giant_bat02,6,Warrior,Bat,NPC
a_black_wolf09,1,Warrior,Ancient Wolf,NPC
a_giant_bat01,7,Warrior,Bat,NPC
a_giant_bat00,7,Warrior,Bat,NPC
a_large_bat09,4,Warrior,Bat,NPC
a_large_bat08,3,Warrior,Bat,NPC
a_large_bat07,5,Warrior,Bat,NPC
a_large_bat06,5,Warrior,Bat,NPC
a_shadow_wolf07,3,Warrior,Ancient Wolf,NPC
a_large_fruit_bat04,5,Warrior,Bat,NPC
a_large_bat05,5,Warrior,Bat,NPC
a_large_bat04,4,Warrior,Bat,NPC
a_black_wolf05,1,Warrior,Ancient Wolf,NPC
a_large_bat03,5,Warrior,Bat,NPC
Mooto00,9,Shaman,Goblin,NPC
a_large_fruit_bat03,5,Warrior,Bat,NPC
a_halfling_zombie02,9,Warrior,Zombie,NPC
a_giant_thicket_rat08,8,Warrior,Rat,NPC
a_halfling_zombie01,8,Warrior,Zombie,NPC
a_halfling_skeleton07,5,Warrior,Ancient Skeleton,NPC
a_halfling_skeleton06,6,Warrior,Ancient Skeleton,NPC
a_giant_thicket_rat14,7,Warrior,Rat,NPC
a_giant_thicket_rat13,9,Warrior,Rat,NPC
a_large_rat04,1,Warrior,Rat,NPC
#Old_Gourdhead00,1,Warrior,Scarecrow,NPC
a_giant_thicket_rat12,8,Warrior,Rat,NPC
a_moss_snake03,1,Warrior,Snake,NPC
a_giant_thicket_rat07,9,Warrior,Rat,NPC
a_bat15,1,Warrior,Bat,NPC
a_diseased_rat06,4,Warrior,Rat,NPC
a_giant_thicket_rat06,8,Warrior,Rat,NPC
orc_centurion00,11,Warrior,Orc,NPC
a_diseased_rat05,3,Warrior,Rat,NPC
a_bat06,1,Warrior,Bat,NPC
a_goblin_warrior04,9,Warrior,Goblin,NPC
a_moss_snake07,1,Warrior,Snake,NPC
a_spiderling07,1,Warrior,Spider,NPC
a_bat11,1,Warrior,Bat,NPC
orc_centurion05,11,Warrior,Orc,NPC
a_bixie07,1,Ranger,Bixie,NPC
a_diseased_rat02,4,Warrior,Rat,NPC
a_large_yellowjacket01,6,Warrior,Wasp,NPC
a_diseased_rat01,3,Warrior,Rat,NPC
a_fire_beetle18,2,Warrior,Beetle,NPC
a_giant_thicket_rat15,8,Warrior,Rat,NPC
a_black_wolf01,1,Warrior,Ancient Wolf,NPC
a_fire_beetle16,2,Warrior,Beetle,NPC
a_Klaknak_drone00,2,Warrior,Beetle,NPC
a_giant_bat07,5,Warrior,Bat,NPC
Deputy_Eigon00,30,Warrior,Halfling,NPC
a_bat04,1,Warrior,Bat,NPC
a_giant_thicket_rat10,7,Warrior,Rat,NPC
a_bat01,1,Warrior,Bat,NPC
a_large_wood_spider04,3,Warrior,Spider,NPC
a_giant_scarab03,11,Warrior,Beetle,NPC
a_black_wolf03,1,Warrior,Ancient Wolf,NPC
a_spiderling03,2,Warrior,Spider,NPC
a_black_wolf00,1,Warrior,Ancient Wolf,NPC
a_large_rat12,1,Warrior,Rat,NPC
Deputy_Keld00,25,Warrior,Halfling,NPC
Deputy_Asler00,30,Warrior,Halfling,NPC
a_moss_snake00,1,Warrior,Snake,NPC
a_bixie00,1,Ranger,Bixie,NPC
a_Klaknak_warrior00,2,Warrior,Beetle,NPC
a_black_wolf07,1,Warrior,Ancient Wolf,NPC
a_Klaknak_warrior01,2,Warrior,Beetle,NPC
a_tree_snake02,6,Warrior,Snake,NPC
a_fire_beetle00,2,Warrior,Beetle,NPC
a_giant_thicket_rat05,7,Warrior,Rat,NPC
a_halfling_skeleton04,5,Warrior,Ancient Skeleton,NPC
a_diseased_rat03,3,Warrior,Rat,NPC
a_giant_thicket_rat04,9,Warrior,Rat,NPC
a_halfling_skeleton03,4,Warrior,Ancient Skeleton,NPC
a_halfling_skeleton02,6,Warrior,Ancient Skeleton,NPC
a_giant_thicket_rat03,8,Warrior,Rat,NPC
a_giant_thicket_rat02,8,Warrior,Rat,NPC
a_spiderling10,1,Warrior,Spider,NPC
a_diseased_rat00,3,Warrior,Rat,NPC
a_thorn_drakeling01,4,Warrior,Drake,NPC
a_giant_thicket_rat00,7,Warrior,Rat,NPC
orc_centurion09,11,Warrior,Orc,NPC
orc_centurion08,11,Warrior,Orc,NPC
orc_centurion07,11,Warrior,Orc,NPC
a_bat14,1,Warrior,Bat,NPC
orc_centurion06,11,Warrior,Orc,NPC
a_large_rat07,1,Warrior,Rat,NPC
orc_centurion04,11,Warrior,Orc,NPC
orc_centurion03,11,Warrior,Orc,NPC
orc_centurion02,11,Warrior,Orc,NPC
a_bixie_drone00,2,Ranger,Bixie,NPC
a_large_bat00,7,Warrior,Bat,NPC
Lil_Honeybugger00,2,Druid,Halfling,NPC
a_skeleton00,6,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton00,1,Warrior,Ancient Skeleton,NPC
Relia_Wastein00,15,Druid,Halfling,NPC
Faano_Windmaker00,15,Druid,Halfling,NPC
a_goblin_warrior14,10,Warrior,Goblin,NPC
a_goblin_warrior13,10,Warrior,Goblin,NPC
a_goblin_warrior12,8,Warrior,Goblin,NPC
a_goblin_warrior11,10,Warrior,Goblin,NPC
a_goblin_warrior10,8,Warrior,Goblin,NPC
a_goblin_warrior09,9,Warrior,Goblin,NPC
a_goblin_warrior08,8,Warrior,Goblin,NPC
a_goblin_warrior07,8,Warrior,Goblin,NPC
a_moss_snake08,1,Warrior,Snake,NPC
a_goblin_warrior06,10,Warrior,Goblin,NPC
Joogl_Honeybugger00,10,Druid,Halfling,NPC
Hanga_Wiskin00,30,Shopkeeper,Halfling,NPC
Topper_Drodo00,30,Shopkeeper,Halfling,NPC
a_large_wood_spider11,5,Warrior,Spider,NPC
Tipa_Lighten00,30,Shopkeeper,Halfling,NPC
Sonsa_Fromp00,25,Shopkeeper,Halfling,NPC
Bim_Buskin00,30,Shopkeeper,Halfling,NPC
Deputy_Tagil00,50,Warrior,Halfling,NPC
a_shadow_wolf05,3,Warrior,Ancient Wolf,NPC
Deputy_Vastin00,50,Warrior,Halfling,NPC
Deputy_Felp00,25,Warrior,Halfling,NPC
Deputy_Looh00,27,Warrior,Halfling,NPC
Deputy_Budo00,39,Warrior,Halfling,NPC
Deputy_Drebo00,29,Warrior,Halfling,NPC
a_large_rat02,1,Warrior,Rat,NPC
orc_centurion01,11,Warrior,Orc,NPC
a_large_yellowjacket02,5,Warrior,Wasp,NPC
Fajio_Knejo00,55,Warrior,Wood Elf,NPC
Ella_Foodcrafter00,50,Druid,Halfling,NPC
a_goblin_warrior05,8,Warrior,Goblin,NPC
a_shadow_wolf03,4,Warrior,Ancient Wolf,NPC
a_goblin_warrior03,8,Warrior,Goblin,NPC
a_goblin_warrior02,10,Warrior,Goblin,NPC
a_goblin_warrior01,10,Warrior,Goblin,NPC
Rusbek_the_Inhospitable00,11,Rogue,Halfling,NPC
a_spiderling02,2,Warrior,Spider,NPC
epicurean_halfling00,15,Druid,Halfling,NPC
a_tree_snake04,4,Warrior,Snake,NPC
a_black_bear04,5,Warrior,Bear,NPC
a_large_thicket_rat02,3,Warrior,Rat,NPC
a_halfling_skeleton00,4,Warrior,Ancient Skeleton,NPC
a_black_bear01,5,Warrior,Bear,NPC
a_shadow_wolf06,3,Warrior,Ancient Wolf,NPC
a_giant_scarab04,9,Warrior,Beetle,NPC
a_large_rat05,1,Warrior,Rat,NPC
a_black_wolf10,1,Warrior,Ancient Wolf,NPC
a_bixie03,1,Ranger,Bixie,NPC
a_bixie_drone03,2,Ranger,Bixie,NPC
a_large_thicket_rat01,5,Warrior,Rat,NPC
a_black_bear02,3,Warrior,Bear,NPC
a_tree_snake03,4,Warrior,Snake,NPC
a_spiderling04,2,Warrior,Spider,NPC
a_spiderling06,1,Warrior,Spider,NPC
a_bixie_queen00,3,Shaman,Bixie,NPC
a_tree_snake10,4,Warrior,Snake,NPC
a_bat00,1,Warrior,Bat,NPC
a_giant_bat04,7,Warrior,Bat,NPC
a_giant_scarab00,9,Warrior,Beetle,NPC
a_spiderling01,2,Warrior,Spider,NPC
a_fire_beetle03,2,Warrior,Beetle,NPC
a_goblin_warrior17,10,Warrior,Goblin,NPC
a_large_rat09,1,Warrior,Rat,NPC
a_large_wood_spider05,5,Warrior,Spider,NPC
a_tree_snake05,5,Warrior,Snake,NPC
a_large_fruit_bat01,5,Warrior,Bat,NPC
a_black_wolf02,1,Warrior,Ancient Wolf,NPC
a_giant_scarab01,11,Warrior,Beetle,NPC
Cozy00,9,Warrior,Ancient Wolf,NPC
Rufus00,7,Warrior,Ancient Wolf,NPC
a_fire_beetle08,2,Warrior,Beetle,NPC
a_fire_beetle02,2,Warrior,Beetle,NPC
a_large_wood_spider13,3,Warrior,Spider,NPC
Ember00,1,Warrior,Beetle,NPC
a_spiderling09,1,Warrior,Spider,NPC
a_bixie01,1,Ranger,Bixie,NPC
a_black_wolf12,1,Warrior,Ancient Wolf,NPC
a_large_fruit_bat00,5,Warrior,Bat,NPC
a_tree_snake07,4,Warrior,Snake,NPC
a_large_rat08,1,Warrior,Rat,NPC
#Dreezil_Stickens00,120,Rogue,Halfling,NPC
a_shadow_wolf00,5,Warrior,Ancient Wolf,NPC
#a_tired_farmer00,12,Druid,Halfling,NPC
