Name,Level,Class,Race,Type
a_Stonegrabber23,24,Warrior,Stonegrabber,NPC
a_Stonegrabber22,27,Warrior,Stonegrabber,NPC
a_Stonegrabber31,25,Warrior,Stonegrabber,NPC
a_Weathered_Stonegrabber07,28,Warrior,Stonegrabber,NPC
a_Greyhopper20,20,Warrior,Rockhopper,NPC
a_Greyhopper19,23,Warrior,Rockhopper,NPC
a_Stonegrabber16,26,Warrior,Stonegrabber,NPC
a_Stonegrabber15,26,Warrior,Stonegrabber,NPC
a_Stonegrabber14,27,Warrior,Stonegrabber,NPC
a_Stonegrabber08,26,Warrior,Stonegrabber,NPC
a_Weathered_Stonegrabber00,24,Warrior,Stonegrabber,NPC
a_Stonegrabber26,25,Warrior,Stonegrabber,NPC
a_Greyhopper11,24,Warrior,Rockhopper,NPC
a_Stonegrabber02,28,Warrior,Stonegrabber,NPC
a_Stonegrabber01,27,Warrior,Stonegrabber,NPC
a_Crumbling_Stonegrabber02,26,Warrior,Stonegrabber,NPC
a_Crumbling_Stonegrabber00,24,Warrior,Stonegrabber,NPC
a_Stonegrabber25,28,Warrior,Stonegrabber,NPC
a_Stonegrabber53,26,Warrior,Stonegrabber,NPC
a_Stonegrabber24,25,Warrior,Stonegrabber,NPC
a_Stonegrabber80,28,Warrior,Stonegrabber,NPC
a_Hand_of_Seru00,27,Ranger,Human,NPC
a_Stonegrabber09,27,Warrior,Stonegrabber,NPC
a_Stonegrabber21,25,Warrior,Stonegrabber,NPC
a_Stonegrabber20,24,Warrior,Stonegrabber,NPC
a_Stonegrabber52,26,Warrior,Stonegrabber,NPC
a_Stonegrabber19,27,Warrior,Stonegrabber,NPC
a_Greyhopper10,20,Warrior,Rockhopper,NPC
a_Recuso23,29,Rogue,Recuso,NPC
a_Recuso22,24,Ranger,Recuso,NPC
a_Recuso_Hunter03,23,Cleric,Recuso,NPC
a_Recuso20,21,Warrior,Recuso,NPC
a_Hand_of_Seru11,29,Ranger,Human,NPC
a_Crumbling_Stonegrabber01,25,Warrior,Stonegrabber,NPC
a_Stonegrabber17,28,Warrior,Stonegrabber,NPC
a_Greyhopper62,24,Warrior,Rockhopper,NPC
a_Stonegrabber76,27,Warrior,Stonegrabber,NPC
Reothe00,40,Warrior,Recuso,NPC
a_Greyhopper28,23,Warrior,Rockhopper,NPC
a_Recuso24,29,Rogue,Recuso,NPC
a_Stonegrabber60,28,Warrior,Stonegrabber,NPC
a_Greyhopper59,24,Warrior,Rockhopper,NPC
a_Stonegrabber41,28,Warrior,Stonegrabber,NPC
a_Stonegrabber11,28,Warrior,Stonegrabber,NPC
a_Stonegrabber12,24,Warrior,Stonegrabber,NPC
a_Stonegrabber06,25,Warrior,Stonegrabber,NPC
a_Greyhopper18,20,Warrior,Rockhopper,NPC
a_Stonegrabber67,25,Warrior,Stonegrabber,NPC
a_Greyhopper17,22,Warrior,Rockhopper,NPC
a_Stonegrabber66,25,Warrior,Stonegrabber,NPC
a_Greyhopper16,22,Warrior,Rockhopper,NPC
a_Recuso27,21,Warrior,Recuso,NPC
a_Recuso19,21,Warrior,Recuso,NPC
a_Recuso18,20,Ranger,Recuso,NPC
a_Recuso17,24,Ranger,Recuso,NPC
a_Stonegrabber63,25,Warrior,Stonegrabber,NPC
a_Stonegrabber50,26,Warrior,Stonegrabber,NPC
a_Stonegrabber84,28,Warrior,Stonegrabber,NPC
a_Stonegrabber83,27,Warrior,Stonegrabber,NPC
a_Stonegrabber30,25,Warrior,Stonegrabber,NPC
a_Recuso10,29,Rogue,Recuso,NPC
a_Stonegrabber29,24,Warrior,Stonegrabber,NPC
a_Hand_of_Seru05,31,Ranger,Human,NPC
a_Hand_of_Seru04,29,Warrior,Human,NPC
a_Stonegrabber82,28,Warrior,Stonegrabber,NPC
a_Stonegrabber81,24,Warrior,Stonegrabber,NPC
a_Stonegrabber05,24,Warrior,Stonegrabber,NPC
a_Stonegrabber04,28,Warrior,Stonegrabber,NPC
a_Stonegrabber62,24,Warrior,Stonegrabber,NPC
#The_Fabled_Ancient_Zelniak00,50,Warrior,Zelniak,NPC
a_Stonegrabber32,27,Warrior,Stonegrabber,NPC
a_Stonegrabber00,24,Warrior,Stonegrabber,NPC
a_Crumbling_Stonegrabber09,28,Warrior,Stonegrabber,NPC
a_Crumbling_Stonegrabber08,28,Warrior,Stonegrabber,NPC
a_Recuso15,21,Warrior,Recuso,NPC
