Name,Level,Class,Race,Type
a Dungeon Rot infected56,49,Shaman,Troll,NPC
a Dungeon Rot infected44,44,Shaman,Troll,NPC
an_incubator_operator10,54,Warrior,Luggald,NPC
a_luggald_chosen11,56,Warrior,Luggald,NPC
a Dungeon Rot infected06,52,Shaman,Troll,NPC
a_luggald_apprentice00,55,Cleric,Luggalds,NPC
a_conscript_of_Innoruuk00,58,Warrior,Luggalds,NPC
a_luggald_overseer01,58,Warrior,Luggalds,NPC
a_luggald_guardian09,58,Warrior,Luggald,NPC
a_Broken_Skull_acolyte00,56,Warrior,Troll,NPC
a_Broken_Skull_seeker00,53,Warrior,Troll,NPC
a_luggald_guardian08,58,Warrior,Luggald,NPC
an_incubator_operator09,54,Warrior,Luggald,NPC
a_wretched_servant01,54,Warrior,Luggald,NPC
an_incubator_operator08,54,Warrior,Luggald,NPC
a_luggald_chosen10,56,Warrior,Luggald,NPC
a_chosen_of_Innoruuk01,56,Warrior,Luggald,NPC
a_luggald_guardian07,58,Warrior,Luggald,NPC
an_incubator_operator07,54,Warrior,Luggald,NPC
a_luggald_guardian06,58,Warrior,Luggald,NPC
a_luggald_guardian05,58,Warrior,Luggald,NPC
a_luggald_guardian04,58,Warrior,Luggald,NPC
a_luggald_guardian03,58,Warrior,Luggald,NPC
a_luggald_guardian02,58,Warrior,Luggald,NPC
a_wretched_servant00,54,Warrior,Luggald,NPC
a_luggald_chosen09,56,Warrior,Luggald,NPC
an_incubator_operator06,54,Warrior,Luggald,NPC
a_luggald_chosen08,56,Warrior,Luggald,NPC
an_incubator_operator05,54,Warrior,Luggald,NPC
a_luggald_guardian01,58,Warrior,Luggald,NPC
a_luggald_chosen07,56,Warrior,Luggald,NPC
a_luggald_chosen06,56,Warrior,Luggald,NPC
a_shady_smuggler00,70,Warrior,Luggalds,NPC
a_chosen_of_Innoruuk00,56,Warrior,Luggald,NPC
an_incubator_operator04,54,Warrior,Luggald,NPC
a_luggald_guardian00,58,Warrior,Luggald,NPC
an_incubator_operator03,54,Warrior,Luggald,NPC
a_luggald_chosen05,56,Warrior,Luggald,NPC
a_Luggald_Ambassador00,50,Warrior,Luggalds,NPC
a_luggald_chosen04,56,Warrior,Luggald,NPC
a Dungeon Rot infected08,48,Shaman,Troll,NPC
a_luggald_chosen03,56,Warrior,Luggald,NPC
a_luggald_apprentice04,55,Cleric,Luggalds,NPC
a_luggald_chosen02,56,Warrior,Luggald,NPC
a_luggald_apprentice03,55,Cleric,Luggalds,NPC
a_luggald_chosen01,56,Warrior,Luggald,NPC
a_bloodtusk_beast01,53,Warrior,War Boar,NPC
a_luggald_chosen00,56,Warrior,Luggald,NPC
an_incubator_operator02,54,Warrior,Luggald,NPC
an_incubator_operator01,54,Warrior,Luggald,NPC
an_incubator_operator00,54,Warrior,Luggald,NPC
a_soaked_crewman05,50,Warrior,Troll Zombie,NPC
a_sodden_crewman11,56,Warrior,Troll Zombie,NPC
a_waterlogged_crewman15,54,Warrior,Troll Zombie,NPC
a_war_torn_spirit01,58,Warrior,Troll Zombie,NPC
a_waterlogged_crewman14,54,Warrior,Troll Zombie,NPC
#High_Priest_Bloodspear00,40,Shaman,Troll,NPC
a_sodden_crewman09,56,Warrior,Troll Zombie,NPC
a_sodden_crewman08,56,Warrior,Troll Zombie,NPC
an_animated_mercenary03,56,Warrior,Troll Zombie,NPC
a_waterlogged_crewman13,54,Warrior,Troll Zombie,NPC
a_soot_covered_miner06,48,Warrior,Troll,NPC
a_waterlogged_crewman12,54,Warrior,Troll Zombie,NPC
a_Blackhand_guardian05,48,Warrior,Troll,NPC
