Name,Level,Class,Race,Type
a_magician09,21,Magician,Dark Elf,NPC
a_greater_skeleton01,13,Warrior,Ancient Skeleton,NPC
a_magician07,14,Magician,Dark Elf,NPC
a_magician06,17,Magician,Dark Elf,NPC
a_greater_skeleton00,11,Warrior,Ancient Skeleton,NPC
Moosh00,21,Warrior,Ogre,NPC
a_magician03,21,Magician,Dark Elf,NPC
an_earth_elemental03,13,Warrior,Elemental,NPC
dark-boned_skeleton00,15,Warrior,Ancient Skeleton,NPC
a_greater_skeleton08,11,Warrior,Ancient Skeleton,NPC
a_greater_skeleton07,12,Warrior,Ancient Skeleton,NPC
an_ogre_guard10,14,Warrior,Ogre,NPC
a_guard_officer02,22,Warrior,Ogre,NPC
an_ogre_guard07,20,Warrior,Ogre,NPC
the_guard_captain00,27,Warrior,Ogre,NPC
an_ogre_guard05,16,Warrior,Ogre,NPC
a_guard_officer01,23,Warrior,Ogre,NPC
a_necromancer01,18,Necromancer,Dark Elf,NPC
a_necromancer00,20,Necromancer,Dark Elf,NPC
BoneCracker00,25,Warrior,Froglok,NPC
an_ogre_guard04,16,Warrior,Ogre,NPC
Linara_Parlone00,25,Enchanter,High Elf,NPC
Akksstaff00,31,Magician,Dark Elf,NPC
a_guard_officer00,23,Warrior,Ogre,NPC
an_earth_elemental10,14,Warrior,Elemental,NPC
a_greater_skeleton16,12,Warrior,Ancient Skeleton,NPC
a_magician11,17,Magician,Dark Elf,NPC
a_magician10,21,Magician,Dark Elf,NPC
an_earth_elemental07,14,Warrior,Elemental,NPC
a_fire_elemental01,11,Warrior,Elemental,NPC
a_mist_elemental02,17,Warrior,Elemental,NPC
an_earth_elemental06,11,Warrior,Elemental,NPC
dark-boned_skeleton03,16,Warrior,Ancient Skeleton,NPC
dark-boned_skeleton02,17,Warrior,Ancient Skeleton,NPC
a_magician05,10,Magician,Dark Elf,NPC
an_earth_elemental02,11,Warrior,Elemental,NPC
a_mist_elemental05,13,Warrior,Elemental,NPC
a_magician00,13,Magician,Dark Elf,NPC
a_greater_skeleton06,11,Warrior,Ancient Skeleton,NPC
an_ogre_guard09,18,Warrior,Ogre,NPC
an_ogre_guard08,15,Warrior,Ogre,NPC
a_mist_elemental03,17,Warrior,Elemental,NPC
a_fire_elemental02,16,Warrior,Elemental,NPC
an_earth_elemental01,13,Warrior,Elemental,NPC
an_earth_elemental00,13,Warrior,Elemental,NPC
a_greater_skeleton04,11,Warrior,Ancient Skeleton,NPC
a_greater_skeleton03,11,Warrior,Ancient Skeleton,NPC
a_greater_skeleton13,11,Warrior,Ancient Skeleton,NPC
a_large_skeleton07,10,Warrior,Ancient Skeleton,NPC
an_ogre_guard02,13,Warrior,Ogre,NPC
an_ogre_guard01,12,Warrior,Ogre,NPC
a_large_skeleton06,9,Warrior,Ancient Skeleton,NPC
a_large_skeleton03,8,Warrior,Ancient Skeleton,NPC
a_large_skeleton02,8,Warrior,Ancient Skeleton,NPC
a_magician02,20,Magician,Dark Elf,NPC
a_mist_elemental01,14,Warrior,Elemental,NPC
an_earth_elemental04,10,Warrior,Elemental,NPC
a_mist_elemental00,12,Warrior,Elemental,NPC
a_greater_skeleton02,11,Warrior,Ancient Skeleton,NPC
Tentacle_Terror03,21,Warrior,Tentacle Terror,NPC
a_large_skeleton05,9,Warrior,Ancient Skeleton,NPC
Tentacle_Terror02,20,Warrior,Tentacle Terror,NPC
a_large_skeleton04,10,Warrior,Ancient Skeleton,NPC
Tentacle_Terror00,22,Warrior,Tentacle Terror,NPC
a_large_skeleton11,8,Warrior,Ancient Skeleton,NPC
a_large_skeleton10,9,Warrior,Ancient Skeleton,NPC
a_large_skeleton09,10,Warrior,Ancient Skeleton,NPC
a_large_skeleton08,8,Warrior,Ancient Skeleton,NPC
a_large_skeleton00,9,Warrior,Ancient Skeleton,NPC
a_greater_skeleton11,13,Warrior,Ancient Skeleton,NPC
a_greater_skeleton10,11,Warrior,Ancient Skeleton,NPC
a_greater_skeleton09,13,Warrior,Ancient Skeleton,NPC
dark-boned_skeleton01,16,Warrior,Ancient Skeleton,NPC
an_earth_elemental08,17,Warrior,Elemental,NPC
a_fire_elemental00,13,Warrior,Elemental,NPC
a_giant_black_widow03,20,Warrior,Spider,NPC
a_giant_black_widow02,19,Warrior,Spider,NPC
a_giant_black_widow01,19,Warrior,Spider,NPC
a_goblin_warrior06,17,Warrior,Goblin,NPC
a_goblin_warrior05,16,Warrior,Goblin,NPC
a_goblin_warrior04,16,Warrior,Goblin,NPC
a_goblin_warrior03,15,Warrior,Goblin,NPC
a_goblin_warrior02,16,Warrior,Goblin,NPC
a_minotaur00,18,Warrior,Minotaur,NPC
a_giant_black_widow00,20,Warrior,Spider,NPC
a_goblin_magician01,18,Magician,Goblin,NPC
a_goblin_warrior01,16,Warrior,Goblin,NPC
a_goblin_warrior00,15,Warrior,Goblin,NPC
a_skeleton03,23,Warrior,Ancient Skeleton,NPC
a_skeleton01,22,Warrior,Ancient Skeleton,NPC
a_skeleton00,21,Warrior,Ancient Skeleton,NPC
an_ogre_guard06,10,Warrior,Ogre,NPC
a_magician08,16,Magician,Dark Elf,NPC
a_magician04,18,Magician,Dark Elf,NPC
a_magician01,19,Magician,Dark Elf,NPC
a_greater_skeleton05,13,Warrior,Ancient Skeleton,NPC
a_greater_skeleton12,12,Warrior,Ancient Skeleton,NPC
a_goblin_magician00,18,Magician,Goblin,NPC
an_ogre_guard12,10,Warrior,Ogre,NPC
an_ogre_guard11,11,Warrior,Ogre,NPC
an_ogre_guard00,17,Warrior,Ogre,NPC
a_greater_skeleton15,13,Warrior,Ancient Skeleton,NPC
a_skeleton02,22,Warrior,Ancient Skeleton,NPC
a_large_skeleton13,8,Warrior,Ancient Skeleton,NPC
an_injured_halfling00,20,Warrior,Halfling,NPC
dark-boned_skeleton04,15,Warrior,Ancient Skeleton,NPC
a_greater_skeleton17,12,Warrior,Ancient Skeleton,NPC
a_necromancer04,18,Necromancer,Dark Elf,NPC
a_necromancer03,20,Necromancer,Dark Elf,NPC
a_necromancer02,22,Necromancer,Dark Elf,NPC
a_greater_skeleton14,13,Warrior,Ancient Skeleton,NPC
a_froglok_ghoul00,22,Warrior,Froglok,NPC
Tentacle_Terror01,22,Warrior,Tentacle Terror,NPC
an_ogre_guard03,14,Warrior,Ogre,NPC
