Name,Level,Class,Race,Type
a_Chetari_Deathbinder01,51,Necromancer,Ratman,NPC
a_Chetari_neophyte00,51,Necromancer,Ratman,NPC
a_carrion_bat00,55,Warrior,Bat,NPC
a_phase_spider32,49,Warrior,Spider,NPC
a_Chetari_Deathbinder04,49,Necromancer,Ratman,NPC
a_Chetari_master00,57,Shadow Knight,Ratman,NPC
a_Chetari_worker02,48,Rogue,Ratman,NPC
a_Chetari_Deathbinder10,50,Necromancer,Ratman,NPC
a_lava_keeper02,55,Warrior,Elemental,NPC
a_Chetari_Deathbinder03,50,Necromancer,Ratman,NPC
a_phase_spider33,51,Warrior,Spider,NPC
a_lava_keeper00,55,Warrior,Elemental,NPC
a_Chetari_Deathbinder02,50,Necromancer,Ratman,NPC
an_amorphous_mass31,56,Warrior,Goo,NPC
a_Chetari_seeker04,58,Necromancer,Ratman,NPC
a_Chetari_seeker00,48,Shadow Knight,Ratman,NPC
a_phase_spider35,49,Warrior,Spider,NPC
a_Chetari_guard06,57,Warrior,Ratman,NPC
a_Chetari_Scavenger00,47,Rogue,Ratman,NPC
a_Paebala_Rebel06,57,Rogue,Ratman,NPC
a_Chetari_servant02,47,Rogue,Ratman,NPC
a_phase_spider36,47,Warrior,Spider,NPC
a_Chelaki00,53,Warrior,Rat,NPC
Warmaster_Utvara00,60,Warrior,Ratman,NPC
a_Chetari_Dustshaper01,58,Necromancer,Ratman,NPC
a_mercenary_excavator06,60,Warrior,Human,NPC
a_Paebala_rebel05,56,Rogue,Ratman,NPC
Dralliw`tar00,59,Warrior,Rat,NPC
a_Chetari_hunter00,48,Warrior,Ratman,NPC
a_Paebala_rebel04,57,Rogue,Ratman,NPC
a_mercenary_excavator05,60,Warrior,Human,NPC
a_chetari_scrounger02,50,Shadow Knight,Ratman,NPC
a_mercenary_excavator04,60,Warrior,Human,NPC
a_Chetari_worker06,47,Rogue,Ratman,NPC
an_entropy_serpent09,54,Warrior,Snake,NPC
a_Paebala_Spirit_Talker03,57,Shaman,Ratman,NPC
an_escaped_worker03,47,Rogue,Ratman,NPC
an_escaped_worker02,47,Rogue,Ratman,NPC
a_Paebala_warrior04,58,Warrior,Ratman,NPC
a_Chelaki02,52,Warrior,Rat,NPC
an_escaped_worker01,48,Rogue,Ratman,NPC
a_Chetari_seeker02,49,Shadow Knight,Ratman,NPC
a_Paebala_rebel03,57,Rogue,Ratman,NPC
a_Paebala_warrior03,58,Warrior,Ratman,NPC
a_chetari_scrounger07,50,Shadow Knight,Ratman,NPC
a_Paebala_rebel02,57,Rogue,Ratman,NPC
a_phase_spider23,49,Warrior,Spider,NPC
a_Paebala_Spirit_Talker01,52,Shaman,Ratman,NPC
a_phase_spider25,48,Warrior,Spider,NPC
a_phase_spider30,48,Warrior,Spider,NPC
an_escaped_worker00,48,Rogue,Ratman,NPC
a_Paebala_Spirit_Talker00,58,Shaman,Ratman,NPC
a_phase_spider29,51,Warrior,Spider,NPC
a_Paebala_warrior02,48,Warrior,Ratman,NPC
a_Chetari_Deathbinder07,50,Necromancer,Ratman,NPC
a_Paebala_rebel01,56,Rogue,Ratman,NPC
a_phase_spider15,47,Warrior,Spider,NPC
a_Paebala_rebel00,55,Rogue,Ratman,NPC
a_Chetari_worker03,47,Rogue,Ratman,NPC
a_Paebala_warrior01,57,Warrior,Ratman,NPC
an_entropy_serpent10,55,Warrior,Snake,NPC
a_Paebala_warrior00,47,Warrior,Ratman,NPC
The_Fabled_Vilefang00,70,Warrior,Snake,NPC
a_Chelaki07,51,Warrior,Rat,NPC
a_Chetari_worker01,47,Rogue,Ratman,NPC
a_Chetari_Warrior03,57,Warrior,Ratman,NPC
a_chetari_scrounger03,50,Shadow Knight,Ratman,NPC
a_Chetari_guard20,50,Warrior,Ratman,NPC
a_Chetari_Scavenger04,46,Rogue,Ratman,NPC
a_Chetari_Deathbinder05,51,Necromancer,Ratman,NPC
a_phase_spider31,49,Warrior,Spider,NPC
a_Chetari_guard18,49,Warrior,Ratman,NPC
a_Chetari_guard17,56,Warrior,Ratman,NPC
a_Chetari_seeker01,48,Shadow Knight,Ratman,NPC
an_entropy_serpent08,55,Warrior,Snake,NPC
a_Chetari_Dominator00,56,Shadow Knight,Ratman,NPC
an_entropy_serpent04,54,Warrior,Snake,NPC
a_Chetari_Deathbinder12,51,Necromancer,Ratman,NPC
an_entropy_serpent03,55,Warrior,Snake,NPC
an_entropy_serpent06,56,Warrior,Snake,NPC
an_amorphous_mass30,46,Warrior,Goo,NPC
an_entropy_serpent05,54,Warrior,Snake,NPC
an_amorphous_mass29,44,Warrior,Goo,NPC
a_Chetari_adolescent00,45,Rogue,Ratman,NPC
a_Chetari_guard03,56,Warrior,Ratman,NPC
a_Chetari_Deathbinder00,50,Necromancer,Ratman,NPC
an_amorphous_mass27,44,Warrior,Goo,NPC
an_amorphous_mass26,46,Warrior,Goo,NPC
a_great_green_slime00,56,Warrior,Goo,NPC
a_Chetari_Deathbinder14,50,Necromancer,Ratman,NPC
an_amorphous_mass25,44,Warrior,Goo,NPC
a_Chetari_servant01,47,Rogue,Ratman,NPC
an_amorphous_mass24,44,Warrior,Goo,NPC
a_Chelaki03,54,Warrior,Rat,NPC
an_amorphous_mass21,47,Warrior,Goo,NPC
Chetari_Courier00,49,Warrior,Ratman,NPC
an_amorphous_mass20,47,Warrior,Goo,NPC
an_entropy_serpent02,55,Warrior,Snake,NPC
Whelp_Kidnapper00,65,Warrior,Ratman,NPC
a_Chetari_guard16,48,Warrior,Ratman,NPC
an_amorphous_mass19,48,Warrior,Goo,NPC
a_chetari_runemage00,51,Necromancer,Ratman,NPC
an_amorphous_mass18,48,Warrior,Goo,NPC
a_Chetari_Deathbinder13,51,Necromancer,Ratman,NPC
a_Chetari_worker13,47,Rogue,Ratman,NPC
an_amorphous_mass23,47,Warrior,Goo,NPC
an_entropy_serpent01,54,Warrior,Snake,NPC
an_amorphous_mass22,46,Warrior,Goo,NPC
a_carrion_bat03,54,Warrior,Bat,NPC
a_Paebala_rebel07,56,Rogue,Ratman,NPC
a_carrion_bat02,55,Warrior,Bat,NPC
an_entropy_serpent00,55,Warrior,Snake,NPC
a_Chetari_seeker06,48,Shadow Knight,Ratman,NPC
a_Paebala_Spirit_Talker02,50,Shaman,Ratman,NPC
a_Chetari_Dustshaper03,58,Necromancer,Ratman,NPC
a_phase_spider24,51,Warrior,Spider,NPC
a_Chetari_guard15,49,Warrior,Ratman,NPC
a_Chetari_guard14,58,Warrior,Ratman,NPC
a_Chetari_guard13,50,Warrior,Ratman,NPC
a_Chelaki16,54,Warrior,Rat,NPC
an_entropy_serpent07,56,Warrior,Snake,NPC
an_amorphous_mass15,47,Warrior,Goo,NPC
a_phase_spider40,47,Warrior,Spider,NPC
an_amorphous_mass14,46,Warrior,Goo,NPC
a_Chetari_servant03,49,Rogue,Ratman,NPC
an_amorphous_mass13,47,Warrior,Goo,NPC
a_Chetari_guard12,48,Warrior,Ratman,NPC
an_amorphous_mass12,45,Warrior,Goo,NPC
an_amorphous_mass11,45,Warrior,Goo,NPC
an_amorphous_mass10,47,Warrior,Goo,NPC
a_Chetari_guard11,50,Warrior,Ratman,NPC
an_amorphous_mass09,44,Warrior,Goo,NPC
a_phase_spider39,49,Warrior,Spider,NPC
an_amorphous_mass08,45,Warrior,Goo,NPC
a_Chetari_guard09,50,Warrior,Ratman,NPC
