Name,Level,Class,Race,Type
an_ancient_anaconda29,24,Warrior,Snake,NPC
an_ancient_anaconda28,24,Warrior,Snake,NPC
a_sea_turtle21,27,Warrior,Sea Turtle,NPC
a_sea_turtle20,26,Warrior,Sea Turtle,NPC
an_ancient_anaconda27,24,Warrior,Snake,NPC
a_sea_turtle19,28,Warrior,Sea Turtle,NPC
a_sea_turtle18,28,Warrior,Sea Turtle,NPC
a_serene_griffawn11,30,Warrior,Griffin,NPC
a_serene_griffawn10,29,Warrior,Griffin,NPC
a_serene_griffawn07,31,Warrior,Griffin,NPC
a_sea_turtle16,26,Warrior,Sea Turtle,NPC
an_ancient_anaconda25,22,Warrior,Snake,NPC
an_ancient_anaconda03,18,Warrior,Snake,NPC
a_sea_turtle15,28,Warrior,Sea Turtle,NPC
a_serene_griffawn03,30,Warrior,Griffin,NPC
an_ancient_anaconda22,25,Warrior,Snake,NPC
a_serene_griffawn01,30,Warrior,Griffin,NPC
a_sea_turtle13,28,Warrior,Sea Turtle,NPC
an_ancient_anaconda02,20,Warrior,Snake,NPC
an_ancient_anaconda21,25,Warrior,Snake,NPC
a_serene_griffawn00,30,Warrior,Griffin,NPC
an_ancient_anaconda20,22,Warrior,Snake,NPC
a_sleek_panther04,33,Warrior,Puma,NPC
a_sleek_panther00,27,Warrior,Puma,NPC
an_ancient_anaconda17,26,Warrior,Snake,NPC
a_sleek_panther21,29,Warrior,Puma,NPC
a_sea_turtle12,30,Warrior,Sea Turtle,NPC
an_ancient_anaconda24,20,Warrior,Snake,NPC
a_sea_turtle11,26,Warrior,Sea Turtle,NPC
an_ancient_anaconda18,20,Warrior,Snake,NPC
an_ancient_anaconda00,22,Warrior,Snake,NPC
a_sea_turtle09,26,Warrior,Sea Turtle,NPC
a_sea_turtle08,26,Warrior,Sea Turtle,NPC
a_sea_turtle07,26,Warrior,Sea Turtle,NPC
a_shore_basilisk14,29,Warrior,Basilisk,NPC
a_sea_turtle24,24,Warrior,Sea Turtle,NPC
a_majestic_grizzly21,29,Warrior,Bear,NPC
a_sea_turtle05,22,Warrior,Sea Turtle,NPC
a_majestic_grizzly20,27,Warrior,Bear,NPC
a_sleek_panther05,33,Warrior,Puma,NPC
a_sea_turtle23,22,Warrior,Sea Turtle,NPC
a_sleek_panther19,29,Warrior,Puma,NPC
a_sea_turtle22,22,Warrior,Sea Turtle,NPC
a_majestic_grizzly18,29,Warrior,Bear,NPC
a_majestic_grizzly17,27,Warrior,Bear,NPC
a_sleek_panther18,26,Warrior,Puma,NPC
an_ancient_anaconda06,20,Warrior,Snake,NPC
a_serene_griffawn19,26,Warrior,Griffin,NPC
an_ancient_anaconda04,22,Warrior,Snake,NPC
a_shore_basilisk16,21,Warrior,Basilisk,NPC
a_serene_griffawn18,27,Warrior,Griffin,NPC
a_serene_griffawn09,26,Warrior,Griffin,NPC
a_majestic_grizzly09,21,Warrior,Bear,NPC
a_sleek_panther13,33,Warrior,Puma,NPC
a_sleek_panther12,29,Warrior,Puma,NPC
a_sleek_panther11,30,Warrior,Puma,NPC
a_sleek_panther10,33,Warrior,Puma,NPC
a_sleek_panther09,31,Warrior,Puma,NPC
a_serene_griffawn17,31,Warrior,Griffin,NPC
a_serene_griffawn16,32,Warrior,Griffin,NPC
a_sleek_panther08,33,Warrior,Puma,NPC
a_sleek_panther07,31,Warrior,Puma,NPC
a_serene_griffawn15,30,Warrior,Griffin,NPC
a_shore_basilisk13,27,Warrior,Basilisk,NPC
a_sea_turtle01,23,Warrior,Sea Turtle,NPC
a_shore_basilisk10,27,Warrior,Basilisk,NPC
a_shore_basilisk11,27,Warrior,Basilisk,NPC
a_cove_frog02,18,Warrior,Poison Frog,NPC
a_sea_turtle29,24,Warrior,Sea Turtle,NPC
a_sea_turtle06,24,Warrior,Sea Turtle,NPC
an_ancient_anaconda39,18,Warrior,Snake,NPC
a_sleek_panther01,29,Warrior,Puma,NPC
a_sea_turtle03,23,Warrior,Sea Turtle,NPC
an_ancient_anaconda38,18,Warrior,Snake,NPC
a_sea_turtle35,30,Warrior,Sea Turtle,NPC
an_ancient_anaconda37,20,Warrior,Snake,NPC
a_serene_griffawn04,32,Warrior,Griffin,NPC
a_sleek_panther03,31,Warrior,Puma,NPC
a_sleek_panther02,30,Warrior,Puma,NPC
an_ancient_anaconda16,24,Warrior,Snake,NPC
a_shore_basilisk23,25,Warrior,Basilisk,NPC
a_majestic_grizzly03,25,Warrior,Bear,NPC
an_ancient_anaconda36,19,Warrior,Snake,NPC
an_ancient_anaconda35,18,Warrior,Snake,NPC
an_ancient_anaconda34,19,Warrior,Snake,NPC
a_shore_basilisk05,23,Warrior,Basilisk,NPC
an_ancient_anaconda12,19,Warrior,Snake,NPC
an_ancient_anaconda32,18,Warrior,Snake,NPC
a_silverfur_wolf00,17,Warrior,Ancient Wolf,NPC
a_shore_basilisk22,24,Warrior,Basilisk,NPC
a_serene_griffawn02,30,Warrior,Griffin,NPC
an_ancient_anaconda13,19,Warrior,Snake,NPC
an_ancient_anaconda31,20,Warrior,Snake,NPC
an_ancient_anaconda10,18,Warrior,Snake,NPC
an_ancient_anaconda11,20,Warrior,Snake,NPC
an_ancient_anaconda07,19,Warrior,Snake,NPC
an_ancient_anaconda09,19,Warrior,Snake,NPC
#Duram_Firechaser00,70,Warrior,Human,NPC
#Priestess_Rakhu00,65,Magician,Nihil,NPC
#Redis_Linrok_the_Suffering00,65,Paladin,Erudite,NPC
Magus_Wenla00,60,Shopkeeper,Erudite,NPC
an_ancient_anaconda01,18,Warrior,Snake,NPC
a_silverfur_wolf30,23,Warrior,Ancient Wolf,NPC
a_silverfur_wolf29,25,Warrior,Ancient Wolf,NPC
a_serene_griffawn08,26,Warrior,Griffin,NPC
a_shore_basilisk08,27,Warrior,Basilisk,NPC
a_silverfur_wolf22,24,Warrior,Ancient Wolf,NPC
#Nideno_Eliagy00,65,Magician,Nihil,NPC
a_sea_turtle27,24,Warrior,Sea Turtle,NPC
a_silverfur_wolf21,25,Warrior,Ancient Wolf,NPC
a_shore_basilisk07,21,Warrior,Basilisk,NPC
an_ancient_anaconda23,19,Warrior,Snake,NPC
a_shore_basilisk03,23,Warrior,Basilisk,NPC
a_silverfur_wolf12,17,Warrior,Ancient Wolf,NPC
a_shore_basilisk01,22,Warrior,Basilisk,NPC
an_ancient_anaconda14,20,Warrior,Snake,NPC
a_shore_basilisk21,24,Warrior,Basilisk,NPC
an_ancient_anaconda08,22,Warrior,Snake,NPC
a_shore_basilisk20,23,Warrior,Basilisk,NPC
a_sea_turtle14,23,Warrior,Sea Turtle,NPC
a_sea_turtle02,23,Warrior,Sea Turtle,NPC
a_sea_turtle00,29,Warrior,Sea Turtle,NPC
a_shore_basilisk04,25,Warrior,Basilisk,NPC
a_sea_turtle04,22,Warrior,Sea Turtle,NPC
