Name,Level,Class,Race,Type
a_decaying_skeleton25,1,Warrior,Ancient Skeleton,NPC
a_pyre_beetle07,2,Warrior,Beetle,NPC
a_decaying_skeleton01,1,Warrior,Ancient Skeleton,NPC
a_basilisk_hatchling01,9,Warrior,Alligator,NPC
a_pyre_beetle05,2,Warrior,Beetle,NPC
a_calcified_skeleton01,6,Warrior,Ancient Skeleton,NPC
a_large_araneidae06,3,Warrior,Spider,NPC
a_decaying_skeleton08,2,Warrior,Ancient Skeleton,NPC
a_shadow_wolf03,3,Warrior,Ancient Wolf,NPC
a_garter_snake11,2,Warrior,Snake,NPC
a_large_araneidae02,2,Warrior,Spider,NPC
a_garter_snake10,2,Warrior,Snake,NPC
a_garter_snake09,2,Warrior,Snake,NPC
a_basilisk_hatchling00,10,Warrior,Alligator,NPC
a_young_kodiak08,10,Warrior,Bear,NPC
a_black_mamba04,9,Warrior,Snake,NPC
a_shadow_wolf14,4,Warrior,Ancient Wolf,NPC
a_shadow_wolf06,3,Warrior,Ancient Wolf,NPC
a_tree_snake07,6,Warrior,Snake,NPC
a_shadow_wolf13,4,Warrior,Ancient Wolf,NPC
a_pyre_beetle02,2,Warrior,Beetle,NPC
a_young_kodiak06,9,Warrior,Bear,NPC
a_large_araneidae05,2,Warrior,Spider,NPC
a_garter_snake01,2,Warrior,Snake,NPC
a_garter_snake04,1,Warrior,Snake,NPC
a_black_bear09,5,Warrior,Bear,NPC
a_Deathfist_legionnaire18,8,Warrior,Orc,NPC
a_black_mamba03,7,Warrior,Snake,NPC
a_black_mamba02,9,Warrior,Snake,NPC
a_young_kodiak04,9,Warrior,Bear,NPC
a_spider_cocoon_cluster13,3,LDoN Object,Spider Egg Sac,NPC
a_skeleton00,5,Warrior,Ancient Skeleton,NPC
a_rotting_citizen00,11,Warrior,Zombie,NPC
a_black_mamba01,9,Warrior,Snake,NPC
a_moss_snake00,1,Warrior,Snake,NPC
a_tree_snake02,6,Warrior,Snake,NPC
a_shadow_wolf07,4,Warrior,Ancient Wolf,NPC
a_black_mamba00,7,Warrior,Snake,NPC
a_pyre_beetle03,2,Warrior,Beetle,NPC
a_shadow_wolf02,3,Warrior,Ancient Wolf,NPC
a_shadow_wolf01,3,Warrior,Ancient Wolf,NPC
a_black_bear03,3,Warrior,Bear,NPC
a_black_bear25,3,Warrior,Bear,NPC
a_tree_snake01,4,Warrior,Snake,NPC
a_black_bear01,4,Warrior,Bear,NPC
a_large_araneidae13,3,Warrior,Spider,NPC
a_large_araneidae03,4,Warrior,Spider,NPC
a_willowisp11,10,Warrior,Will-O-Wisp,NPC
a_pyre_beetle33,2,Warrior,Beetle,NPC
a_willowisp10,11,Warrior,Will-O-Wisp,NPC
a_pyre_beetle08,2,Warrior,Beetle,NPC
a_tree_snake00,6,Warrior,Snake,NPC
a_large_araneidae01,3,Warrior,Spider,NPC
a_skeleton06,5,Warrior,Ancient Skeleton,NPC
Kirak_Vil00,56,Warrior,Dark Elf,NPC
an_ash_drakeling04,3,Warrior,Drake,NPC
a_decaying_skeleton24,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton23,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton22,2,Warrior,Ancient Skeleton,NPC
a_basilisk_hatchling03,9,Warrior,Alligator,NPC
an_ash_drakeling00,3,Warrior,Drake,NPC
an_araneidae_spiderling15,2,Warrior,Spider,NPC
a_moss_snake04,1,Warrior,Snake,NPC
a_Deathfist_legionnaire17,8,Warrior,Orc,NPC
a_black_wolf15,1,Warrior,Ancient Wolf,NPC
a_black_bear23,4,Warrior,Bear,NPC
a_garter_snake08,3,Warrior,Snake,NPC
a_Deathfist_legionnaire06,7,Warrior,Orc,NPC
a_garter_snake06,3,Warrior,Snake,NPC
a_Deathfist_legionnaire01,7,Warrior,Orc,NPC
a_garter_snake05,1,Warrior,Snake,NPC
a_large_piranha03,10,Warrior,Piranha,NPC
a_pyre_beetle21,2,Warrior,Beetle,NPC
an_araneidae_spiderling14,2,Warrior,Spider,NPC
a_shadow_wolf19,3,Warrior,Ancient Wolf,NPC
a_pyre_beetle20,2,Warrior,Beetle,NPC
a_black_wolf14,1,Warrior,Ancient Wolf,NPC
a_garter_snake17,1,Warrior,Snake,NPC
a_pyre_beetle19,2,Warrior,Beetle,NPC
a_black_bear21,3,Warrior,Bear,NPC
a_willowisp09,10,Warrior,Will-O-Wisp,NPC
a_willowisp08,9,Warrior,Will-O-Wisp,NPC
a_large_araneidae08,3,Warrior,Spider,NPC
a_moss_snake02,1,Warrior,Snake,NPC
an_araneidae_spiderling18,1,Warrior,Spider,NPC
a_large_araneidae18,2,Warrior,Spider,NPC
an_araneidae_spiderling17,1,Warrior,Spider,NPC
a_decaying_skeleton14,2,Warrior,Ancient Skeleton,NPC
Guard_V`Ehn00,13,Warrior,Dark Elf,NPC
a_decaying_skeleton13,2,Warrior,Ancient Skeleton,NPC
a_shadow_wolf00,3,Warrior,Ancient Wolf,NPC
a_skeleton02,6,Warrior,Ancient Skeleton,NPC
an_araneidae_spiderling12,2,Warrior,Spider,NPC
a_pyre_beetle18,2,Warrior,Beetle,NPC
a_black_wolf10,1,Warrior,Ancient Wolf,NPC
a_black_bear24,5,Warrior,Bear,NPC
a_large_araneidae17,3,Warrior,Spider,NPC
a_large_araneidae00,4,Warrior,Spider,NPC
a_black_wolf09,1,Warrior,Ancient Wolf,NPC
a_pyre_beetle15,2,Warrior,Beetle,NPC
a_shadow_wolf04,3,Warrior,Ancient Wolf,NPC
a_decaying_skeleton10,1,Warrior,Ancient Skeleton,NPC
an_araneidae_spiderling11,3,Warrior,Spider,NPC
a_large_araneidae16,3,Warrior,Spider,NPC
a_decaying_skeleton09,2,Warrior,Ancient Skeleton,NPC
a_large_araneidae04,2,Warrior,Spider,NPC
a_decaying_skeleton07,2,Warrior,Ancient Skeleton,NPC
a_pyre_beetle00,2,Warrior,Beetle,NPC
#First_Fragment_of_Igok00,5,Warrior,Froglok,NPC
Venenzi_Oberzendi00,50,Necromancer,Dark Elf,NPC
Neophyte_Halle00,4,Druid,Halfling,NPC
Neophyte_Hazel00,4,Druid,Halfling,NPC
Neophyte_Edel00,4,Druid,Halfling,NPC
Initiate_Rambel00,5,Druid,Halfling,NPC
Initiate_Umbra00,8,Druid,Halfling,NPC
Quester_Hannin00,11,Druid,Halfling,NPC
Initiate_Pool00,10,Druid,Halfling,NPC
a_shadow_wolf12,3,Warrior,Ancient Wolf,NPC
Quester_Dunden00,11,Druid,Halfling,NPC
a_shadow_wolf11,3,Warrior,Ancient Wolf,NPC
Leatherfoot_Medic00,15,Cleric,Halfling,NPC
a_large_piranha10,11,Warrior,Piranha,NPC
a_large_piranha09,13,Warrior,Piranha,NPC
a_tree_snake04,4,Warrior,Snake,NPC
a_large_piranha08,14,Warrior,Piranha,NPC
a_large_piranha06,10,Warrior,Piranha,NPC
a_large_piranha05,12,Warrior,Piranha,NPC
a_large_piranha04,10,Warrior,Piranha,NPC
Leatherfoot_Sergeant00,10,Druid,Halfling,NPC
a_greater_wisp06,13,Warrior,Will-O-Wisp,NPC
a_large_piranha01,13,Warrior,Piranha,NPC
a_Deathfist_legionnaire16,7,Warrior,Orc,NPC
a_Deathfist_templar03,10,Cleric,Orc,NPC
a_greater_wisp05,12,Warrior,Will-O-Wisp,NPC
a_Deathfist_scout02,4,Warrior,Orc,NPC
