Name,Level,Class,Race,Type
a_Netherbian_Drone05,24,Warrior,Netherbian,NPC
a_Fungoid00,24,Warrior,Fungal Fiend,NPC
A_Haven_Customs_Inspector00,30,Warrior,Human,NPC
#Legionnaire_Hyuni00,31,Warrior,Human,NPC
#Legionnaire_Dalini00,28,Warrior,Human,NPC
a_Netherbian_Drone15,21,Warrior,Netherbian,NPC
a_Fungoid_Sporeling20,17,Warrior,Fungal Fiend,NPC
a_Troglodyte05,20,Warrior,Galorian,NPC
a_Netherbian_Drone02,19,Rogue,Netherbian,NPC
a_Netherbian_Drone14,22,Rogue,Netherbian,NPC
a_Netherbian_Warrior00,25,Warrior,Netherbian,NPC
#The_Swarm_Leader00,29,Warrior,Netherbian,NPC
a_Fungoid_Sporeling10,16,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling09,16,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling08,17,Warrior,Fungal Fiend,NPC
a_Netherbian_Warrior01,21,Warrior,Netherbian,NPC
a_Fungoid_Sporeling21,17,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling01,15,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling19,15,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling18,17,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone00,23,Warrior,Netherbian,NPC
a_Netherbian_Warrior05,23,Warrior,Netherbian,NPC
a_Fungoid07,22,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling15,15,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling26,16,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling22,20,Warrior,Fungal Fiend,NPC
A_Haven_Guard00,29,Warrior,Human,NPC
a_Fungoid_Sporeling05,16,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling04,16,Warrior,Fungal Fiend,NPC
a_Troglodyte04,21,Warrior,Galorian,NPC
a_Fungoid_Sporeling00,16,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone13,18,Rogue,Netherbian,NPC
a_Fungoid_Sporeling07,17,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling06,15,Warrior,Fungal Fiend,NPC
a_Troglodyte03,19,Warrior,Galorian,NPC
A_Haven_Guard01,27,Paladin,Human,NPC
Lerin_Sardor00,17,Warrior,Human,NPC
a_Troglodyte02,20,Warrior,Galorian,NPC
a_Fungoid_Sporeling24,16,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling23,17,Warrior,Fungal Fiend,NPC
a_Troglodyte08,21,Warrior,Galorian,NPC
#Legionnaire_Giru00,31,Paladin,Human,NPC
a_Netherbian_Warrior06,22,Warrior,Netherbian,NPC
a_Netherbian_Drone12,20,Rogue,Netherbian,NPC
a_Troglodyte07,21,Warrior,Galorian,NPC
a_Fungoid_Sporeling17,20,Warrior,Fungal Fiend,NPC
a_Troglodyte06,22,Warrior,Galorian,NPC
a_Fungoid_Sporeling16,18,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling29,18,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone08,22,Rogue,Netherbian,NPC
a_Fungoid_Sporeling14,16,Warrior,Fungal Fiend,NPC
a_Netherbian_Warrior04,23,Warrior,Netherbian,NPC
a_Troglodyte01,20,Warrior,Galorian,NPC
a_Troglodyte00,21,Warrior,Galorian,NPC
a_Fungoid_Sporeling28,16,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone07,18,Rogue,Netherbian,NPC
a_Netherbian_Warrior02,21,Warrior,Netherbian,NPC
a_Netherbian_Warrior09,25,Warrior,Netherbian,NPC
a_Netherbian_Drone01,24,Warrior,Netherbian,NPC
a_Fungoid_Sporeling27,20,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone06,20,Rogue,Netherbian,NPC
a_Fungoid_Sporeling31,20,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone11,22,Rogue,Netherbian,NPC
#The_Fabled_Swarm_Leader00,40,Warrior,Netherbian,NPC
a_Fungoid_Sporeling30,17,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone10,23,Warrior,Netherbian,NPC
a_Fungoid_Sporeling13,16,Warrior,Fungal Fiend,NPC
a_Fungoid_Sporeling25,17,Warrior,Fungal Fiend,NPC
a_Troglodyte11,20,Warrior,Galorian,NPC
a_Fungoid_Sporeling12,18,Warrior,Fungal Fiend,NPC
a_Fungoid01,21,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone03,20,Rogue,Netherbian,NPC
a_Fungoid_Sporeling03,18,Warrior,Fungal Fiend,NPC
#A_Mature_Fungoid00,25,Warrior,Fungal Fiend,NPC
a_Netherbian_Drone09,20,Rogue,Netherbian,NPC
a_Troglodyte10,20,Warrior,Galorian,NPC
a_Fungoid_Sporeling11,19,Warrior,Fungal Fiend,NPC
A_Trog_Bull00,24,Warrior,Galorian,NPC
a_Fungoid_Sporeling02,17,Warrior,Fungal Fiend,NPC
a_Troglodyte09,21,Warrior,Galorian,NPC
a_Netherbian_Warrior03,25,Warrior,Netherbian,NPC
a_Netherbian_Drone04,19,Rogue,Netherbian,NPC
