Name,Level,Class,Race,Type
a_dire_griffon00,65,Warrior,Griffin,NPC
Dellcalgar_Drusiris00,50,Warrior,Dwarf,NPC
a_silvermist_wolf55,9,Warrior,Ancient Wolf,NPC
Balglaiel_Delver00,50,Warrior,Dwarf,NPC
a_highland_lion09,14,Warrior,Lion,NPC
Tellqueen_Sithmoor00,50,Warrior,Human,NPC
a_silvermist_wolf54,9,Warrior,Ancient Wolf,NPC
Quinada_Vorana00,50,Warrior,Human,NPC
Gorri_Fallstine00,50,Warrior,Human,NPC
a_pincer_beetle00,11,Warrior,Beetle,NPC
Tak_Whistler00,45,Shopkeeper,Human,NPC
Nexus_Scion00,66,Warrior,Human,NPC
a_highland_lion00,15,Warrior,Lion,NPC
Laitia00,50,Shopkeeper,Human,NPC
Guard_Shilster00,17,Shadow Knight,Human,NPC
a_silvermist_wolf53,9,Warrior,Ancient Wolf,NPC
Xanuusus00,50,Druid,Treant,NPC
a_lion05,10,Warrior,Lion,NPC
a_griffawn02,16,Warrior,Griffin,NPC
a_silvermist_wolf16,9,Warrior,Ancient Wolf,NPC
a_highland_lion21,15,Warrior,Lion,NPC
a_silvermist_wolf52,10,Warrior,Ancient Wolf,NPC
a_raider04,10,Rogue,Human,NPC
a_silvermist_wolf13,10,Warrior,Ancient Wolf,NPC
a_willowisp02,11,Warrior,Will-O-Wisp,NPC
a_silvermist_wolf51,8,Warrior,Ancient Wolf,NPC
a_silvermist_wolf35,9,Warrior,Ancient Wolf,NPC
a_highland_lion08,13,Warrior,Lion,NPC
a_hill_giant02,37,Warrior,Giant,NPC
a_silvermist_wolf40,9,Warrior,Ancient Wolf,NPC
a_silvermist_wolf50,8,Warrior,Ancient Wolf,NPC
a_silvermist_wolf49,8,Warrior,Ancient Wolf,NPC
a_silvermist_wolf48,10,Warrior,Ancient Wolf,NPC
a_highland_lion16,14,Warrior,Lion,NPC
a_lioness00,7,Warrior,Lion,NPC
a_silvermist_wolf47,8,Warrior,Ancient Wolf,NPC
a_silvermist_wolf28,9,Warrior,Ancient Wolf,NPC
a_highland_lion20,14,Warrior,Lion,NPC
a_silvermist_wolf33,10,Warrior,Ancient Wolf,NPC
a_highland_lion19,15,Warrior,Lion,NPC
a_druid03,24,Druid,Human,NPC
a_silvermist_wolf45,8,Warrior,Ancient Wolf,NPC
a_highland_lion15,14,Warrior,Lion,NPC
a_silvermist_wolf37,9,Warrior,Ancient Wolf,NPC
a_highland_lion13,15,Warrior,Lion,NPC
a_lion07,9,Warrior,Lion,NPC
a_silvermist_wolf36,10,Warrior,Ancient Wolf,NPC
Guard_Bartley00,30,Warrior,Human,NPC
a_willowisp01,11,Warrior,Will-O-Wisp,NPC
a_highland_lion18,14,Warrior,Lion,NPC
a_highland_lion04,14,Warrior,Lion,NPC
a_willowisp00,9,Warrior,Will-O-Wisp,NPC
a_lion03,10,Warrior,Lion,NPC
a_silvermist_wolf31,10,Warrior,Ancient Wolf,NPC
a_highland_lion11,13,Warrior,Lion,NPC
a_silvermist_wolf19,8,Warrior,Ancient Wolf,NPC
a_silvermist_wolf25,10,Warrior,Ancient Wolf,NPC
a_highland_lion10,14,Warrior,Lion,NPC
Guard_Stanard00,30,Warrior,Human,NPC
a_silvermist_wolf01,9,Warrior,Ancient Wolf,NPC
Ezmirella00,30,Enchanter,Human,NPC
a_farmer03,6,Warrior,Human,NPC
a_lion02,8,Warrior,Lion,NPC
a_silvermist_wolf12,9,Warrior,Ancient Wolf,NPC
a_hill_giant01,34,Warrior,Giant,NPC
a_silvermist_wolf09,8,Warrior,Ancient Wolf,NPC
a_hill_giant00,33,Warrior,Giant,NPC
a_silvermist_wolf24,9,Warrior,Ancient Wolf,NPC
a_lion01,8,Warrior,Lion,NPC
a_silvermist_wolf08,8,Warrior,Ancient Wolf,NPC
a_druid01,27,Druid,Wood Elf,NPC
Brother_Nallin00,31,Cleric,Human,NPC
a_lion04,9,Warrior,Lion,NPC
a_highland_lion06,15,Warrior,Lion,NPC
Capt_Linarius00,45,Warrior,Human,NPC
a_silvermist_wolf06,8,Warrior,Ancient Wolf,NPC
Shiel_Glimmerspindle00,40,Rogue,Human,NPC
Romi00,35,Shopkeeper,Human,NPC
Mrysila00,35,Shopkeeper,Human,NPC
Roule00,50,Shopkeeper,Human,NPC
withered_treant00,60,Druid,Treant,NPC
Romella00,35,Shopkeeper,Human,NPC
Briana_Treewhisper00,61,Druid GM,Half Elf,NPC
Fixxin_Followig00,30,Enchanter,Gnome,NPC
Cory_Bumbleye00,29,Rogue,Halfling,NPC
a_silvermist_wolf30,9,Warrior,Ancient Wolf,NPC
a_farmer06,6,Warrior,Human,NPC
a_farmer05,5,Warrior,Human,NPC
a_silvermist_wolf23,10,Warrior,Ancient Wolf,NPC
a_druid02,27,Druid,Wood Elf,NPC
a_raider03,10,Rogue,Human,NPC
a_raider02,10,Rogue,Human,NPC
a_raider01,12,Wizard,Half Elf,NPC
a_silvermist_wolf03,10,Warrior,Ancient Wolf,NPC
a_raider00,10,Wizard,Half Elf,NPC
Barkeep_Milo00,45,Shopkeeper,Human,NPC
a_silvermist_wolf14,8,Warrior,Ancient Wolf,NPC
Barkeep_Jeny00,50,Shopkeeper,Human,NPC
a_skeleton05,6,Warrior,Ancient Skeleton,NPC
a_highland_lion17,13,Warrior,Lion,NPC
a_skeleton04,6,Warrior,Ancient Skeleton,NPC
a_skeleton03,5,Warrior,Ancient Skeleton,NPC
a_skeleton02,6,Warrior,Ancient Skeleton,NPC
a_skeleton01,6,Warrior,Ancient Skeleton,NPC
a_skeleton00,4,Warrior,Ancient Skeleton,NPC
a_farmer04,5,Warrior,Human,NPC
a_farmer02,6,Warrior,Human,NPC
a_silvermist_wolf02,10,Warrior,Ancient Wolf,NPC
a_willowisp03,11,Warrior,Will-O-Wisp,NPC
Innkeep_Disda00,30,Shopkeeper,Human,NPC
Innkeep_James00,30,Shopkeeper,Human,NPC
Guard_Fredrick00,30,Warrior,Human,NPC
Guard_Oystin00,30,Warrior,Human,NPC
Guard_Westyn00,30,Warrior,Human,NPC
#Sir_Gerwin_Thunderblade00,70,Paladin,Human,NPC
a_highland_lion03,14,Warrior,Lion,NPC
a_silvermist_wolf10,8,Warrior,Ancient Wolf,NPC
a_silvermist_wolf15,9,Warrior,Ancient Wolf,NPC
a_highland_lion12,15,Warrior,Lion,NPC
a_lion12,8,Warrior,Lion,NPC
a_silvermist_wolf46,8,Warrior,Ancient Wolf,NPC
a_lion10,10,Warrior,Lion,NPC
a_willowisp05,9,Warrior,Will-O-Wisp,NPC
a_silvermist_wolf11,9,Warrior,Ancient Wolf,NPC
a_druid00,23,Druid,Half Elf,NPC
a_willowisp06,10,Warrior,Will-O-Wisp,NPC
a_silvermist_wolf32,9,Warrior,Ancient Wolf,NPC
Bunu_Stoutheart00,31,Shaman,Barbarian,NPC
a_silvermist_wolf44,9,Warrior,Ancient Wolf,NPC
#Tal_Stoutheart00,75,Warrior,Human,NPC
a_silvermist_wolf43,9,Warrior,Ancient Wolf,NPC
Nul_Aleswiller00,35,Warrior,Dwarf,NPC
a_silvermist_wolf42,9,Warrior,Ancient Wolf,NPC
a_silvermist_wolf20,8,Warrior,Ancient Wolf,NPC
