Name,Level,Class,Race,Type
a_Deathfist_pawn07,1,Warrior,Orc,NPC
a_crypt_mummy02,15,Warrior,Zombie,NPC
a_Deathfist_Pawn04,1,Warrior,Orc,NPC
Rahotep00,16,Warrior,Zombie,NPC
a_puma05,6,Warrior,Puma,NPC
a_stonesnake00,1,Warrior,Snake,NPC
a_coyote15,1,Warrior,Ancient Wolf,NPC
a_bat03,1,Warrior,Bat,NPC
a_decaying_skeleton02,2,Warrior,Ancient Skeleton,NPC
a_wolf07,5,Warrior,Ancient Wolf,NPC
a_zombie00,8,Warrior,Zombie,NPC
a_crypt_mummy03,15,Warrior,Zombie,NPC
a_skeleton00,4,Warrior,Ancient Skeleton,NPC
a_coyote30,2,Warrior,Ancient Wolf,NPC
a_zombie01,9,Warrior,Zombie,NPC
a_wolf06,5,Warrior,Ancient Wolf,NPC
a_wolf04,5,Warrior,Ancient Wolf,NPC
a_sand_scarab12,11,Warrior,Beetle,NPC
a_shriveled_mummy04,12,Warrior,Zombie,NPC
dry_bones_skeleton00,18,Warrior,Ancient Skeleton,NPC
Dorn_B`Dynn00,16,Warrior,Dark Elf,NPC
a_large_rat07,1,Warrior,Rat,NPC
a_shriveled_mummy02,12,Warrior,Zombie,NPC
Guard_Sheg00,50,Warrior,Guard,NPC
a_sand_scarab03,10,Warrior,Beetle,NPC
a_gila_monster04,9,Warrior,Alligator,NPC
a_shriveled_mummy03,11,Warrior,Zombie,NPC
Reidar_Elsai00,70,Warrior,Human,NPC
a_shriveled_mummy01,12,Warrior,Zombie,NPC
a_crypt_mummy05,15,Warrior,Zombie,NPC
a_shriveled_mummy00,12,Warrior,Zombie,NPC
Dizzl_Nulzik00,65,Warrior,Gnome,NPC
a_crypt_mummy00,15,Warrior,Zombie,NPC
a_desert_madman02,12,Monk,Beggar,NPC
Odwren_Werat00,65,Warrior,High Elf,NPC
a_decaying_skeleton04,1,Warrior,Ancient Skeleton,NPC
a_wolf05,5,Warrior,Ancient Wolf,NPC
a_coyote14,1,Warrior,Ancient Wolf,NPC
a_coyote13,3,Warrior,Ancient Wolf,NPC
a_Dervish_Cutthroat04,10,Wizard,Erudite,NPC
