Name,Level,Class,Race,Type
a_goblin_taskmaster13,47,Warrior,Goblin,NPC
a_goblin_flame_dancer05,46,Wizard,Goblin,NPC
a_goblin_death_caller08,46,Necromancer,Goblin,NPC
a_goblin_taskmaster12,48,Warrior,Goblin,NPC
a_goblin_spirit_lord06,48,Shaman,Goblin,NPC
a_goblin_sneak06,46,Rogue,Goblin,NPC
a_goblin_blood_knight00,48,Shadow Knight,Goblin,NPC
a_goblin_taskmaster11,47,Warrior,Goblin,NPC
a_goblin_death_caller07,48,Necromancer,Goblin,NPC
a_goblin_taskmaster10,47,Warrior,Goblin,NPC
a_goblin_flame_dancer04,48,Wizard,Goblin,NPC
a_goblin_taskmaster09,47,Warrior,Goblin,NPC
a_dangerous_mine_rat01,47,Warrior,Rat,NPC
a_goblin_flame_dancer03,47,Wizard,Goblin,NPC
a_goblin_sneak05,47,Rogue,Goblin,NPC
a_goblin_flame_dancer02,46,Wizard,Goblin,NPC
a_goblin_sneak04,46,Rogue,Goblin,NPC
a_goblin_spirit_lord05,48,Shaman,Goblin,NPC
a_goblin_taskmaster08,47,Warrior,Goblin,NPC
a_goblin_spirit_lord04,46,Shaman,Goblin,NPC
a_goblin_death_caller06,48,Necromancer,Goblin,NPC
a_goblin_flame_dancer01,46,Wizard,Goblin,NPC
a_goblin_sneak03,48,Rogue,Goblin,NPC
a_goblin_taskmaster07,48,Warrior,Goblin,NPC
a_goblin_flame_chanter09,51,Wizard,Goblin,NPC
a_goblin_overseer12,50,Warrior,Goblin,NPC
a_goblin_death_caster06,49,Necromancer,Goblin,NPC
a_goblin_flame_chanter08,50,Wizard,Goblin,NPC
a_goblin_spirit_chanter09,50,Shaman,Goblin,NPC
a_goblin_overseer11,49,Warrior,Goblin,NPC
a_goblin_death_caster05,50,Necromancer,Goblin,NPC
a_goblin_spirit_chanter08,49,Shaman,Goblin,NPC
a_goblin_overseer10,49,Warrior,Goblin,NPC
a_goblin_blackguard05,51,Rogue,Goblin,NPC
a_goblin_spirit_chanter07,51,Shaman,Goblin,NPC
a_goblin_spirit_chanter06,49,Shaman,Goblin,NPC
a_goblin_flame_chanter07,51,Wizard,Goblin,NPC
a_goblin_overseer09,50,Warrior,Goblin,NPC
a_goblin_flame_chanter06,50,Wizard,Goblin,NPC
a_goblin_spirit_chanter05,51,Shaman,Goblin,NPC
