Name,Level,Class,Race,Type
an_isle_goblin63,26,Warrior,Goblin,NPC
an_elite_isle_goblin26,46,Warrior,Goblin,NPC
an_isle_goblin_wizard32,24,Wizard,Goblin,NPC
an_elite_isle_goblin_wizard15,46,Wizard,Goblin,NPC
an_isle_goblin_shaman35,24,Shaman,Goblin,NPC
an_elite_isle_goblin25,45,Warrior,Goblin,NPC
an_isle_goblin_wizard31,22,Wizard,Goblin,NPC
an_elite_isle_goblin24,46,Warrior,Goblin,NPC
an_isle_goblin62,23,Warrior,Goblin,NPC
an_isle_goblin61,24,Warrior,Goblin,NPC
an_elite_isle_goblin23,44,Warrior,Goblin,NPC
an_isle_goblin60,20,Warrior,Goblin,NPC
a_spectre07,34,Warrior,Spectre,NPC
an_isle_goblin59,21,Warrior,Goblin,NPC
an_elite_isle_goblin_shaman09,46,Shaman,Goblin,NPC
an_isle_goblin58,22,Warrior,Goblin,NPC
an_elite_isle_goblin_shaman08,44,Shaman,Goblin,NPC
an_isle_goblin_shaman34,21,Shaman,Goblin,NPC
an_elite_isle_goblin_wizard14,44,Wizard,Goblin,NPC
an_isle_goblin_wizard30,21,Wizard,Goblin,NPC
an_elite_isle_goblin22,45,Warrior,Goblin,NPC
an_isle_goblin_shaman33,22,Shaman,Goblin,NPC
an_elite_isle_goblin_shaman07,46,Shaman,Goblin,NPC
an_isle_goblin_wizard33,22,Wizard,Goblin,NPC
an_isle_goblin68,20,Warrior,Goblin,NPC
an_isle_goblin_shaman11,22,Shaman,Goblin,NPC
an_isle_goblin_shaman31,24,Shaman,Goblin,NPC
an_isle_goblin_wizard29,22,Wizard,Goblin,NPC
an_isle_goblin_wizard07,22,Wizard,Goblin,NPC
an_isle_goblin67,22,Warrior,Goblin,NPC
an_elite_isle_goblin20,44,Warrior,Goblin,NPC
a_festering_Greysong_pirate01,75,Wizard,Skeleton,NPC
a_rotting_Greysong_pirate01,75,Warrior,Skeleton,NPC
an_elite_isle_goblin_wizard12,45,Wizard,Goblin,NPC
an_elite_isle_goblin19,44,Warrior,Goblin,NPC
a_rotting_Greysong_pirate00,77,Warrior,Skeleton,NPC
an_elite_isle_goblin18,44,Warrior,Goblin,NPC
a_festering_Greysong_pirate00,76,Wizard,Skeleton,NPC
an_isle_goblin53,23,Warrior,Goblin,NPC
an_elite_isle_goblin_wizard11,44,Wizard,Goblin,NPC
an_aviak_starling25,11,Warrior,Aviak,NPC
an_isle_goblin52,23,Warrior,Goblin,NPC
an_elite_isle_goblin17,45,Warrior,Goblin,NPC
a_goblin_headmaster00,26,Warrior,Goblin,NPC
an_elite_isle_goblin16,44,Warrior,Goblin,NPC
an_isle_goblin_wizard28,22,Wizard,Goblin,NPC
an_elite_isle_goblin15,44,Warrior,Goblin,NPC
a_greater_skeleton47,20,Warrior,Ancient Skeleton,NPC
an_isle_goblin_shaman30,24,Shaman,Goblin,NPC
an_elite_isle_goblin14,45,Warrior,Goblin,NPC
an_isle_goblin51,24,Warrior,Goblin,NPC
an_elite_isle_goblin_shaman06,44,Shaman,Goblin,NPC
an_isle_goblin50,23,Warrior,Goblin,NPC
an_elite_isle_goblin_wizard10,46,Wizard,Goblin,NPC
an_isle_goblin_wizard27,21,Wizard,Goblin,NPC
an_elite_isle_goblin_wizard09,46,Wizard,Goblin,NPC
an_isle_goblin_shaman29,20,Shaman,Goblin,NPC
an_elite_isle_goblin_wizard08,44,Wizard,Goblin,NPC
an_isle_goblin_wizard26,21,Wizard,Goblin,NPC
an_elite_isle_goblin12,45,Warrior,Goblin,NPC
an_isle_goblin49,22,Warrior,Goblin,NPC
an_isle_goblin_wizard25,21,Wizard,Goblin,NPC
an_isle_goblin_wizard24,22,Wizard,Goblin,NPC
an_aviak_starling14,10,Warrior,Aviak,NPC
an_elite_isle_goblin_wizard07,44,Wizard,Goblin,NPC
an_isle_goblin_shaman28,22,Shaman,Goblin,NPC
an_elite_isle_goblin_shaman04,45,Shaman,Goblin,NPC
an_isle_goblin48,22,Warrior,Goblin,NPC
an_elite_isle_goblin_wizard06,46,Wizard,Goblin,NPC
an_isle_goblin_shaman27,21,Shaman,Goblin,NPC
#The_Seaking00,99,Warrior,Boat,NPC
an_elite_isle_goblin_wizard04,45,Wizard,Goblin,NPC
an_isle_goblin47,20,Warrior,Goblin,NPC
an_isle_goblin46,20,Warrior,Goblin,NPC
an_elite_isle_goblin_shaman03,45,Shaman,Goblin,NPC
an_isle_goblin45,20,Warrior,Goblin,NPC
an_isle_goblin44,22,Warrior,Goblin,NPC
an_isle_goblin_wizard23,21,Wizard,Goblin,NPC
an_isle_goblin_wizard22,22,Wizard,Goblin,NPC
an_alluring_siren07,13,Warrior,Mermaid,NPC
an_isle_goblin43,22,Warrior,Goblin,NPC
an_alluring_siren06,13,Warrior,Mermaid,NPC
an_elite_isle_goblin08,46,Warrior,Goblin,NPC
an_isle_goblin42,20,Warrior,Goblin,NPC
an_alluring_siren05,13,Warrior,Mermaid,NPC
an_elite_isle_goblin07,45,Warrior,Goblin,NPC
an_isle_goblin_shaman26,21,Shaman,Goblin,NPC
an_aviak_starling09,11,Warrior,Aviak,NPC
an_elite_isle_goblin06,44,Warrior,Goblin,NPC
an_isle_goblin_shaman25,21,Shaman,Goblin,NPC
an_isle_goblin_wizard21,22,Wizard,Goblin,NPC
an_elite_isle_goblin05,45,Warrior,Goblin,NPC
an_isle_goblin_wizard20,22,Wizard,Goblin,NPC
an_aviak_starling06,10,Warrior,Aviak,NPC
an_isle_goblin_wizard19,22,Wizard,Goblin,NPC
an_elite_isle_goblin04,44,Warrior,Goblin,NPC
an_isle_goblin41,22,Warrior,Goblin,NPC
an_elite_isle_goblin03,46,Warrior,Goblin,NPC
an_isle_goblin_wizard18,21,Wizard,Goblin,NPC
The_Fabled_Allizewsaur00,70,Warrior,Lizard Man,NPC
an_isle_goblin_wizard17,22,Wizard,Goblin,NPC
an_isle_goblin_shaman24,20,Shaman,Goblin,NPC
an_elite_isle_goblin_shaman01,46,Shaman,Goblin,NPC
an_isle_goblin_wizard16,20,Wizard,Goblin,NPC
an_elite_isle_goblin_wizard00,44,Wizard,Goblin,NPC
an_isle_goblin_wizard15,20,Wizard,Goblin,NPC
an_elite_isle_goblin02,46,Warrior,Goblin,NPC
an_isle_goblin40,21,Warrior,Goblin,NPC
an_elite_isle_goblin01,44,Warrior,Goblin,NPC
an_isle_goblin_shaman23,22,Shaman,Goblin,NPC
an_elite_isle_goblin00,44,Warrior,Goblin,NPC
an_elite_isle_goblin_shaman00,45,Shaman,Goblin,NPC
an_isle_goblin_wizard14,21,Wizard,Goblin,NPC
Nerbilik00,20,Warrior,Troll,NPC
an_isle_goblin39,22,Warrior,Goblin,NPC
Laeviniia_Sortellin00,25,Warrior,Wood Elf,NPC
an_isle_goblin38,21,Warrior,Goblin,NPC
Jorelia_Dalwynn00,25,Warrior,Wood Elf,NPC
an_isle_goblin_wizard13,20,Wizard,Goblin,NPC
Jaelinia_Dalwynn00,25,Warrior,Wood Elf,NPC
an_isle_goblin_wizard12,21,Wizard,Goblin,NPC
Vaelinia_Dalwynn00,25,Warrior,Wood Elf,NPC
Kaeylie_Prendyn00,25,Warrior,Wood Elf,NPC
an_isle_goblin_wizard11,20,Wizard,Goblin,NPC
Velanae_Marcynn00,25,Warrior,Wood Elf,NPC
an_isle_goblin_shaman22,20,Shaman,Goblin,NPC
Melanaie_Marcynn00,25,Warrior,Wood Elf,NPC
an_isle_goblin_wizard10,20,Wizard,Goblin,NPC
Talaniea_Derenell00,25,Warrior,Wood Elf,NPC
an_isle_goblin36,20,Warrior,Goblin,NPC
Phalcoa_Neldarin00,25,Warrior,Wood Elf,NPC
an_isle_goblin35,20,Warrior,Goblin,NPC
an_isle_goblin_wizard09,22,Wizard,Goblin,NPC
an_isle_goblin_shaman19,22,Shaman,Goblin,NPC
an_isle_goblin34,22,Warrior,Goblin,NPC
Toko_Binlittle00,16,Magician,Gnome,NPC
an_isle_goblin_wizard08,20,Wizard,Goblin,NPC
a_greater_skeleton10,20,Warrior,Ancient Skeleton,NPC
a_seafury_cyclops33,42,Warrior,Giant,NPC
an_isle_goblin33,21,Warrior,Goblin,NPC
a_seafury_cyclops32,41,Warrior,Giant,NPC
an_isle_goblin32,21,Warrior,Goblin,NPC
an_isle_goblin31,20,Warrior,Goblin,NPC
an_isle_goblin30,22,Warrior,Goblin,NPC
a_greater_skeleton59,20,Warrior,Ancient Skeleton,NPC
an_isle_goblin_shaman18,21,Shaman,Goblin,NPC
a_seafury_cyclops29,42,Warrior,Giant,NPC
an_isle_goblin_shaman17,20,Shaman,Goblin,NPC
a_seafury_cyclops28,39,Warrior,Giant,NPC
an_isle_goblin29,21,Warrior,Goblin,NPC
#an_ancient_cyclops00,40,Warrior,Giant,NPC
an_isle_goblin_shaman16,22,Shaman,Goblin,NPC
an_isle_goblin28,21,Warrior,Goblin,NPC
a_seafury_cyclops26,42,Warrior,Giant,NPC
an_isle_goblin_shaman14,20,Shaman,Goblin,NPC
an_isle_goblin_shaman13,21,Shaman,Goblin,NPC
a_greater_skeleton57,19,Warrior,Ancient Skeleton,NPC
a_seafury_cyclops24,41,Warrior,Giant,NPC
an_isle_goblin27,21,Warrior,Goblin,NPC
a_seafury_cyclops23,40,Warrior,Giant,NPC
a_seafury_cyclops22,38,Warrior,Giant,NPC
an_isle_goblin26,21,Warrior,Goblin,NPC
a_greater_skeleton56,20,Warrior,Ancient Skeleton,NPC
an_isle_goblin_wizard06,21,Wizard,Goblin,NPC
a_seafury_cyclops20,38,Warrior,Giant,NPC
a_seafury_cyclops19,41,Warrior,Giant,NPC
an_isle_goblin_wizard05,22,Wizard,Goblin,NPC
a_seafury_cyclops18,39,Warrior,Giant,NPC
a_spectre09,33,Warrior,Spectre,NPC
a_seafury_cyclops17,38,Warrior,Giant,NPC
a_spectre08,34,Warrior,Spectre,NPC
a_seafury_cyclops16,39,Warrior,Giant,NPC
a_spectre06,34,Warrior,Spectre,NPC
an_aviak_turaco10,15,Warrior,Aviak,NPC
a_spectre05,37,Warrior,Spectre,NPC
a_greater_skeleton46,19,Warrior,Ancient Skeleton,NPC
an_aviak_turaco08,14,Warrior,Aviak,NPC
a_seafury_cyclops13,41,Warrior,Giant,NPC
an_aviak_turaco07,15,Warrior,Aviak,NPC
a_seafury_cyclops12,39,Warrior,Giant,NPC
a_greater_skeleton45,18,Warrior,Ancient Skeleton,NPC
an_aviak_turaco05,14,Warrior,Aviak,NPC
a_greater_skeleton24,20,Warrior,Ancient Skeleton,NPC
an_aviak_tanager16,19,Warrior,Aviak,NPC
a_seafury_cyclops10,41,Warrior,Giant,NPC
an_aviak_tanager15,18,Warrior,Aviak,NPC
a_seafury_cyclops09,38,Warrior,Giant,NPC
an_aviak_tanager14,18,Warrior,Aviak,NPC
a_greater_skeleton44,20,Warrior,Ancient Skeleton,NPC
an_aviak_tanager11,18,Warrior,Aviak,NPC
a_greater_skeleton38,19,Warrior,Ancient Skeleton,NPC
a_greater_skeleton43,20,Warrior,Ancient Skeleton,NPC
a_seafury_cyclops06,39,Warrior,Giant,NPC
a_greater_skeleton32,20,Warrior,Ancient Skeleton,NPC
a_greater_skeleton42,18,Warrior,Ancient Skeleton,NPC
a_seafury_cyclops05,38,Warrior,Giant,NPC
a_greater_skeleton16,18,Warrior,Ancient Skeleton,NPC
a_greater_skeleton03,18,Warrior,Ancient Skeleton,NPC
a_greater_skeleton41,20,Warrior,Ancient Skeleton,NPC
a_seafury_cyclops03,42,Warrior,Giant,NPC
an_aviak_tanager10,17,Warrior,Aviak,NPC
a_greater_skeleton40,20,Warrior,Ancient Skeleton,NPC
a_greater_skeleton14,18,Warrior,Ancient Skeleton,NPC
a_greater_skeleton39,20,Warrior,Ancient Skeleton,NPC
an_aviak_tanager08,19,Warrior,Aviak,NPC
an_old_shark01,34,Warrior,Shark,NPC
a_seafury_cyclops01,41,Warrior,Giant,NPC
a_greater_skeleton37,19,Warrior,Ancient Skeleton,NPC
Boog_Mudtoe00,18,Warrior,Ogre,NPC
a_greater_skeleton36,20,Warrior,Ancient Skeleton,NPC
a_spectre04,35,Warrior,Spectre,NPC
a_greater_skeleton35,19,Warrior,Ancient Skeleton,NPC
an_aviak_quetzel10,23,Warrior,Aviak,NPC
a_seafury_cyclops00,38,Warrior,Giant,NPC
an_aviak_quetzel09,23,Warrior,Aviak,NPC
an_aviak_quetzel08,21,Warrior,Aviak,NPC
a_greater_skeleton13,19,Warrior,Ancient Skeleton,NPC
an_aviak_quetzel07,22,Warrior,Aviak,NPC
an_aviak_quetzel06,21,Warrior,Aviak,NPC
Goob_Mudtoe00,21,Shaman,Ogre,NPC
a_greater_skeleton33,19,Warrior,Ancient Skeleton,NPC
a_greater_skeleton07,20,Warrior,Ancient Skeleton,NPC
a_greater_skeleton06,19,Warrior,Ancient Skeleton,NPC
an_aviak_quetzel05,23,Warrior,Aviak,NPC
a_greater_skeleton31,18,Warrior,Ancient Skeleton,NPC
a_greater_skeleton30,18,Warrior,Ancient Skeleton,NPC
a_greater_skeleton29,19,Warrior,Ancient Skeleton,NPC
