Name,Level,Class,Race,Type
a_scorpikis22,34,Shadow Knight,Scorpion,NPC
sabretooth_tigress15,31,Warrior,Saber-toothed Cat,NPC
a_scorpikis21,33,Shadow Knight,Scorpion,NPC
a_stonepeep_cockatrice07,16,Warrior,Cockatrice,NPC
a_scorpikis20,35,Shadow Knight,Scorpion,NPC
a_sarnak_conscript05,19,Warrior,Sarnak,NPC
a_scorpikis34,33,Shadow Knight,Scorpion,NPC
a_spiked_succulent11,34,Warrior,Succulent,NPC
a_sarnak_berserker19,33,Warrior,Sarnak,NPC
a_sarnak_berserker02,29,Warrior,Sarnak,NPC
a_sabertooth_tigress02,14,Warrior,Saber-toothed Cat,NPC
a_Kunark_rhino02,33,Warrior,Rhinoceros,NPC
a_sarnak_conscript08,19,Warrior,Sarnak,NPC
a_sabertooth_tigress09,14,Warrior,Saber-toothed Cat,NPC
sabretooth_tigress10,34,Warrior,Saber-toothed Cat,NPC
a_barbed_succulent06,20,Warrior,Succulent,NPC
a_Kunark_rhino19,35,Warrior,Rhinoceros,NPC
a_spiked_succulent08,32,Warrior,Succulent,NPC
Scorpikis_Guardian00,43,Shadow Knight,Scorpion,NPC
a_sarnak_knight07,37,Warrior,Sarnak,NPC
a_stonepeep_cockatrice06,15,Warrior,Cockatrice,NPC
a_sarnak_knight02,34,Warrior,Sarnak,NPC
a_barbed_succulent13,18,Warrior,Succulent,NPC
sabretooth_tigress05,31,Warrior,Saber-toothed Cat,NPC
a_prickly_succulent09,15,Warrior,Succulent,NPC
a_barbed_succulent08,18,Warrior,Succulent,NPC
Uggrig_Skullchomper00,61,Beastlord GM,Ogre,NPC
a_sarnak_conscript03,18,Warrior,Sarnak,NPC
a_thorny_succulent14,31,Warrior,Succulent,NPC
sabretooth_tigress24,30,Warrior,Saber-toothed Cat,NPC
a_spiked_succulent06,35,Warrior,Succulent,NPC
a_stoneleer_cockatrice25,29,Warrior,Cockatrice,NPC
sabretooth_tiger12,38,Warrior,Saber-toothed Cat,NPC
a_sarnak_berserker23,33,Warrior,Sarnak,NPC
sabretooth_tiger05,35,Warrior,Saber-toothed Cat,NPC
Dragoon_T`Vem00,50,Warrior,Dark Elf,NPC
#Gazak_Davix00,40,Shopkeeper,Troll,NPC
a_scorpikis09,35,Shadow Knight,Scorpion,NPC
Dragoon_T`Vex00,50,Warrior,Dark Elf,NPC
a_prickly_succulent03,16,Warrior,Succulent,NPC
Dragoon_V`Resh00,50,Warrior,Dark Elf,NPC
sabretooth_tigress25,32,Warrior,Saber-toothed Cat,NPC
a_barbed_succulent00,18,Warrior,Succulent,NPC
a_sarnak_berserker16,33,Warrior,Sarnak,NPC
sabretooth_tigress14,32,Warrior,Saber-toothed Cat,NPC
a_thorny_succulent03,30,Warrior,Succulent,NPC
sabretooth_tiger02,36,Warrior,Saber-toothed Cat,NPC
a_spiked_succulent00,32,Warrior,Succulent,NPC
a_sarnak_flunkie05,16,Warrior,Sarnak,NPC
a_scorpikis30,33,Shadow Knight,Scorpion,NPC
a_Kunark_rhino20,16,Warrior,Rhinoceros,NPC
a_sabertooth_tigress10,15,Warrior,Saber-toothed Cat,NPC
a_stoneleer_cockatrice03,33,Warrior,Cockatrice,NPC
a_thorny_succulent07,30,Warrior,Succulent,NPC
a_spiked_succulent04,32,Warrior,Succulent,NPC
Admiral_Tylix00,59,Shadow Knight,Iksar Spirit,NPC
a_thorny_succulent09,31,Warrior,Succulent,NPC
a_prickly_succulent00,15,Warrior,Succulent,NPC
a_sarnak_berserker13,29,Warrior,Sarnak,NPC
sabretooth_tigress06,30,Warrior,Saber-toothed Cat,NPC
a_prickly_succulent13,17,Warrior,Succulent,NPC
sabretooth_tigress00,34,Warrior,Saber-toothed Cat,NPC
a_thorny_succulent01,31,Warrior,Succulent,NPC
a_stonegazer_cockatrice11,37,Warrior,Cockatrice,NPC
a_Kunark_rhino09,34,Warrior,Rhinoceros,NPC
a_Kunark_rhino03,32,Warrior,Rhinoceros,NPC
a_sarnak_berserker05,29,Warrior,Sarnak,NPC
a_sabertooth_cat03,10,Warrior,Saber-toothed Cat,NPC
a_sarnak_knight10,33,Warrior,Sarnak,NPC
a_stoneleer_cockatrice20,30,Warrior,Cockatrice,NPC
a_sarnak_enthusiast02,33,Shaman,Sarnak,NPC
a_sarnak_knight05,36,Warrior,Sarnak,NPC
a_sarnak_berserker04,29,Warrior,Sarnak,NPC
a_spiked_succulent05,34,Warrior,Succulent,NPC
a_sarnak_messenger01,38,Warrior,Sarnak,NPC
a_barbed_succulent05,19,Warrior,Succulent,NPC
a_stoneleer_cockatrice15,29,Warrior,Cockatrice,NPC
a_Kunark_rhino11,32,Warrior,Rhinoceros,NPC
Siladdarae_N`Riese00,49,Enchanter,Dark Elf,NPC
a_sabertooth_tiger02,20,Warrior,Saber-toothed Cat,NPC
Slicia_J`Singe00,49,Magician,Dark Elf,NPC
a_sabertooth_tiger01,20,Warrior,Saber-toothed Cat,NPC
Bukuku_Wolffeetz00,49,Shaman,Ogre,NPC
a_thorny_succulent08,30,Warrior,Succulent,NPC
Utandar_Rizndown00,40,Wizard,Dark Elf,NPC
a_stonegazer_cockatrice04,37,Warrior,Cockatrice,NPC
Brinaa_Darkpact00,49,Cleric,Dark Elf,NPC
an_undead_foreman00,50,Warrior,Iksar Skeleton,NPC
#Greysong_ship_debris00,70,LDoN Object,Dynamite Keg,NPC
a_spiked_succulent20,33,Warrior,Succulent,NPC
an_undead_herald00,30,Warrior,Iksar Skeleton,NPC
a_festering_Greysong_pirate00,76,Wizard,Skeleton,NPC
Dyth_X`Teria00,61,Wizard GM,Dark Elf,NPC
Grubmar_Hartblak00,40,Shopkeeper,Ogre,NPC
a_bristly_succulent14,12,Warrior,Succulent,NPC
Kelsi_Q`Grinol00,40,Shopkeeper,Dark Elf,NPC
a_sarnak_knight18,36,Warrior,Sarnak,NPC
Finlay_Kitoran00,40,Shopkeeper,Erudite,NPC
Tyrin_F`Linz00,40,Shopkeeper,Dark Elf,NPC
Alchemist_Granika00,25,Shaman,Iksar,NPC
Kuglaz_Grot00,40,Shopkeeper,Troll,NPC
Lissa_T`Born00,40,Shopkeeper,Dark Elf,NPC
Historian_Azern00,50,Warrior,Iksar,NPC
a_thorny_succulent00,33,Warrior,Succulent,NPC
Dragoon_V`Lask00,50,Warrior,Dark Elf,NPC
a_stoneleer_cockatrice19,33,Warrior,Cockatrice,NPC
a_sabertooth_cat08,10,Warrior,Saber-toothed Cat,NPC
Xasraa_Ricken00,50,Warrior,Iksar,NPC
Ratrana_Zill00,50,Warrior,Iksar,NPC
Lurik_Bazz00,50,Warrior,Iksar,NPC
Khai_Kar00,50,Warrior,Iksar,NPC
Gnort_Fleshblade00,50,Warrior,Ogre,NPC
an_undead_marine07,50,Warrior,Iksar Skeleton,NPC
a_scorpikis62,32,Shadow Knight,Scorpion,NPC
a_scorpikis61,35,Shadow Knight,Scorpion,NPC
Tin_Banker_II00,99,Banker,Clockwork Gnome,NPC
a_scorpikis60,32,Shadow Knight,Scorpion,NPC
Tin_Banker_I00,99,Banker,Clockwork Gnome,NPC
a_sabertooth_tigress00,15,Warrior,Saber-toothed Cat,NPC
Tin_Merchant_XI00,40,Shopkeeper,Clockwork Gnome,NPC
a_scorpikis59,34,Shadow Knight,Scorpion,NPC
Tin_Merchant_X00,40,Shopkeeper,Clockwork Gnome,NPC
a_scorpikis_scrounger03,35,Shadow Knight,Scorpion,NPC
Tin_Merchant_IX00,40,Shopkeeper,Clockwork Gnome,NPC
