Name,Level,Class,Race,Type
Priest_of_Discord00,50,Cleric,Human,NPC
Shwara_Volerno00,70,Necromancer GM,Erudite,NPC
Sadorno_Chomosh00,70,Cleric GM,Erudite,NPC
a_fire_beetle03,2,Warrior,Beetle,NPC
Azzar_Habbib00,25,Necromancer,Erudite,NPC
library_assistant00,24,Warrior,Ghoul,NPC
Dzan_Amo00,35,Cleric,Erudite,NPC
Atdehim_Sqonci00,45,Cleric,Erudite,NPC
Elia_Athrex00,5,Necromancer,Erudite,NPC
a_spirit_chanter01,45,Cleric,Ghost,NPC
a_spirit_chanter00,45,Cleric,Ghost,NPC
Medoris_Flalzm00,35,Warrior,Ghost,NPC
Ninna_Flalzm00,35,Warrior,Ghost,NPC
Guard_Captain_Latorl00,40,Warrior,Ancient Skeleton,NPC
Guard_Nextloxtl00,24,Warrior,Ancient Skeleton,NPC
Guard_Exclorpt00,25,Warrior,Ancient Skeleton,NPC
Guard_Ezrothe00,24,Warrior,Ancient Skeleton,NPC
Guard_Notzxatl00,27,Warrior,Ancient Skeleton,NPC
Ernax_the_Scholar00,35,Wizard,Erudite,NPC
Tormented_Soul00,50,Monk,Ghost,NPC
Guard_Buldoral00,27,Warrior,Ancient Skeleton,NPC
Guard_Lidozarnn00,27,Warrior,Ancient Skeleton,NPC
Guard_Hetorzuz00,25,Warrior,Ancient Skeleton,NPC
Loleluz00,50,Shopkeeper,Ancient Skeleton,NPC
Archenm00,50,Shopkeeper,Ancient Skeleton,NPC
Noclin_Saah00,15,Warrior,Erudite,NPC
Guard_Abbilash00,18,Warrior,Ancient Skeleton,NPC
Guard_Rireboln00,15,Warrior,Ancient Skeleton,NPC
Guard_Kellolonren00,15,Warrior,Ancient Skeleton,NPC
Guard_Lelton00,18,Warrior,Ancient Skeleton,NPC
Derena_Leflor00,11,Warrior,Erudite,NPC
Guard_Lecknar00,15,Warrior,Ancient Skeleton,NPC
Guard_Korlack00,15,Warrior,Ancient Skeleton,NPC
Telan_Buvare00,13,Shadow Knight,Erudite,NPC
Verolk_Kishneal00,11,Shadow Knight,Erudite,NPC
Keeshla_Levlora00,14,Necromancer,Erudite,NPC
Velana_Kelmuza00,12,Necromancer,Erudite,NPC
a_moss_snake05,1,Warrior,Snake,NPC
a_pack_rat03,1,Warrior,Rat,NPC
a_pack_rat00,1,Warrior,Rat,NPC
a_moss_snake04,1,Warrior,Snake,NPC
a_moss_snake01,1,Warrior,Snake,NPC
Guard_Menbuknar00,10,Warrior,Ancient Skeleton,NPC
Faratain00,50,Shopkeeper,Erudite,NPC
Guard_Heridion00,10,Warrior,Ancient Skeleton,NPC
Guard_Lomanres00,16,Warrior,Ancient Skeleton,NPC
Guard_Pomnares00,15,Warrior,Ancient Skeleton,NPC
Guard_Lehlufa00,14,Warrior,Ancient Skeleton,NPC
Guard_Perelin00,16,Warrior,Ancient Skeleton,NPC
Guard_Lesunra00,16,Warrior,Ancient Skeleton,NPC
Guard_Yerlash00,23,Warrior,Ancient Skeleton,NPC
Guard_Pendleir00,26,Warrior,Ancient Skeleton,NPC
Guard_Tynaryn00,26,Warrior,Ancient Skeleton,NPC
Guard_Abrebla00,37,Warrior,Ancient Skeleton,NPC
Guard_Potren00,33,Warrior,Ancient Skeleton,NPC
Guard_Ishvlor00,36,Warrior,Ancient Skeleton,NPC
Guard_Sheltuin00,37,Warrior,Ancient Skeleton,NPC
Guard_Mertanor00,34,Warrior,Ancient Skeleton,NPC
Guard_Ackin00,35,Warrior,Ancient Skeleton,NPC
Jenkin_Fleetmore00,50,Shopkeeper,Erudite,NPC
Kervis_Ackblor00,50,Shopkeeper,Erudite,NPC
Ishen_Lelelan00,50,Shopkeeper,Erudite,NPC
Tenralus_Brackmar00,50,Shopkeeper,Erudite,NPC
Erelin_Verisue00,50,Shopkeeper,Erudite,NPC
Lillean_Han_Oni00,50,Shopkeeper,Erudite,NPC
Oren_Calferdo00,50,Shopkeeper,Erudite,NPC
