Name,Level,Class,Race,Type
a_sensate_reishi_elder01,17,Warrior,Shrieker,NPC
an_outcast_ShikNar36,16,Warrior,Shik'Nar,NPC
an_outcast_ShikNar34,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar31,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar29,16,Warrior,Shik'Nar,NPC
an_outcast_ShikNar28,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar27,15,Warrior,Shik'Nar,NPC
an_outcast_ShikNar24,17,Warrior,Shik'Nar,NPC
a_mature_sensate_reishi02,16,Warrior,Shrieker,NPC
an_outcast_ShikNar15,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar13,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar23,16,Warrior,Shik'Nar,NPC
an_outcast_ShikNar33,15,Warrior,Shik'Nar,NPC
an_outcast_ShikNar20,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar08,16,Warrior,Shik'Nar,NPC
an_outcast_ShikNar17,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar32,15,Warrior,Shik'Nar,NPC
a_recondite_pickpocket02,19,Rogue,Halfling,NPC
an_outcast_ShikNar18,16,Warrior,Shik'Nar,NPC
a_recondite_pickpocket00,16,Rogue,Halfling,NPC
a_recondite_footpad00,17,Rogue,Vah Shir,NPC
a_plerg_phlarg_fiend02,12,Warrior,Fungal Fiend,NPC
an_outcast_ShikNar30,16,Warrior,Shik'Nar,NPC
a_recondite_demagogue01,17,Rogue,Half Elf,NPC
an_outcast_ShikNar25,16,Warrior,Shik'Nar,NPC
an_outcast_ShikNar22,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar21,17,Warrior,Shik'Nar,NPC
a_sensate_reishi_elder13,19,Warrior,Shrieker,NPC
a_sensate_reishi_elder12,19,Warrior,Shrieker,NPC
Ringo00,16,Warrior,Underbulk,NPC
an_outcast_ShikNar19,15,Warrior,Shik'Nar,NPC
an_outcast_ShikNar16,16,Warrior,Shik'Nar,NPC
a_large_wetfang00,11,Warrior,Wetfang Minnow,NPC
an_outcast_ShikNar12,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar01,16,Warrior,Shik'Nar,NPC
a_large_wetfang01,14,Warrior,Wetfang Minnow,NPC
a_plerg_phlarg_fiend75,12,Warrior,Fungal Fiend,NPC
an_outcast_ShikNar11,16,Warrior,Shik'Nar,NPC
a_mature_sensate_reishi09,16,Warrior,Shrieker,NPC
an_outcast_ShikNar09,17,Warrior,Shik'Nar,NPC
a_sensate_reishi_elder07,18,Warrior,Shrieker,NPC
a_sensate_reishi_elder06,17,Warrior,Shrieker,NPC
an_outcast_ShikNar04,17,Warrior,Shik'Nar,NPC
an_outcast_ShikNar03,15,Warrior,Shik'Nar,NPC
a_plerg_phlarg_fiend74,14,Warrior,Fungal Fiend,NPC
a_muck_digger33,8,Warrior,Underbulk,NPC
a_sensate_reishi_elder04,18,Warrior,Shrieker,NPC
a_sensate_reishi_juvenile02,9,Warrior,Shrieker,NPC
an_outcast_ShikNar00,16,Warrior,Shik'Nar,NPC
a_glowing_muck_digger00,12,Warrior,Underbulk,NPC
a_plerg_phlarg_fiend71,13,Warrior,Fungal Fiend,NPC
a_grime_tunneler04,11,Warrior,Underbulk,NPC
a_patog_phlarg_fiend43,16,Warrior,Fungal Fiend,NPC
a_sensate_reishi_juvenile01,9,Warrior,Shrieker,NPC
a_patog_phlarg_fiend40,17,Warrior,Fungal Fiend,NPC
a_muck_digger32,9,Warrior,Underbulk,NPC
a_sensate_reishi_sprout02,7,Warrior,Shrieker,NPC
a_sediment_delver19,13,Warrior,Underbulk,NPC
a_muck_digger31,8,Warrior,Underbulk,NPC
a_grime_tunneler07,12,Warrior,Underbulk,NPC
a_grime_tunneler02,12,Warrior,Underbulk,NPC
a_plerg_phlarg_fiend73,14,Warrior,Fungal Fiend,NPC
a_grime_tunneler03,12,Warrior,Underbulk,NPC
a_muck_digger30,9,Warrior,Underbulk,NPC
a_sensate_reishi01,11,Warrior,Shrieker,NPC
a_muck_digger29,9,Warrior,Underbulk,NPC
a_sensate_reishi00,12,Warrior,Shrieker,NPC
a_muck_digger28,10,Warrior,Underbulk,NPC
a_muck_digger27,9,Warrior,Underbulk,NPC
a_grimy_owlbear_cub03,15,Warrior,Owlbear,NPC
a_sensate_reishi_sprout22,5,Warrior,Shrieker,NPC
a_sediment_delver16,13,Warrior,Underbulk,NPC
a_sensate_reishi07,11,Warrior,Shrieker,NPC
a_grimy_owlbear_cub01,17,Warrior,Owlbear,NPC
a_grime_tunneler06,13,Warrior,Underbulk,NPC
a_sensate_reishi_juvenile06,10,Warrior,Shrieker,NPC
a_grimy_owlbear_cub00,15,Warrior,Owlbear,NPC
a_muck_digger24,8,Warrior,Underbulk,NPC
a_patog_phlarg_fiend17,17,Warrior,Fungal Fiend,NPC
a_mud_burrower33,6,Warrior,Underbulk,NPC
a_mud_burrower45,5,Warrior,Underbulk,NPC
a_sensate_reishi_sprout00,6,Warrior,Shrieker,NPC
a_muck_digger23,8,Warrior,Underbulk,NPC
a_sensate_reishi_juvenile05,10,Warrior,Shrieker,NPC
a_mud_burrower30,6,Warrior,Underbulk,NPC
a_sensate_reishi_juvenile04,10,Warrior,Shrieker,NPC
a_muck_digger22,8,Warrior,Underbulk,NPC
a_sensate_reishi06,13,Warrior,Shrieker,NPC
a_muck_digger21,10,Warrior,Underbulk,NPC
