Name,Level,Class,Race,Type
a_fire_elemental_raider26,68,Warrior,Elemental,NPC
an_earth_elemental_rockshaper0,68,Shaman,Elemental,NPC
a_fire_elemental_raider25,66,Warrior,Elemental,NPC
a_water_elemental_wavecrasher0,69,Cleric,Elemental,NPC
an_earth_elemental_intruder06,69,Warrior,Elemental,NPC
a_fire_elemental_raider24,70,Warrior,Elemental,NPC
an_air_elemental_breeze_lord05,67,Enchanter,Elemental,NPC
a_water_elemental_invader12,70,Warrior,Elemental,NPC
an_air_elemental_infiltrator16,69,Warrior,Elemental,NPC
an_air_elemental_breeze_lord03,70,Enchanter,Elemental,NPC
a_dead_gnoll44,1,Warrior,Gnoll,NPC
a_fire_elemental_blazemaster08,67,Wizard,Elemental,NPC
an_earth_elemental_rockshaper0,64,Shaman,Elemental,NPC
a_fire_elemental_raider23,67,Warrior,Elemental,NPC
an_earth_elemental_rockshaper0,66,Shaman,Elemental,NPC
a_dead_gnoll43,1,Warrior,Gnoll,NPC
an_air_elemental_infiltrator15,68,Warrior,Elemental,NPC
a_fire_elemental_blazemaster05,64,Wizard,Elemental,NPC
an_air_elemental_infiltrator21,69,Warrior,Elemental,NPC
an_earth_elemental_rockshaper0,69,Shaman,Elemental,NPC
a_water_elemental_wavecrasher0,69,Cleric,Elemental,NPC
a_fire_elemental_raider01,67,Warrior,Elemental,NPC
a_dead_gnoll42,1,Warrior,Gnoll,NPC
an_earth_elemental_intruder00,67,Warrior,Elemental,NPC
a_dead_gnoll41,1,Warrior,Gnoll,NPC
an_air_elemental_breeze_lord02,67,Enchanter,Elemental,NPC
an_earth_elemental_rockshaper0,68,Shaman,Elemental,NPC
an_air_elemental_breeze_lord01,70,Enchanter,Elemental,NPC
a_dead_gnoll40,1,Warrior,Gnoll,NPC
a_water_elemental_wavecrasher0,66,Cleric,Elemental,NPC
a_dead_gnoll39,1,Warrior,Gnoll,NPC
a_water_elemental_invader11,69,Warrior,Elemental,NPC
an_air_elemental_infiltrator14,70,Warrior,Elemental,NPC
a_dead_gnoll38,1,Warrior,Gnoll,NPC
a_fire_elemental_raider22,70,Warrior,Elemental,NPC
a_fire_elemental_raider18,70,Warrior,Elemental,NPC
a_dead_gnoll36,1,Warrior,Gnoll,NPC
a_water_elemental_invader10,66,Warrior,Elemental,NPC
a_water_elemental_invader08,66,Warrior,Elemental,NPC
a_dead_gnoll35,1,Warrior,Gnoll,NPC
a_fire_elemental_blazemaster01,66,Wizard,Elemental,NPC
a_water_elemental_wavecrasher0,69,Cleric,Elemental,NPC
a_water_elemental_invader05,68,Warrior,Elemental,NPC
a_dead_gnoll34,1,Warrior,Gnoll,NPC
