Name,Level,Class,Race,Type
an_icy_terror03,48,Warrior,Tentacle Terror,NPC
an_icy_terror01,50,Warrior,Tentacle Terror,NPC
an_icy_terror00,48,Warrior,Tentacle Terror,NPC
giant_wooly_spider00,45,Warrior,Spider,NPC
an_elite_goblin_guard02,29,Warrior,Goblin,NPC
an_ice_goblin_runt07,16,Warrior,Goblin,NPC
an_ice_goblin_runt06,16,Warrior,Goblin,NPC
a_goblin_patriarch00,30,Cleric,Goblin,NPC
an_ice_goblin_veteran47,20,Warrior,Goblin,NPC
an_ice_giant_diplomat00,35,Wizard,Giant,NPC
a_goblin_diviner01,14,Wizard,Goblin,NPC
an_ice_goblin_runt04,16,Warrior,Goblin,NPC
an_ice_goblin_runt03,12,Warrior,Goblin,NPC
an_ice_goblin_runt02,12,Warrior,Goblin,NPC
a_goblin_mendicant00,14,Cleric,Goblin,NPC
an_ice_goblin_runt01,16,Warrior,Goblin,NPC
an_ice_goblin_runt00,10,Warrior,Goblin,NPC
a_giant_polar_bear13,44,Warrior,Bear,NPC
an_ice_giant_priest03,43,Cleric,Giant,NPC
an_ice_giant05,43,Warrior,Giant,NPC
an_ice_giant03,44,Warrior,Giant,NPC
an_ice_giant01,42,Warrior,Giant,NPC
a_large_dire_wolf03,21,Warrior,Ancient Wolf,NPC
an_ice_giant08,43,Warrior,Giant,NPC
an_ice_goblin27,18,Warrior,Goblin,NPC
an_ice_goblin26,19,Warrior,Goblin,NPC
an_ice_giant06,41,Warrior,Giant,NPC
a_goblin_mendicant02,17,Cleric,Goblin,NPC
an_ice_giant_priest00,50,Cleric,Giant,NPC
an_ice_giant04,50,Warrior,Giant,NPC
Greshvoule00,35,Rogue,Barbarian,NPC
a_goblin_diviner02,16,Wizard,Goblin,NPC
a_young_ice_goblin17,17,Warrior,Goblin,NPC
an_ice_goblin_veteran05,22,Warrior,Goblin,NPC
an_ice_goblin22,19,Warrior,Goblin,NPC
an_ice_goblin_runt09,16,Warrior,Goblin,NPC
an_ice_goblin_runt08,12,Warrior,Goblin,NPC
an_ice_goblin34,20,Warrior,Goblin,NPC
a_goblin_wizard01,22,Wizard,Goblin,NPC
a_giant_polar_bear01,46,Warrior,Bear,NPC
a_giant_dire_wolf03,46,Warrior,Ancient Wolf,NPC
a_goblin_evoker03,22,Wizard,Goblin,NPC
a_giant_dire_wolf01,44,Warrior,Ancient Wolf,NPC
a_giant_polar_bear00,43,Warrior,Bear,NPC
giant_wooly_spider01,45,Warrior,Spider,NPC
a_giant_dire_wolf00,45,Warrior,Ancient Wolf,NPC
an_icy_terror02,48,Warrior,Tentacle Terror,NPC
an_elite_goblin_guard01,28,Warrior,Goblin,NPC
an_ice_goblin_veteran52,24,Warrior,Goblin,NPC
an_ice_goblin_veteran51,22,Warrior,Goblin,NPC
an_ice_goblin_veteran50,22,Warrior,Goblin,NPC
a_goblin_wizard04,23,Wizard,Goblin,NPC
an_ice_goblin38,20,Warrior,Goblin,NPC
an_elite_goblin_guard00,28,Warrior,Goblin,NPC
an_ice_goblin_veteran49,22,Warrior,Goblin,NPC
an_ice_goblin37,19,Warrior,Goblin,NPC
an_ice_goblin_veteran48,23,Warrior,Goblin,NPC
a_young_ice_goblin29,17,Warrior,Goblin,NPC
an_ice_goblin32,19,Warrior,Goblin,NPC
a_goblin_mendicant06,18,Cleric,Goblin,NPC
an_ice_goblin_veteran46,21,Warrior,Goblin,NPC
a_goblin_evoker08,19,Wizard,Goblin,NPC
an_ice_goblin_veteran45,22,Warrior,Goblin,NPC
an_ice_goblin_veteran44,21,Warrior,Goblin,NPC
an_ice_goblin_veteran43,24,Warrior,Goblin,NPC
