Name,Level,Class,Race,Type
a_nilborien_noble07,64,Wizard,Nilborien,NPC
a_nilborien_scholar09,64,Enchanter,Nilborien,NPC
a_nilborien_scholar08,64,Enchanter,Nilborien,NPC
an_elemental_doomseeker26,64,Warrior,Elemental,NPC
an_elemental_doomseeker25,64,Warrior,Elemental,NPC
an_elemental_doomseeker24,64,Warrior,Elemental,NPC
an_elemental_doomseeker23,64,Warrior,Elemental,NPC
an_elemental_doomseeker22,64,Warrior,Elemental,NPC
an_elemental_doomseeker21,64,Warrior,Elemental,NPC
an_elemental_doomseeker20,64,Warrior,Elemental,NPC
an_Air_phoenix_noble20,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble19,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble18,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble17,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble16,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble15,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble14,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble13,64,Wizard,Phoenix,NPC
an_Air_phoenix_noble12,64,Wizard,Phoenix,NPC
a_temple_guardian41,64,Warrior,Air Mephit,NPC
a_temple_guardian39,64,Warrior,Air Mephit,NPC
a_temple_guardian40,64,Warrior,Air Mephit,NPC
Fabled_Temple_Guardian05,83,Warrior,Air Mephit,NPC
a_temple_guardian38,64,Warrior,Air Mephit,NPC
a_temple_guardian37,64,Warrior,Air Mephit,NPC
a_temple_guardian36,64,Warrior,Air Mephit,NPC
a_temple_guardian35,64,Warrior,Air Mephit,NPC
a_stormrider_lightningclaw10,64,Warrior,Stormrider,NPC
a_temple_guardian34,64,Warrior,Air Mephit,NPC
a_temple_guardian33,64,Warrior,Air Mephit,NPC
a_temple_guardian32,64,Warrior,Air Mephit,NPC
Fabled_Temple_Guardian04,83,Warrior,Air Mephit,NPC
a_temple_guardian31,64,Warrior,Air Mephit,NPC
a_temple_guardian30,64,Warrior,Air Mephit,NPC
a_temple_guardian29,64,Warrior,Air Mephit,NPC
a_temple_guardian28,64,Warrior,Air Mephit,NPC
a_temple_guardian27,64,Warrior,Air Mephit,NPC
a_temple_guardian26,64,Warrior,Air Mephit,NPC
a_temple_guardian25,68,Warrior,Air Mephit,NPC
a_temple_guardian24,68,Warrior,Air Mephit,NPC
an_elemental_doomseeker19,65,Warrior,Elemental,NPC
an_elemental_doomseeker18,65,Warrior,Elemental,NPC
an_elemental_doomseeker17,65,Warrior,Elemental,NPC
an_elemental_doomseeker16,65,Warrior,Elemental,NPC
an_elemental_doomseeker15,65,Warrior,Elemental,NPC
a_nilborien_noble06,65,Wizard,Nilborien,NPC
a_nilborien_scholar07,65,Enchanter,Nilborien,NPC
a_nilborien_noble05,65,Wizard,Nilborien,NPC
an_elemental_doomseeker14,65,Warrior,Elemental,NPC
an_elemental_doomseeker13,65,Warrior,Elemental,NPC
an_elemental_doomseeker12,65,Warrior,Elemental,NPC
an_elemental_doomseeker11,65,Warrior,Elemental,NPC
an_elemental_doomseeker10,65,Warrior,Elemental,NPC
an_elemental_doomseeker09,65,Warrior,Elemental,NPC
a_temple_guardian23,65,Warrior,Air Mephit,NPC
a_temple_guardian22,65,Warrior,Air Mephit,NPC
a_nilborien_noble04,65,Wizard,Nilborien,NPC
a_nilborien_noble03,65,Wizard,Nilborien,NPC
a_nilborien_scholar06,65,Enchanter,Nilborien,NPC
a_nilborien_noble02,65,Wizard,Nilborien,NPC
a_temple_guardian21,65,Warrior,Air Mephit,NPC
an_elemental_doomseeker08,65,Warrior,Elemental,NPC
a_nilborien_scholar05,65,Enchanter,Nilborien,NPC
an_elemental_doomseeker07,65,Warrior,Elemental,NPC
an_elemental_doomseeker06,65,Warrior,Elemental,NPC
a_temple_guardian20,65,Warrior,Air Mephit,NPC
a_temple_guardian19,65,Warrior,Air Mephit,NPC
a_temple_guardian18,65,Warrior,Air Mephit,NPC
a_temple_guardian17,65,Warrior,Air Mephit,NPC
a_temple_guardian16,65,Warrior,Air Mephit,NPC
a_temple_guardian15,65,Warrior,Air Mephit,NPC
a_temple_guardian14,65,Warrior,Air Mephit,NPC
a_temple_guardian13,65,Warrior,Air Mephit,NPC
a_temple_guardian12,65,Warrior,Air Mephit,NPC
a_temple_guardian11,65,Warrior,Air Mephit,NPC
a_temple_guardian10,65,Warrior,Air Mephit,NPC
a_temple_guardian09,65,Warrior,Air Mephit,NPC
an_elemental_doomseeker05,65,Warrior,Elemental,NPC
an_elemental_doomseeker04,65,Warrior,Elemental,NPC
an_elemental_doomseeker03,65,Warrior,Elemental,NPC
an_elemental_doomseeker02,65,Warrior,Elemental,NPC
an_elemental_doomseeker01,65,Warrior,Elemental,NPC
an_elemental_doomseeker00,65,Warrior,Elemental,NPC
a_nilborien_scholar04,68,Enchanter,Nilborien,NPC
a_nilborien_scholar03,68,Enchanter,Nilborien,NPC
a_nilborien_noble01,68,Wizard,Nilborien,NPC
a_nilborien_scholar02,68,Enchanter,Nilborien,NPC
a_nilborien_scholar01,68,Enchanter,Nilborien,NPC
a_nilborien_scholar00,68,Enchanter,Nilborien,NPC
a_nilborien_noble00,68,Wizard,Nilborien,NPC
#Gakamenial_Fir`Disralsi00,67,Warrior,Phoenix,NPC
an_Air_phoenix_noble11,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble10,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble09,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble08,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble07,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble06,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble05,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble04,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble03,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble02,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble01,68,Wizard,Phoenix,NPC
an_Air_phoenix_noble00,68,Wizard,Phoenix,NPC
a_temple_guardian08,68,Warrior,Air Mephit,NPC
a_temple_guardian06,68,Warrior,Air Mephit,NPC
Fabled_Temple_Guardian02,83,Warrior,Air Mephit,NPC
a_temple_guardian07,68,Warrior,Air Mephit,NPC
