Name,Level,Class,Race,Type
a_malarian_pest00,53,Warrior,Malarian,NPC
a_malarian_gall00,59,Rogue,Malarian,NPC
Knight_of_Pestilence01,60,Shadow Knight,Knight of Pestilence,NPC
a_pestilence_priest06,60,Cleric,Lepertoloth,NPC
an_arachnae_terranis10,55,Cleric,Arachnid,NPC
a_pestilence_priest05,60,Cleric,Lepertoloth,NPC
a_pestilence_priest04,60,Cleric,Lepertoloth,NPC
a_pestilence_priest03,60,Cleric,Lepertoloth,NPC
a_pestilence_priest02,60,Cleric,Lepertoloth,NPC
Guardian_Knight_of_Pestilence0,60,Shadow Knight,Knight of Pestilence,NPC
Guardian_Knight_of_Pestilence0,60,Shadow Knight,Knight of Pestilence,NPC
a_pestilence_priest01,60,Cleric,Lepertoloth,NPC
a_pestilence_priest00,60,Cleric,Lepertoloth,NPC
A_Diseased_Lightcrawler04,56,Warrior,Lightcrawler,NPC
A_Diseased_Lightcrawler03,56,Warrior,Lightcrawler,NPC
a_Lightcrawler_Pest04,55,Warrior,Lightcrawler,NPC
a_tachnian_caterpillar03,52,Warrior,Worm,NPC
a_Diseased_Underbulk09,55,Warrior,Underbulk,NPC
a_Diseased_Underbulk08,55,Warrior,Underbulk,NPC
a_Diseased_Underbulk07,57,Warrior,Underbulk,NPC
a_Diseased_Underbulk06,55,Warrior,Underbulk,NPC
a_firebone_caster07,59,Wizard,Lepertoloth,NPC
a_firebone_caster06,60,Wizard,Lepertoloth,NPC
a_firebone_caster05,60,Wizard,Lepertoloth,NPC
Knight_of_Pestilence00,60,Shadow Knight,Knight of Pestilence,NPC
a_firebone_caster04,59,Wizard,Lepertoloth,NPC
a_firebone_caster03,58,Wizard,Lepertoloth,NPC
a_firebone_caster02,59,Wizard,Lepertoloth,NPC
a_firebone_caster01,60,Wizard,Lepertoloth,NPC
a_deathbone_magus10,56,Magician,Lepertoloth,NPC
a_firebone_caster00,59,Wizard,Lepertoloth,NPC
a_Diseased_Underbulk05,56,Warrior,Underbulk,NPC
a_Diseased_Underbulk04,57,Warrior,Underbulk,NPC
An_Underbulk_Crawler01,57,Warrior,Underbulk,NPC
An_Underbulk_Defiler00,57,Shadow Knight,Underbulk,NPC
a_Diseased_Underbulk03,55,Warrior,Underbulk,NPC
a_Diseased_Underbulk02,57,Warrior,Underbulk,NPC
a_Diseased_Underbulk01,55,Warrior,Underbulk,NPC
An_Underbulk_Crawler00,55,Warrior,Underbulk,NPC
Grimror_Plaguebringer00,60,Warrior,Ogre,NPC
a_deathbone_magus08,55,Magician,Lepertoloth,NPC
a_deathbone_magus07,57,Magician,Lepertoloth,NPC
a_deathbone_magus06,56,Magician,Lepertoloth,NPC
a_deathbone_magus05,57,Magician,Lepertoloth,NPC
a_deathbone_magus04,56,Magician,Lepertoloth,NPC
Guardian_of_the_Crypt03,60,Warrior,Lepertoloth,NPC
Guardian_of_the_Crypt02,60,Warrior,Lepertoloth,NPC
Guardian_of_the_Crypt01,60,Warrior,Lepertoloth,NPC
Guardian_of_the_Crypt00,60,Warrior,Lepertoloth,NPC
a_deathbone_magus03,57,Magician,Lepertoloth,NPC
a_deathbone_magus02,56,Magician,Lepertoloth,NPC
a_deathbone_magus01,57,Magician,Lepertoloth,NPC
a_deathbone_magus00,55,Magician,Lepertoloth,NPC
A_Diseased_Lightcrawler01,56,Warrior,Lightcrawler,NPC
a_Lightcrawler_Pest03,56,Warrior,Lightcrawler,NPC
a_Lightcrawler_Pest02,55,Warrior,Lightcrawler,NPC
a_Lightcrawler_Pest01,55,Warrior,Lightcrawler,NPC
A_Diseased_Lightcrawler00,55,Warrior,Lightcrawler,NPC
a_Lightcrawler_Pest00,56,Warrior,Lightcrawler,NPC
a_rotting_pile_of_flesh06,51,Warrior,Goo,NPC
a_rotting_pile_of_flesh05,50,Warrior,Goo,NPC
a_rotting_pile_of_flesh04,50,Warrior,Goo,NPC
a_rotting_pile_of_flesh03,49,Warrior,Goo,NPC
a_rotting_pile_of_flesh02,51,Warrior,Goo,NPC
a_rotting_pile_of_flesh01,50,Warrior,Goo,NPC
a_festering_pile_of_goo04,51,Warrior,Goo,NPC
a_festering_pile_of_goo03,51,Warrior,Goo,NPC
a_festering_pile_of_goo01,51,Warrior,Goo,NPC
a_festering_pile_of_goo00,51,Warrior,Goo,NPC
a_pile_of_swamp_bile00,55,Warrior,Goo,NPC
a_pile_of_bile04,50,Warrior,Goo,NPC
a_pile_of_bile03,50,Warrior,Goo,NPC
a_pile_of_bile02,51,Warrior,Goo,NPC
a_pile_of_bile01,51,Warrior,Goo,NPC
a_pile_of_bile00,50,Warrior,Goo,NPC
a_rotting_pile_of_flesh00,49,Warrior,Goo,NPC
a_vetri_fly10,50,Warrior,Fly,NPC
a_vetri_fly09,50,Warrior,Fly,NPC
a_vetri_fly08,49,Warrior,Fly,NPC
a_vetri_fly07,51,Warrior,Fly,NPC
a_vetri_fly06,49,Warrior,Fly,NPC
a_vetri_fly05,49,Warrior,Fly,NPC
a_vetri_fly04,49,Warrior,Fly,NPC
a_vetri_fly03,51,Warrior,Fly,NPC
a_vetri_fly02,49,Warrior,Fly,NPC
a_vetri_fly01,49,Warrior,Fly,NPC
a_tachnian_fly07,49,Warrior,Fly,NPC
a_tachnian_fly06,49,Warrior,Fly,NPC
a_tachnian_fly05,51,Warrior,Fly,NPC
a_vetri_fly00,50,Warrior,Fly,NPC
a_tachnian_fly04,50,Warrior,Fly,NPC
a_tachnian_fly03,49,Warrior,Fly,NPC
a_sengian_fly00,52,Warrior,Fly,NPC
a_tachnian_fly02,49,Warrior,Fly,NPC
a_tachnian_fly01,50,Warrior,Fly,NPC
a_tachnian_fly00,49,Warrior,Fly,NPC
a_tsetsian_fly09,47,Warrior,Fly,NPC
a_tsetsian_fly08,46,Warrior,Fly,NPC
a_tsetsian_fly07,47,Warrior,Fly,NPC
a_tsetsian_fly06,47,Warrior,Fly,NPC
a_tsetsian_fly05,48,Warrior,Fly,NPC
a_tsetsian_fly04,46,Warrior,Fly,NPC
a_tsetsian_fly03,46,Warrior,Fly,NPC
a_tsetsian_fly02,46,Warrior,Fly,NPC
a_tsetsian_fly01,48,Warrior,Fly,NPC
a_tsetsian_fly00,46,Warrior,Fly,NPC
a_bubonian_relak02,58,Shadow Knight,Bubonian Underling,NPC
a_bubonian_defiler04,56,Shadow Knight,Bubonian Underling,NPC
a_bubonian_defiler03,57,Shadow Knight,Bubonian Underling,NPC
a_bubonian_defiler02,57,Shadow Knight,Bubonian Underling,NPC
a_bubonian_defiler01,58,Shadow Knight,Bubonian Underling,NPC
a_bubonian_defiler00,58,Shadow Knight,Bubonian Underling,NPC
a_diseased_bubonian05,55,Necromancer,Bubonian Underling,NPC
a_diseased_bubonian04,54,Necromancer,Bubonian Underling,NPC
a_diseased_bubonian03,53,Necromancer,Bubonian Underling,NPC
a_diseased_bubonian02,53,Necromancer,Bubonian Underling,NPC
a_diseased_bubonian01,53,Necromancer,Bubonian Underling,NPC
a_diseased_bubonian00,54,Necromancer,Bubonian Underling,NPC
an_arachnae_terranis08,54,Cleric,Arachnid,NPC
Resnak00,59,Shadow Knight,Bubonian Underling,NPC
an_arachnae_crawler04,54,Necromancer,Arachnid,NPC
a_bubonian_underling02,55,Warrior,Bubonian Underling,NPC
a_bubonian_underling01,54,Warrior,Bubonian Underling,NPC
a_bubonian_underling00,53,Warrior,Bubonian Underling,NPC
a_bubonian_relak01,57,Shadow Knight,Bubonian Underling,NPC
an_arachnae_terranis16,56,Cleric,Arachnid,NPC
an_arachnae_terranis15,56,Cleric,Arachnid,NPC
an_arachnae_terranis14,54,Cleric,Arachnid,NPC
an_arachnae_terranis13,56,Cleric,Arachnid,NPC
an_arachnae_terranis12,56,Cleric,Arachnid,NPC
an_arachnae_terranis17,55,Cleric,Arachnid,NPC
an_arachnae_terranis11,54,Cleric,Arachnid,NPC
an_arachnae_terranis07,56,Cleric,Arachnid,NPC
an_arachnae_terranis09,56,Cleric,Arachnid,NPC
an_arachnae_terranis05,56,Cleric,Arachnid,NPC
an_arachnae_terranis06,54,Cleric,Arachnid,NPC
an_arachnae_terranis04,55,Cleric,Arachnid,NPC
an_arachnae_terranis03,56,Cleric,Arachnid,NPC
an_arachnae_defiler14,55,Shadow Knight,Arachnid,NPC
an_arachnae_defiler13,55,Shadow Knight,Arachnid,NPC
an_arachnae_defiler12,54,Shadow Knight,Arachnid,NPC
an_arachnae_defiler11,54,Shadow Knight,Arachnid,NPC
an_arachnae_defiler10,56,Shadow Knight,Arachnid,NPC
an_arachnae_terranis02,54,Cleric,Arachnid,NPC
an_arachnae_defiler09,54,Shadow Knight,Arachnid,NPC
an_arachnae_defiler08,55,Shadow Knight,Arachnid,NPC
an_arachnae_defiler07,56,Shadow Knight,Arachnid,NPC
a_planarian_larva02,52,Warrior,Worm,NPC
an_arachnae_terranis01,54,Cleric,Arachnid,NPC
an_arachnae_defiler06,55,Shadow Knight,Arachnid,NPC
a_tachnian_caterpillar04,54,Warrior,Worm,NPC
an_arachnae_defiler05,56,Shadow Knight,Arachnid,NPC
an_arachnae_defiler04,56,Shadow Knight,Arachnid,NPC
an_arachnae_defiler03,54,Shadow Knight,Arachnid,NPC
an_arachnae_defiler02,56,Shadow Knight,Arachnid,NPC
an_arachnae_defiler01,55,Shadow Knight,Arachnid,NPC
an_arachnae_defiler00,55,Shadow Knight,Arachnid,NPC
an_arachnae_crawler06,54,Necromancer,Arachnid,NPC
a_tachnian_caterpillar00,53,Warrior,Worm,NPC
an_arachnae_crawler05,54,Necromancer,Arachnid,NPC
a_deathbone_magus09,55,Magician,Lepertoloth,NPC
a_tsetsian_pupa02,51,Warrior,Worm,NPC
an_arachling07,50,Warrior,Arachnid,NPC
an_arachling01,50,Warrior,Arachnid,NPC
an_arachling00,49,Warrior,Arachnid,NPC
a_Diseased_Underbulk00,55,Warrior,Underbulk,NPC
a_planarian_larvae00,52,Warrior,Worm,NPC
a_bubonian_relak00,58,Shadow Knight,Bubonian Underling,NPC
A_Lightcrawler_Defiler00,57,Shadow Knight,Lightcrawler,NPC
#Odaen00,70,Wizard,Dark Elf,NPC
an_arachnae_crawler02,54,Necromancer,Arachnid,NPC
#Rallius_Rattican00,61,Warrior,Bubonian,NPC
#The_Fabled_Grummus00,85,Warrior,Diseased Fiend,NPC
Guardian_of_Pestilence06,61,Warrior,Lepertoloth,NPC
Guardian_of_Pestilence05,61,Warrior,Lepertoloth,NPC
A_Diseased_Lightcrawler02,56,Warrior,Lightcrawler,NPC
Guardian_of_Pestilence04,61,Warrior,Lepertoloth,NPC
Guardian_of_Pestilence03,61,Warrior,Lepertoloth,NPC
Guardian_of_Pestilence02,61,Warrior,Lepertoloth,NPC
Guardian_of_Pestilence01,61,Warrior,Lepertoloth,NPC
Guardian_of_Pestilence00,61,Warrior,Lepertoloth,NPC
#Aramin_the_Spider_Guardian00,68,Warrior,Arachnid,NPC
#Gryme_the_Crypt_Guardian00,66,Warrior,Diseased Fiend,NPC
a_planarian_larvae04,52,Warrior,Worm,NPC
