Name,Level,Class,Race,Type
an_Earthen_Mudwalker06,64,Warrior,Golem,NPC
A_Pile_of_Boulders00,66,Warrior,Stonegrabber,NPC
A_Crumbling_Stone_Mass01,66,Warrior,Stonegrabber,NPC
A_Crumbling_Stone_Mass00,66,Warrior,Stonegrabber,NPC
A_Rock_Creation01,66,Warrior,Stonegrabber,NPC
an_Earthen_Mudwalker01,64,Warrior,Golem,NPC
A_Rock_Creation00,66,Warrior,Stonegrabber,NPC
A_Boulder_Thrower01,66,Warrior,Stonegrabber,NPC
a_Muddite_Seeker03,66,Warrior,Golem,NPC
A_Boulder_Thrower00,66,Warrior,Stonegrabber,NPC
an_Earthen_Mudslinger12,63,Rogue,Golem,NPC
a_Muddite_Seeker02,66,Warrior,Golem,NPC
a_Muddite_Seeker01,66,Warrior,Golem,NPC
a_Muddite_Seeker00,66,Warrior,Golem,NPC
a_War_Shapen_Earth_Emissary01,63,Warrior,Vegerog,NPC
an_Earthen_Mudslinger08,63,Rogue,Golem,NPC
an_Arborean_Earthshaker02,63,Warrior,Treant,NPC
a_Deadly_Earth_Armadillo09,64,Rogue,Armadillo,NPC
an_Earthen_Mudslinger07,63,Rogue,Golem,NPC
A_Towering_Rock_Formation01,63,Warrior,Stonegrabber,NPC
a_Needlescale_Basilisk02,64,Warrior,Crocodile,NPC
a_Deadly_Earth_Armadillo07,64,Rogue,Armadillo,NPC
an_Earthen_Mudslinger06,63,Rogue,Golem,NPC
an_Earthen_Mudslinger05,63,Rogue,Golem,NPC
an_Earthen_Mudslinger04,63,Rogue,Golem,NPC
an_Earthen_Mudslinger03,63,Rogue,Golem,NPC
an_Earthcrafted_Assassin03,63,Warrior,Earth Mephit,NPC
a_Mass_of_Living_Earth01,63,Warrior,Elemental,NPC
An_Animated_Earthwalker00,63,Warrior,Stonegrabber,NPC
an_Earthen_Mudslinger01,63,Rogue,Golem,NPC
a_Stone_Abomination05,64,Warrior,Stonegrabber,NPC
a_Needlescale_Basilisk01,64,Warrior,Crocodile,NPC
a_Stone_Abomination04,64,Warrior,Stonegrabber,NPC
a_Deadly_Earth_Armadillo04,64,Rogue,Armadillo,NPC
a_Needlescale_Basilisk03,64,Warrior,Crocodile,NPC
a_Stone_Abomination03,63,Warrior,Stonegrabber,NPC
an_Arborean_Earthshaker05,63,Warrior,Treant,NPC
a_Stone_Abomination02,64,Warrior,Stonegrabber,NPC
a_Stone_Abomination01,64,Warrior,Stonegrabber,NPC
a_Fearsome_Earthcrafter06,63,Shaman,Giant,NPC
a_Stone_Abomination00,63,Warrior,Stonegrabber,NPC
a_War_Shapen_Earth_Emissary00,63,Warrior,Vegerog,NPC
an_Earthen_Mudslinger00,63,Rogue,Golem,NPC
a_Needlescale_Basilisk00,64,Warrior,Crocodile,NPC
a_Deadly_Earth_Armadillo02,64,Rogue,Armadillo,NPC
a_Mass_of_Living_Earth02,63,Warrior,Elemental,NPC
an_Earthen_Crusader01,63,Warrior,Elemental,NPC
a_Mass_of_Living_Earth00,63,Warrior,Elemental,NPC
a_Deadly_Earth_Armadillo01,64,Rogue,Armadillo,NPC
a_Gemmed_Guardian35,64,Rogue,Golem,NPC
a_Majestic_Gemwalker13,64,Rogue,Geonid,NPC
a_Gemmed_Guardian34,64,Rogue,Golem,NPC
an_Earthen_Mudwalker07,64,Warrior,Golem,NPC
a_Crystalline_Formation09,64,Rogue,Geonid,NPC
a_Gemmed_Guardian33,64,Rogue,Golem,NPC
a_Crystalline_Formation08,64,Rogue,Geonid,NPC
a_Majestic_Gemwalker12,64,Rogue,Geonid,NPC
a_Crystalline_Formation07,64,Rogue,Geonid,NPC
a_Gemmed_Protector06,64,Rogue,Geonid,NPC
a_Gemmed_Guardian32,64,Rogue,Golem,NPC
a_Majestic_Gemwalker09,64,Rogue,Geonid,NPC
a_Gemmed_Guardian31,64,Rogue,Golem,NPC
an_Earthen_Mudwalker05,64,Warrior,Golem,NPC
