Name,Level,Class,Race,Type
a_Council_Protector15,65,Warrior,Elemental,NPC
a_Dirtfilled_Earth_Golem14,65,Warrior,Golem,NPC
Keeper_of_Earth06,66,Warrior,Giant,NPC
a_Towering_Geomancer10,65,Shaman,Giant,NPC
a_Towering_Geomancer09,65,Shaman,Giant,NPC
a_Vekerchiki_Soldier15,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier14,65,Warrior,Earth Mephit,NPC
a_Dirtfilled_Earth_Golem13,65,Warrior,Golem,NPC
a_Dirtfilled_Earth_Golem12,65,Warrior,Golem,NPC
a_Council_Protector14,65,Warrior,Elemental,NPC
a_Council_Protector13,65,Warrior,Elemental,NPC
Keeper_of_Earth05,66,Warrior,Giant,NPC
a_Vekerchiki_Soldier13,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier12,65,Warrior,Earth Mephit,NPC
Keeper_of_Earth04,66,Warrior,Giant,NPC
an_Earthen_Berserker03,66,Warrior,Giant,NPC
Keeper_of_Earth03,66,Warrior,Giant,NPC
an_Earthen_Berserker02,66,Warrior,Giant,NPC
Guardian_of_the_Twelve02,66,Warrior,Giant,NPC
Keeper_of_Earth02,66,Warrior,Giant,NPC
a_Council_Protector12,65,Warrior,Elemental,NPC
a_Council_Protector11,65,Warrior,Elemental,NPC
a_Council_Protector10,65,Warrior,Elemental,NPC
a_Council_Protector09,65,Warrior,Elemental,NPC
a_Dirtfilled_Earth_Golem11,65,Warrior,Golem,NPC
a_Dirtfilled_Earth_Golem10,65,Warrior,Golem,NPC
a_Dirtfilled_Earth_Golem09,65,Warrior,Golem,NPC
a_Dirtfilled_Earth_Golem08,65,Warrior,Golem,NPC
a_Vekerchiki_Soldier11,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier10,65,Warrior,Earth Mephit,NPC
Guardian_of_the_Twelve01,66,Warrior,Giant,NPC
an_Earthen_Berserker01,66,Warrior,Giant,NPC
Keeper_of_Earth01,66,Warrior,Giant,NPC
a_Vekerchiki_Soldier09,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier08,65,Warrior,Earth Mephit,NPC
an_Earthen_Berserker00,66,Warrior,Giant,NPC
Keeper_of_Earth00,66,Warrior,Giant,NPC
Guardian_of_the_Twelve00,66,Warrior,Giant,NPC
a_Vekerchiki_Soldier07,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier06,65,Warrior,Earth Mephit,NPC
a_Council_Protector08,65,Warrior,Elemental,NPC
a_Dirtfilled_Earth_Golem07,65,Warrior,Golem,NPC
a_Towering_Geomancer08,65,Shaman,Giant,NPC
a_Dirtfilled_Earth_Golem06,65,Warrior,Golem,NPC
a_Council_Protector07,65,Warrior,Elemental,NPC
a_Towering_Geomancer07,65,Shaman,Giant,NPC
a_Council_Protector06,65,Warrior,Elemental,NPC
a_Dirtfilled_Earth_Golem05,65,Warrior,Golem,NPC
a_Council_Protector05,65,Warrior,Elemental,NPC
a_Council_Protector04,65,Warrior,Elemental,NPC
a_Myrmidon_of_Stone03,66,Warrior,Giant,NPC
a_Myrmidon_of_Stone02,66,Warrior,Giant,NPC
a_Myrmidon_of_Stone01,66,Warrior,Giant,NPC
a_Myrmidon_of_Stone00,66,Warrior,Giant,NPC
a_Stonefist_Clansman03,66,Warrior,Giant,NPC
a_Stonefist_Clansman02,66,Warrior,Giant,NPC
a_Stonefist_Clansman01,66,Warrior,Giant,NPC
a_Stonefist_Clansman00,66,Warrior,Giant,NPC
a_Rock_Studded_Champion03,66,Warrior,Giant,NPC
a_Rock_Studded_Champion02,66,Warrior,Giant,NPC
a_Rock_Studded_Champion01,66,Warrior,Giant,NPC
a_Rock_Studded_Champion00,66,Warrior,Giant,NPC
a_Dirtfilled_Earth_Golem04,65,Warrior,Golem,NPC
a_Vekerchiki_Soldier05,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier04,65,Warrior,Earth Mephit,NPC
a_Bloodthirsty_Moss_Warlord09,65,Warrior,Vegerog,NPC
a_Bloodthirsty_Moss_Warlord08,65,Warrior,Vegerog,NPC
a_Bloodthirsty_Moss_Warlord07,65,Warrior,Vegerog,NPC
a_Bloodthirsty_Moss_Warlord06,65,Warrior,Vegerog,NPC
a_Towering_Geomancer06,65,Shaman,Giant,NPC
a_Council_Protector03,65,Warrior,Elemental,NPC
a_Council_Protector02,65,Warrior,Elemental,NPC
a_Towering_Geomancer05,65,Shaman,Giant,NPC
a_Towering_Geomancer04,65,Shaman,Giant,NPC
a_Towering_Geomancer03,65,Shaman,Giant,NPC
a_Towering_Geomancer02,65,Shaman,Giant,NPC
a_Vekerchiki_Soldier03,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier02,65,Warrior,Earth Mephit,NPC
a_Towering_Geomancer01,65,Shaman,Giant,NPC
A_Rathe_Councilman11,68,Warrior,The Rathe,NPC
A_Rathe_Councilman10,68,Warrior,The Rathe,NPC
A_Rathe_Councilman09,68,Warrior,The Rathe,NPC
a_Dirtfilled_Earth_Golem03,65,Warrior,Golem,NPC
A_Rathe_Councilman08,68,Warrior,The Rathe,NPC
A_Rathe_Councilman07,68,Warrior,The Rathe,NPC
A_Rathe_Councilman06,68,Warrior,The Rathe,NPC
A_Rathe_Councilman05,68,Warrior,The Rathe,NPC
A_Rathe_Councilman04,68,Warrior,The Rathe,NPC
A_Rathe_Councilman03,68,Warrior,The Rathe,NPC
A_Rathe_Councilman02,68,Warrior,The Rathe,NPC
A_Rathe_Councilman01,68,Warrior,The Rathe,NPC
A_Rathe_Councilman00,68,Warrior,The Rathe,NPC
a_Towering_Geomancer00,65,Shaman,Giant,NPC
a_Bloodthirsty_Moss_Warlord05,65,Warrior,Vegerog,NPC
a_Bloodthirsty_Moss_Warlord04,65,Warrior,Vegerog,NPC
a_Dirtfilled_Earth_Golem02,65,Warrior,Golem,NPC
a_Dirtfilled_Earth_Golem01,65,Warrior,Golem,NPC
a_Dirtfilled_Earth_Golem00,65,Warrior,Golem,NPC
a_Bloodthirsty_Moss_Warlord03,65,Warrior,Vegerog,NPC
a_Bloodthirsty_Moss_Warlord02,65,Warrior,Vegerog,NPC
a_Bloodthirsty_Moss_Warlord01,65,Warrior,Vegerog,NPC
a_Vekerchiki_Soldier01,65,Warrior,Earth Mephit,NPC
a_Vekerchiki_Soldier00,65,Warrior,Earth Mephit,NPC
a_Bloodthirsty_Moss_Warlord00,65,Warrior,Vegerog,NPC
a_Council_Protector01,65,Warrior,Elemental,NPC
a_Council_Protector00,65,Warrior,Elemental,NPC
