Name,Level,Class,Race,Type
a_doomfire_sentry04,67,Warrior,Solusek Ro Guard,NPC
a_fiery_spirit_equine_lord03,67,Warrior,Nightmare,NPC
a_fiery_spirit_equine_lord02,67,Warrior,Nightmare,NPC
a_doomfire_chaplain04,68,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire31,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_guardian12,68,Warrior,Solusek Ro Guard,NPC
a_fiery_spirit_equine_lord01,67,Warrior,Nightmare,NPC
a_doomfire_guardian11,68,Warrior,Solusek Ro Guard,NPC
a_great_flame_lord04,66,Warrior,Elemental,NPC
a_doomfire_wizard05,68,Wizard,Efreeti,NPC
a_doomfire_guardian10,68,Warrior,Solusek Ro Guard,NPC
a_giant_obsidian_lava_spider04,67,Warrior,Arachnid,NPC
a_doomfire_protector12,68,Warrior,Solusek Ro Guard,NPC
a_doomfire_guardian09,68,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire27,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_guardian08,68,Warrior,Solusek Ro Guard,NPC
a_doomfire_chaplain01,68,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire26,65,Warrior,Solusek Ro Guard,NPC
an_obsidian_lava_spider08,66,Warrior,Arachnid,NPC
a_doomfire_guardian00,68,Warrior,Solusek Ro Guard,NPC
a_greater_magma_rocklord01,67,Warrior,Golem,NPC
a_doomfire_chaplain00,68,Cleric,Solusek Ro Guard,NPC
a_magma_rocklord03,66,Warrior,Golem,NPC
a_greater_flame_lord00,67,Warrior,Elemental,NPC
a_doomfire_chaplain03,68,Cleric,Solusek Ro Guard,NPC
an_obsidian_lava_spider07,66,Warrior,Arachnid,NPC
a_doomfire_wizard04,68,Wizard,Efreeti,NPC
a_fiery_spirit_equine03,66,Warrior,Nightmare,NPC
a_doomfire_guardian07,68,Warrior,Solusek Ro Guard,NPC
a_doomfire_guardian06,68,Warrior,Solusek Ro Guard,NPC
an_obsidian_lava_spider05,66,Warrior,Arachnid,NPC
a_doomfire_soldier10,68,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire23,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire22,65,Warrior,Solusek Ro Guard,NPC
a_magma_rocklord02,66,Warrior,Golem,NPC
a_fiery_spirit_equine02,66,Warrior,Nightmare,NPC
a_soldier_of_fire21,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_guardian05,68,Warrior,Solusek Ro Guard,NPC
a_magus_of_fire01,65,Wizard,Efreeti,NPC
a_fiery_spirit_equine01,66,Warrior,Nightmare,NPC
a_diviner_of_fire03,65,Enchanter,Efreeti,NPC
a_giant_obsidian_lava_spider02,67,Warrior,Arachnid,NPC
an_obsidian_lava_spider04,66,Warrior,Arachnid,NPC
a_magma_rocklord01,66,Warrior,Golem,NPC
a_chaplain_of_fire09,65,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire19,65,Warrior,Solusek Ro Guard,NPC
an_obsidian_lava_spider03,66,Warrior,Arachnid,NPC
a_soldier_of_fire18,65,Warrior,Solusek Ro Guard,NPC
a_diviner_of_fire02,65,Enchanter,Efreeti,NPC
a_fiery_spirit_equine00,66,Warrior,Nightmare,NPC
a_defender_of_fire10,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_sentry00,67,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire16,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire15,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_watcher00,67,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire14,65,Warrior,Solusek Ro Guard,NPC
a_great_flame_lord03,66,Warrior,Elemental,NPC
a_chaplain_of_fire08,65,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire13,65,Warrior,Solusek Ro Guard,NPC
a_chaplain_of_fire07,65,Cleric,Solusek Ro Guard,NPC
a_defender_of_fire09,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_sentry03,67,Warrior,Solusek Ro Guard,NPC
a_giant_obsidian_lava_spider00,67,Warrior,Arachnid,NPC
a_great_flame_lord00,66,Warrior,Elemental,NPC
a_chaplain_of_fire06,65,Cleric,Solusek Ro Guard,NPC
Fabled_Doomfire_Warmaster00,83,Warrior,Solusek Ro Guard,NPC
a_chaplain_of_fire05,65,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire11,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire10,65,Warrior,Solusek Ro Guard,NPC
a_defender_of_fire08,65,Warrior,Solusek Ro Guard,NPC
a_diviner_of_fire01,65,Enchanter,Efreeti,NPC
a_defender_of_fire07,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire09,65,Warrior,Solusek Ro Guard,NPC
a_chaplain_of_fire04,65,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire08,65,Warrior,Solusek Ro Guard,NPC
a_chaplain_of_fire01,65,Cleric,Solusek Ro Guard,NPC
a_soldier_of_fire33,65,Warrior,Solusek Ro Guard,NPC
a_diviner_of_fire09,65,Enchanter,Efreeti,NPC
a_doomfire_charmer07,68,Enchanter,Efreeti,NPC
a_soldier_of_fire06,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire30,65,Warrior,Solusek Ro Guard,NPC
a_chaplain_of_fire02,65,Cleric,Solusek Ro Guard,NPC
a_doomfire_guardian25,68,Warrior,Solusek Ro Guard,NPC
a_doomfire_soldier34,68,Warrior,Solusek Ro Guard,NPC
a_defender_of_fire04,65,Warrior,Solusek Ro Guard,NPC
a_defender_of_fire02,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_guardian24,68,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire05,65,Warrior,Solusek Ro Guard,NPC
Werlenie37861,101,Cleric,High Elf,NPC
a_soldier_of_fire04,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire29,65,Warrior,Solusek Ro Guard,NPC
a_defender_of_fire03,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire03,65,Warrior,Solusek Ro Guard,NPC
a_soldier_of_fire28,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_protector02,68,Warrior,Solusek Ro Guard,NPC
a_doomfire_wizard14,68,Wizard,Efreeti,NPC
a_soldier_of_fire02,65,Warrior,Solusek Ro Guard,NPC
a_doomfire_protector01,68,Warrior,Solusek Ro Guard,NPC
