Name,Level,Class,Race,Type
a_clockwork_device06,51,Warrior,Clockwork Beetle,NPC
a_scrap_collector03,53,Warrior,Tin Soldier,NPC
a_clockwork_device04,52,Warrior,Clockwork Beetle,NPC
an_obsolete_model17,54,Warrior,Broken Clockwork,NPC
a_clockwork_device03,50,Warrior,Clockwork Beetle,NPC
an_archaic_model02,53,Warrior,Broken Clockwork,NPC
a_clockwork_device01,50,Warrior,Clockwork Beetle,NPC
a_corroded_model31,52,Warrior,Broken Clockwork,NPC
a_clockwork_device00,52,Warrior,Clockwork Beetle,NPC
an_obsolete_model16,52,Warrior,Broken Clockwork,NPC
a_corrupted_system00,57,Warrior,Clockwork Golem,NPC
an_obsolete_model14,52,Warrior,Broken Clockwork,NPC
an_obsolete_model13,53,Warrior,Broken Clockwork,NPC
a_scrap_collector02,51,Warrior,Tin Soldier,NPC
a_clockwork_device05,50,Warrior,Clockwork Beetle,NPC
an_obsolete_model12,53,Warrior,Broken Clockwork,NPC
a_rusted_model21,50,Warrior,Broken Clockwork,NPC
an_obsolete_model11,52,Warrior,Broken Clockwork,NPC
a_corroded_model28,51,Warrior,Broken Clockwork,NPC
a_scrounging_clockwork13,52,Warrior,Rat,NPC
a_corroded_model27,51,Warrior,Broken Clockwork,NPC
a_rusted_model07,50,Warrior,Broken Clockwork,NPC
a_corroded_model26,50,Warrior,Broken Clockwork,NPC
a_corroded_model25,52,Warrior,Broken Clockwork,NPC
a_corroded_model24,50,Warrior,Broken Clockwork,NPC
a_corroded_model23,52,Warrior,Broken Clockwork,NPC
a_weathered_clockwork07,55,Warrior,Broken Clockwork,NPC
a_corroded_model22,52,Warrior,Broken Clockwork,NPC
a_defective_clockwork12,51,Warrior,Arachnid,NPC
a_corroded_model21,50,Warrior,Broken Clockwork,NPC
a_corroded_model20,51,Warrior,Broken Clockwork,NPC
a_corroded_model19,50,Warrior,Broken Clockwork,NPC
a_corroded_model18,50,Warrior,Broken Clockwork,NPC
a_corroded_model17,50,Warrior,Broken Clockwork,NPC
a_corroded_model16,51,Warrior,Broken Clockwork,NPC
#a_rust_covered_model00,50,Warrior,Clockwork Golem,NPC
a_weathered_clockwork06,55,Warrior,Broken Clockwork,NPC
a_corroded_model13,51,Warrior,Broken Clockwork,NPC
a_clockwork_golem17,58,Warrior,Clockwork Golem,NPC
a_clockwork_golem16,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem15,59,Warrior,Clockwork Golem,NPC
a_clockwork_golem14,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem13,59,Warrior,Clockwork Golem,NPC
a_clockwork_golem12,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem11,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem10,59,Warrior,Clockwork Golem,NPC
a_clockwork_golem09,58,Warrior,Clockwork Golem,NPC
a_clockwork_golem08,58,Warrior,Clockwork Golem,NPC
a_clockwork_golem07,59,Warrior,Clockwork Golem,NPC
a_clockwork_golem06,58,Warrior,Clockwork Golem,NPC
a_clockwork_golem05,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem04,58,Warrior,Clockwork Golem,NPC
a_clockwork_golem03,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem02,58,Warrior,Clockwork Golem,NPC
a_clockwork_golem01,60,Warrior,Clockwork Golem,NPC
a_clockwork_golem00,58,Warrior,Clockwork Golem,NPC
a_tin_soldier06,52,Warrior,Tin Soldier,NPC
#The_Fabled_Manaetic_Behemoth0,85,Warrior,Giant Clockwork,NPC
a_defective_clockwork10,52,Warrior,Arachnid,NPC
a_defective_clockwork09,50,Warrior,Arachnid,NPC
a_defective_clockwork07,52,Warrior,Arachnid,NPC
a_defective_clockwork06,52,Warrior,Arachnid,NPC
a_defective_clockwork05,50,Warrior,Arachnid,NPC
a_defective_clockwork04,50,Warrior,Arachnid,NPC
a_weathered_clockwork05,55,Warrior,Broken Clockwork,NPC
a_scrounging_clockwork09,51,Warrior,Rat,NPC
a_weathered_clockwork04,55,Warrior,Broken Clockwork,NPC
a_scrounging_clockwork08,52,Warrior,Rat,NPC
a_scrounging_clockwork07,53,Warrior,Rat,NPC
a_rusted_model20,50,Warrior,Broken Clockwork,NPC
a_rusted_model19,48,Warrior,Broken Clockwork,NPC
a_rusted_model18,50,Warrior,Broken Clockwork,NPC
a_scrounging_clockwork06,51,Warrior,Rat,NPC
a_defective_clockwork15,52,Warrior,Arachnid,NPC
a_metallic_slime00,60,Warrior,Goo,NPC
a_weathered_clockwork03,55,Warrior,Broken Clockwork,NPC
an_obsolete_model06,53,Warrior,Broken Clockwork,NPC
a_corrupted_system01,57,Warrior,Clockwork Golem,NPC
a_corroded_model12,51,Warrior,Broken Clockwork,NPC
