Name,Level,Class,Race,Type
servant_of_Del`Maque00,50,Warrior,Ancient Skeleton,NPC
Archpriest_Del`Maque00,48,Necromancer,Dark Elf,NPC
Arch_Menoch_Vanim00,48,Wizard,Efreeti,NPC
Saal_the_Keeper00,50,Ranger,Aviak,NPC
Zadyr_Moralin00,49,Necromancer,Dark Elf,NPC
a_forgotten_spirit02,48,Warrior,Ghost,NPC
a_forgotten_spirit01,50,Warrior,Ghost,NPC
a_forgotten_spirit00,50,Warrior,Ghost,NPC
Nentae_Weaver00,48,Enchanter,Ghost,NPC
Evia_N`Cizai00,46,Shadow Knight,Erudite,NPC
Kimry_Joolimel00,48,Wizard,Gnome,NPC
Druenna_Oakshade00,48,Ranger,Wood Elf,NPC
Eyan_Thunderseeker00,46,Paladin,Centaur,NPC
Parza00,46,Cleric,Dwarf,NPC
Lasiya00,47,Magician,Dark Elf,NPC
Jegard_Q`Nacat00,46,Monk,Gargoyle,NPC
Librarian_Rushal00,48,Warrior,Iksar Spirit,NPC
Jhyric_Kan_Voth00,47,Rogue,Vah Shir,NPC
Gubkuk00,47,Shaman,Troll,NPC
Mystic_Bamina00,48,Cleric,Othmir,NPC
Qallan_Shellhopper00,47,Druid,Othmir,NPC
Alchemist_Jorrum00,46,Shaman,Iksar,NPC
Ranno_Zalpar00,48,Warrior,High Elf,NPC
Summoner_Teikk00,46,Magician,Efreeti,NPC
Halken_Zeparr00,47,Wizard,Efreeti,NPC
Gaoler_of_Justice07,50,Warrior,Guard of Justice,NPC
Guardian_of_Justice01,55,Warrior,Guard of Justice,NPC
Gaoler_of_Justice06,50,Warrior,Guard of Justice,NPC
Gaoler_of_Justice05,50,Warrior,Guard of Justice,NPC
Gaoler_of_Justice03,50,Warrior,Guard of Justice,NPC
Guardian_of_Justice00,55,Warrior,Guard of Justice,NPC
Sentry_of_Justice01,45,Warrior,Guard of Justice,NPC
Sentry_of_Justice00,45,Warrior,Guard of Justice,NPC
Sralm_Noramir01,48,Warrior,Iksar,NPC
a_ravaging_burrower06,54,Monk,Worm,NPC
an_eyeless_gnawer07,56,Warrior,Worm,NPC
an_eyeless_gnawer06,55,Warrior,Worm,NPC
an_eyeless_gnawer05,54,Warrior,Worm,NPC
a_ravaging_burrower05,54,Monk,Worm,NPC
a_ravaging_burrower04,56,Monk,Worm,NPC
an_eyeless_gnawer04,54,Warrior,Worm,NPC
a_dread_locust06,54,Ranger,Beetle,NPC
an_enervating_beetle05,55,Rogue,Beetle,NPC
an_enervating_beetle04,54,Rogue,Beetle,NPC
an_enervating_beetle03,56,Rogue,Beetle,NPC
a_dread_locust05,56,Ranger,Beetle,NPC
a_dread_locust04,55,Ranger,Beetle,NPC
an_enervating_beetle02,54,Rogue,Beetle,NPC
a_dread_locust03,56,Ranger,Beetle,NPC
an_enervating_beetle01,54,Rogue,Beetle,NPC
a_dread_locust02,54,Ranger,Beetle,NPC
an_eyeless_gnawer03,55,Warrior,Worm,NPC
an_eyeless_gnawer02,56,Warrior,Worm,NPC
a_ravaging_burrower03,54,Monk,Worm,NPC
a_dread_locust01,54,Ranger,Beetle,NPC
a_dread_locust00,54,Ranger,Beetle,NPC
an_eyeless_gnawer01,55,Warrior,Worm,NPC
a_ravaging_burrower02,56,Monk,Worm,NPC
an_eyeless_gnawer00,54,Warrior,Worm,NPC
a_ravaging_burrower01,55,Monk,Worm,NPC
a_ravaging_burrower00,54,Monk,Worm,NPC
a_demented_locust02,54,Monk,Beetle,NPC
an_enervating_beetle00,56,Rogue,Beetle,NPC
a_demented_locust01,54,Monk,Beetle,NPC
a_dust_scarab00,53,Warrior,Beetle,NPC
a_demented_locust00,54,Monk,Beetle,NPC
a_mindless_tunneler05,52,Ranger,Worm,NPC
a_mindless_tunneler04,54,Ranger,Worm,NPC
a_shadow_crawler01,53,Rogue,Worm,NPC
a_shadow_crawler00,54,Rogue,Worm,NPC
a_mindless_tunneler03,52,Ranger,Worm,NPC
a_mindless_tunneler02,53,Ranger,Worm,NPC
a_mindless_tunneler01,53,Ranger,Worm,NPC
a_mindless_tunneler00,53,Ranger,Worm,NPC
a_grallok_seeker14,50,Rogue,Geonid,NPC
a_grallok_seeker13,52,Rogue,Geonid,NPC
a_grallok_defender11,53,Paladin,Stonegrabber,NPC
a_grallok_seeker12,52,Rogue,Geonid,NPC
a_grallok_protector05,51,Ranger,Geonid,NPC
a_grallok_mystic04,52,Shaman,Geonid,NPC
a_grallok_priest06,52,Cleric,Geonid,NPC
a_grallok_mystic03,53,Shaman,Geonid,NPC
a_grallok_mystic02,53,Shaman,Geonid,NPC
a_grallok_protector04,53,Ranger,Geonid,NPC
a_grallok_mystic01,52,Shaman,Geonid,NPC
a_grallok_protector03,52,Ranger,Geonid,NPC
a_grallok_protector02,52,Ranger,Geonid,NPC
a_grallok_mystic00,54,Shaman,Geonid,NPC
a_grallok_drone07,53,Warrior,Geonid,NPC
a_grallok_protector01,53,Ranger,Geonid,NPC
a_grallok_drone06,53,Warrior,Geonid,NPC
a_grallok_drone05,53,Warrior,Geonid,NPC
a_grallok_defender10,52,Paladin,Stonegrabber,NPC
a_grallok_seeker11,51,Rogue,Geonid,NPC
a_grallok_priest05,50,Cleric,Geonid,NPC
a_grallok_defender09,52,Paladin,Stonegrabber,NPC
a_grallok_seeker10,52,Rogue,Geonid,NPC
a_grallok_priest04,50,Cleric,Geonid,NPC
a_grallok_seeker09,50,Rogue,Geonid,NPC
a_grallok_seeker08,50,Rogue,Geonid,NPC
a_grallok_defender08,52,Paladin,Stonegrabber,NPC
a_grallok_drone04,53,Warrior,Geonid,NPC
a_grallok_seeker07,51,Rogue,Geonid,NPC
a_grallok_defender07,52,Paladin,Stonegrabber,NPC
a_grallok_seeker06,50,Rogue,Geonid,NPC
a_grallok_priest03,52,Cleric,Geonid,NPC
a_grallok_defender06,54,Paladin,Stonegrabber,NPC
a_grallok_defender05,53,Paladin,Stonegrabber,NPC
a_grallok_defender04,52,Paladin,Stonegrabber,NPC
a_grallok_defender03,52,Paladin,Stonegrabber,NPC
a_grallok_seeker05,51,Rogue,Geonid,NPC
a_grallok_drone03,51,Warrior,Geonid,NPC
a_grallok_protector00,52,Ranger,Geonid,NPC
a_grallok_seeker04,51,Rogue,Geonid,NPC
a_grallok_defender02,53,Paladin,Stonegrabber,NPC
a_grallok_seeker03,52,Rogue,Geonid,NPC
a_grallok_drone02,52,Warrior,Geonid,NPC
a_grallok_defender01,52,Paladin,Stonegrabber,NPC
a_grallok_priest02,52,Cleric,Geonid,NPC
a_grallok_seeker02,51,Rogue,Geonid,NPC
a_grallok_priest01,50,Cleric,Geonid,NPC
a_grallok_seeker01,50,Rogue,Geonid,NPC
a_grallok_defender00,52,Paladin,Stonegrabber,NPC
a_grallok_drone01,53,Warrior,Geonid,NPC
a_grallok_priest00,50,Cleric,Geonid,NPC
a_grallok_drone00,51,Warrior,Geonid,NPC
a_grallok_seeker00,50,Rogue,Geonid,NPC
Quillon00,44,Magician,Gargoyle,NPC
Guardian_Ionew00,46,Magician,Gargoyle,NPC
Ra`Silyas00,45,Wizard,Sarnak,NPC
warrior_of_Nel`Ptan01,46,Warrior,Sarnak Spirit,NPC
warrior_of_Nel`Ptan00,45,Warrior,Sarnak Spirit,NPC
Trader_Sha`Deno00,46,Wizard,Sarnak,NPC
Dremekal00,44,Warrior,Minotaur,NPC
Mublok00,46,Warrior,Ratman,NPC
Yalaki00,45,Enchanter,Ratman,NPC
Iyalinaoukh00,45,Wizard,Sphinx,NPC
Zayenaekk00,44,Wizard,Sphinx,NPC
Captain_Nyra00,45,Warrior,Dark Elf,NPC
Tamyna_Willowsong00,45,Bard,Wood Elf,NPC
tormented_wraith02,45,Warrior,Shade,NPC
Baxo_Numbalin00,46,Wizard,Gnome,NPC
Fubbel_Copperwheel00,45,Wizard,Gnome,NPC
Yventa_Va`Ssula00,44,Shadow Knight,Iksar,NPC
Zakis_Var_Sl`tad00,44,Shadow Knight,Iksar,NPC
Genni_Dulzane00,45,Warrior,Ghost,NPC
Golikan00,46,Wizard,Ghost,NPC
Dumann_the_Quick00,46,Rogue,Ghost,NPC
Vulur_Stonehold00,46,Warrior,Dwarf,NPC
High_Shaman_Dannal00,44,Shaman,Barbarian,NPC
Elzabetha_Ianthe00,46,Cleric,Human,NPC
Wurgoz00,44,Shaman,Froglok,NPC
Trazin_D`Feyl00,42,Shadow Knight,Dark Elf,NPC
Thrak_Riftwing00,43,Druid,Aviak,NPC
Royal_Guardian_Finro00,42,Paladin,High Elf,NPC
Aneya_Mallar00,43,Paladin,Erudite,NPC
Sister_Tomyn00,43,Monk,Human,NPC
Kuraal_Nem_Azmih00,44,Beastlord,Vah Shir,NPC
Moobik00,42,Shadow Knight,Ogre,NPC
Rhionn_Leafsblade00,43,Ranger,Half Elf,NPC
Bimlee_Mellswar00,44,Druid,Halfling,NPC
Sheyna_D`Leen00,42,Rogue,Dark Elf,NPC
Klaren_Dunn00,42,Cleric,Dwarf,NPC
Alkus_McNeeson00,42,Rogue,Barbarian,NPC
Norlta_Zamish00,44,Magician,Gnome,NPC
Sralm_Noramir00,48,Warrior,Iksar,NPC
Shera_Banneth00,44,Warrior,Barbarian,NPC
Shaldyn_Thunderhoof00,43,Warrior,Centaur,NPC
tormented_wraith01,44,Warrior,Shade,NPC
tormented_wraith00,46,Warrior,Shade,NPC
Sentry_of_Justice03,45,Warrior,Guard of Justice,NPC
Gaoler_of_Justice02,50,Warrior,Guard of Justice,NPC
Gaoler_of_Justice01,50,Warrior,Guard of Justice,NPC
Gaoler_of_Justice00,50,Warrior,Guard of Justice,NPC
A_violet_rose00,1,Warrior,Human,NPC
Sentry_of_Justice04,45,Warrior,Guard of Justice,NPC
Sentry_of_Justice02,45,Warrior,Guard of Justice,NPC
Gaoler_of_Justice04,50,Warrior,Guard of Justice,NPC
The_Seventh_Hammer00,73,Monk,The Tribunal,NPC
#Great_Bear00,35,Druid,Bear,NPC
Agent_of_The_Tribunal05,60,Warrior,Guard of Justice,NPC
Agent_of_The_Tribunal04,60,Warrior,Guard of Justice,NPC
Agent_of_The_Tribunal03,60,Warrior,Guard of Justice,NPC
Agent_of_The_Tribunal02,60,Warrior,Guard of Justice,NPC
Agent_of_The_Tribunal01,60,Warrior,Guard of Justice,NPC
Agent_of_The_Tribunal00,60,Warrior,Guard of Justice,NPC
The_Tribunal11,1,Warrior,The Tribunal,NPC
The_Tribunal10,1,Warrior,The Tribunal,NPC
The_Tribunal09,1,Warrior,The Tribunal,NPC
The_Tribunal08,1,Warrior,The Tribunal,NPC
The_Tribunal07,1,Warrior,The Tribunal,NPC
The_Tribunal06,1,Warrior,The Tribunal,NPC
The_Tribunal05,70,Warrior,The Tribunal,NPC
The_Tribunal04,70,Warrior,The Tribunal,NPC
The_Tribunal03,70,Warrior,The Tribunal,NPC
The_Tribunal02,70,Warrior,The Tribunal,NPC
The_Tribunal01,70,Warrior,The Tribunal,NPC
The_Tribunal00,70,Warrior,The Tribunal,NPC
High_Guardian_of_Justice10,60,Warrior,Guard of Justice,NPC
High_Guardian_of_Justice09,60,Warrior,Guard of Justice,NPC
High_Guardian_of_Justice08,60,Warrior,Guard of Justice,NPC
High_Guardian_of_Justice07,60,Warrior,Guard of Justice,NPC
High_Guardian_of_Justice06,60,Warrior,Guard of Justice,NPC
High_Guardian_of_Justice05,60,Warrior,Guard of Justice,NPC
#Jacosh_Steldenn00,63,Wizard,Efreeti,NPC
Dreamthief00,51,Necromancer,Demi Lich,NPC
General_Vhan`Geltah00,52,Cleric,Shissar,NPC
Nghala_Sretch00,52,Shadow Knight,Amygdalan,NPC
Xenioth_the_Endless00,51,Warrior,Thought Horror,NPC
Tetorau_Xi_Atraeth00,51,Wizard,Akheva,NPC
#Mavuin00,60,Enchanter,High Elf,NPC
The_Xel`Moar00,53,Druid,Gorgon,NPC
