Name,Level,Class,Race,Type
a_roving_cactore06,58,Rogue,Succulent,NPC
Pendubk_the_Turbulent00,65,Warrior,Giant,NPC
a_sheklak_armanento01,58,Rogue,Armadillo,NPC
a_jotna_fannsk12,62,Warrior,Giant,NPC
an_irmin_fannsk20,62,Rogue,Giant,NPC
a_jotna_her_megir03,62,Rogue,Giant,NPC
Relv_the_Mysterious00,70,Warrior,Giant,NPC
an_irmin_her_megir11,62,Warrior,Giant,NPC
a_rock_storm05,58,Wizard,Dervish,NPC
a_jotna_her_megir12,62,Rogue,Giant,NPC
an_irmin_her_megir10,62,Warrior,Giant,NPC
an_irmin_fannsk19,62,Shaman,Giant,NPC
a_jotna_fannsk20,62,Warrior,Giant,NPC
an_irmin_fannsk18,62,Rogue,Giant,NPC
an_irmin_fannsk17,62,Rogue,Giant,NPC
an_irmin_her_megir09,62,Warrior,Giant,NPC
a_jotna_fannsk18,62,Warrior,Giant,NPC
an_irmin_her_megir08,62,Warrior,Giant,NPC
a_whirling_rock_storm00,58,Warrior,Dervish,NPC
an_irmin_her_megir07,62,Warrior,Giant,NPC
a_rock_storm02,58,Wizard,Dervish,NPC
an_irmin_fannsk16,62,Shaman,Giant,NPC
an_irmin_fannsk15,62,Shaman,Giant,NPC
a_rock_storm01,58,Wizard,Dervish,NPC
an_irmin_fannsk14,62,Rogue,Giant,NPC
a_rock_storm00,58,Wizard,Dervish,NPC
an_irmin_her_megir06,62,Warrior,Giant,NPC
a_jotna_fannsk16,62,Shadow Knight,Giant,NPC
a_Krendic_slitherer12,58,Warrior,Snake,NPC
an_irmin_fannsk13,62,Shaman,Giant,NPC
a_jotna_fannsk14,62,Warrior,Giant,NPC
an_irmin_fannsk12,62,Shaman,Giant,NPC
an_irmin_fannsk11,62,Shaman,Giant,NPC
an_irmin_her_megir05,62,Warrior,Giant,NPC
a_hleytis_maor07,62,Warrior,Giant,NPC
an_irmin_her_megir04,62,Warrior,Giant,NPC
an_irmin_fannsk10,62,Rogue,Giant,NPC
a_Krendic_slitherer05,58,Warrior,Snake,NPC
a_hleytis_maor06,62,Warrior,Giant,NPC
an_irmin_her_megir03,62,Warrior,Giant,NPC
a_Krendic_slitherer03,58,Warrior,Snake,NPC
an_irmin_fannsk08,62,Shaman,Giant,NPC
an_irmin_fannsk07,62,Shaman,Giant,NPC
a_Krendic_slitherer01,58,Rogue,Snake,NPC
an_irmin_fannsk06,62,Rogue,Giant,NPC
a_jotna_fannsk09,62,Shadow Knight,Giant,NPC
an_irmin_fannsk05,62,Rogue,Giant,NPC
a_roving_scorpioco06,58,Warrior,Scorpion,NPC
an_irmin_her_megir02,62,Warrior,Giant,NPC
an_irmin_her_megir01,62,Warrior,Giant,NPC
a_forlorn_ent01,58,Warrior,Treant,NPC
an_irmin_fannsk04,62,Rogue,Giant,NPC
a_jotna_her_megir01,62,Rogue,Giant,NPC
an_irmin_fannsk03,62,Rogue,Giant,NPC
a_roving_scorpioco05,58,Warrior,Scorpion,NPC
an_irmin_fannsk02,62,Shaman,Giant,NPC
a_Krendic_slitherer06,58,Warrior,Snake,NPC
an_irmin_fannsk01,62,Shaman,Giant,NPC
an_irmin_fannsk00,62,Rogue,Giant,NPC
a_jotna_her_megir00,62,Rogue,Giant,NPC
a_jotna_fannsk03,62,Shadow Knight,Giant,NPC
a_noxious_scorponnis00,58,Rogue,Scorpion,NPC
a_jotna_fannsk02,62,Warrior,Giant,NPC
a_roving_scorpioco02,58,Warrior,Scorpion,NPC
a_jotna_fannsk01,62,Shadow Knight,Giant,NPC
a_fiery_mepheeka04,56,Warrior,Fire Mephit,NPC
a_hleyta_menn00,62,Wizard,Giant,NPC
a_jotna_fannsk00,62,Warrior,Giant,NPC
a_hurricane_lorok00,60,Rogue,Poison Frog,NPC
a_roving_scorpioco00,58,Warrior,Scorpion,NPC
a_hleytis_maor00,62,Warrior,Giant,NPC
a_Kelek`Vor_moss_snake06,58,Warrior,Snake,NPC
a_nomadic_scorpion00,58,Warrior,Scorpion,NPC
a_wandering_grezlan08,58,Warrior,Bear,NPC
a_roving_cactore05,58,Rogue,Succulent,NPC
a_whirling_rock_storm05,58,Warrior,Dervish,NPC
a_roving_cactore04,58,Rogue,Succulent,NPC
a_spined_cactoric01,58,Rogue,Succulent,NPC
a_rootless_cactoren04,58,Warrior,Succulent,NPC
a_rootless_cactoren03,58,Warrior,Succulent,NPC
a_typhoon_lorok01,60,Warrior,Poison Frog,NPC
a_roving_cactore02,58,Rogue,Succulent,NPC
a_fannsk00,61,Rogue,Giant,NPC
a_rootless_cactoren02,58,Warrior,Succulent,NPC
a_spined_cactoric00,58,Rogue,Succulent,NPC
a_hleyta_menn26,61,Wizard,Giant,NPC
a_rootless_cactoren01,58,Warrior,Succulent,NPC
a_rootless_cactoren00,58,Warrior,Succulent,NPC
a_roving_cactore01,58,Rogue,Succulent,NPC
a_roving_cactore00,58,Rogue,Succulent,NPC
Solnebk_the_Unruly00,65,Warrior,Giant,NPC
an_irmin_fannsk09,62,Shaman,Giant,NPC
a_jotna_fannsk21,62,Warrior,Giant,NPC
