Name,Level,Class,Race,Type
a_War_Wraith07,63,Necromancer,War Wraith,NPC
The_Fabled_Tagrin_Maldric00,80,Warrior,Troll,NPC
a_War_Wraith05,61,Necromancer,War Wraith,NPC
a_Diaku_Warrior06,59,Warrior,Ogre,NPC
Diaku_Armsman05,62,Warrior,Ogre,NPC
Diaku_Sentry04,60,Warrior,Ogre,NPC
a_Diaku_Death_Knight14,63,Shadow Knight,Ogre,NPC
Diaku_Sentry03,60,Warrior,Ogre,NPC
a_Diaku_Death_Knight09,63,Shadow Knight,Ogre,NPC
Diaku_Guardian06,58,Warrior,Ogre,NPC
a_Diaku_Warrior05,63,Warrior,Ogre,NPC
a_Diaku_Death_Knight04,63,Shadow Knight,Ogre,NPC
Diaku_Armsman00,62,Warrior,Ogre,NPC
a_Diaku_Death_Knight03,60,Shadow Knight,Ogre,NPC
a_Diaku_Death_Knight02,63,Shadow Knight,Ogre,NPC
a_Diaku_Oracle06,60,Shaman,Ogre,NPC
a_Diaku_Death_Knight13,58,Shadow Knight,Ogre,NPC
Decorin_Lieutenant01,69,Warrior,Rallos Zek Minion,NPC
a_Diaku_Death_Knight19,63,Shadow Knight,Ogre,NPC
a_Diaku_Scout15,58,Rogue,Ogre,NPC
#Hinvat_Deathbringer00,70,Warrior,Rallos Zek Minion,NPC
#Shadow_Master_Vinta00,69,Rogue,Rallos Zek Minion,NPC
a_diaku_plan_keeper01,63,Shadow Knight,Ogre,NPC
Hendin_Assassin01,63,Rogue,Rallos Zek Minion,NPC
Gindan_Flayer19,68,Warrior,Rallos Zek Minion,NPC
Decorin_Lieutenant07,69,Warrior,Rallos Zek Minion,NPC
Gindan_Flayer18,68,Warrior,Rallos Zek Minion,NPC
a_War_Wraith10,63,Necromancer,War Wraith,NPC
Hendin_Deathbringer03,66,Rogue,Rallos Zek Minion,NPC
Hendin_Deathbringer01,66,Rogue,Rallos Zek Minion,NPC
Diaku_Elite_Armsman08,69,Warrior,Ogre,NPC
a_Diaku_Oracle03,62,Shaman,Ogre,NPC
Diaku_Elite_Guard02,66,Warrior,Ogre,NPC
A_tortured_soul01,60,Warrior,Shade,NPC
Diaku_Elite_Armsman07,69,Warrior,Ogre,NPC
A_tortured_soul00,60,Warrior,Shade,NPC
_06,1,Warrior,Troll,NPC
Hendin_Deathbringer00,66,Rogue,Rallos Zek Minion,NPC
a_Gladiator01,60,Warrior,Dark Elf,NPC
Diaku_Armsman02,62,Warrior,Ogre,NPC
a_Gladiator00,60,Warrior,Dark Elf,NPC
Diaku_Elite_Armsman04,69,Warrior,Ogre,NPC
Gindan_Flayer17,68,Warrior,Rallos Zek Minion,NPC
Diaku_Guardian00,58,Warrior,Ogre,NPC
_05,1,Warrior,Dark Elf,NPC
Diaku_Sentry05,60,Warrior,Ogre,NPC
a_War_Wraith06,63,Necromancer,War Wraith,NPC
_03,1,Warrior,Dark Elf,NPC
_00,1,Warrior,Troll,NPC
Gindan_Blademaster04,63,Warrior,Rallos Zek Minion,NPC
a_War_Wraith09,63,Necromancer,War Wraith,NPC
Gindan_Blademaster03,63,Warrior,Rallos Zek Minion,NPC
_01,1,Warrior,Human,NPC
Gindan_Flayer13,68,Warrior,Rallos Zek Minion,NPC
_04,1,Warrior,Ogre,NPC
R`vule_Aukorrse00,35,Shaman,Iksar,NPC
Gnaap_Guinders00,35,Warrior,Halfling,NPC
Bouncer_Dunzuk00,35,Warrior,Ogre,NPC
Lysette_Wolftrot00,35,Bard,Half Elf,NPC
Aukris_Tomb00,35,Warrior,Dark Elf,NPC
Hendin_Shadow_Master00,68,Rogue,Rallos Zek Minion,NPC
Frana_Shimi00,35,Warrior,Vah Shir,NPC
a_Diaku_Scout03,62,Rogue,Ogre,NPC
Iani_Darkmoore00,35,Warrior,Half Elf,NPC
Rynd_Whistlesong00,35,Warrior,Half Elf,NPC
Martok_Weslent00,35,Warrior,Erudite,NPC
Myai_X`Lottl00,35,Warrior,Dark Elf,NPC
Basher_Gruk00,35,Warrior,Troll,NPC
a_Diaku_Boar00,57,Rogue,War Boar,NPC
Artan_Bloodforge00,35,Warrior,Dwarf,NPC
a_Diaku_Raider04,60,Warrior,Ogre,NPC
Luneviere_Elianos00,35,Warrior,High Elf,NPC
a_Diaku_Raider03,60,Warrior,Ogre,NPC
Kaya_Novashine00,35,Monk,Human,NPC
a_Decorus_Boar03,58,Rogue,War Boar,NPC
a_Diaku_Raider02,60,Warrior,Ogre,NPC
a_Diaku_Raider01,60,Warrior,Ogre,NPC
a_Diaku_Raider00,60,Warrior,Ogre,NPC
a_Decorus_Boar02,58,Rogue,War Boar,NPC
a_Decorus_Boar01,58,Rogue,War Boar,NPC
a_boar_beast03,61,Warrior,Tormentor,NPC
a_Decorus_Boar00,58,Rogue,War Boar,NPC
a_boar_beast02,61,Warrior,Tormentor,NPC
a_boar_beast00,61,Warrior,Tormentor,NPC
a_zek_initiate02,60,Warrior,Barbarian,NPC
Diaku_Elite_Guard01,66,Warrior,Ogre,NPC
a_Battle_Wraith01,58,Necromancer,War Wraith,NPC
The_Diaku_Overseer00,70,Warrior,Ogre,NPC
a_Fledgling_War_Boar03,55,Warrior,War Boar,NPC
Gindan_Flayer12,68,Warrior,Rallos Zek Minion,NPC
Decorin_Brawler04,68,Warrior,Rallos Zek Minion,NPC
Decorin_Lieutenant06,69,Warrior,Rallos Zek Minion,NPC
Decorin_Brawler03,68,Warrior,Rallos Zek Minion,NPC
a_War_Boar02,63,Rogue,War Boar,NPC
Gindan_Flayer01,68,Warrior,Rallos Zek Minion,NPC
Gindan_Flayer11,68,Warrior,Rallos Zek Minion,NPC
Decorin_Lieutenant05,69,Warrior,Rallos Zek Minion,NPC
Hendin_Shadow_Master07,68,Rogue,Rallos Zek Minion,NPC
