Name,Level,Class,Race,Type
Ta`Grusch_the_Abomination00,69,Warrior,Tormentor,NPC
Salczek_the_Fleshgrinder00,69,Warrior,Tormentor,NPC
a_blood_soaked_guard07,65,Warrior,Tormentor,NPC
a_blood_soaked_guard06,65,Warrior,Tormentor,NPC
an_acolyte_of_pain17,65,Warrior,Tormentor,NPC
an_acolyte_of_pain16,65,Warrior,Tormentor,NPC
an_acolyte_of_pain15,65,Warrior,Tormentor,NPC
an_acolyte_of_pain14,65,Warrior,Tormentor,NPC
an_acolyte_of_pain13,65,Warrior,Tormentor,NPC
an_acolyte_of_pain12,65,Warrior,Tormentor,NPC
an_acolyte_of_pain11,65,Warrior,Tormentor,NPC
an_acolyte_of_pain10,65,Warrior,Tormentor,NPC
a_blood_soaked_guard05,65,Warrior,Tormentor,NPC
an_acolyte_of_pain09,65,Warrior,Tormentor,NPC
an_acolyte_of_pain08,65,Warrior,Tormentor,NPC
a_blood_soaked_guard04,65,Warrior,Tormentor,NPC
a_blood_soaked_guard03,65,Warrior,Tormentor,NPC
an_acolyte_of_pain07,65,Warrior,Tormentor,NPC
an_acolyte_of_pain06,65,Warrior,Tormentor,NPC
a_blood_soaked_guard02,65,Warrior,Tormentor,NPC
an_acolyte_of_pain05,65,Warrior,Tormentor,NPC
a_blood_soaked_guard01,65,Warrior,Tormentor,NPC
an_acolyte_of_pain04,65,Warrior,Tormentor,NPC
an_acolyte_of_pain03,65,Warrior,Tormentor,NPC
an_acolyte_of_pain02,65,Warrior,Tormentor,NPC
a_blood_soaked_guard00,65,Warrior,Tormentor,NPC
an_acolyte_of_pain01,65,Warrior,Tormentor,NPC
an_acolyte_of_pain00,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn24,63,Warrior,Tormentor,NPC
a_servant_of_Saryrn23,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn22,63,Warrior,Tormentor,NPC
a_servant_of_Saryrn21,65,Warrior,Tormentor,NPC
#Kaniz_Painbringer00,69,Warrior,Tormentor,NPC
a_servant_of_Saryrn20,63,Warrior,Tormentor,NPC
a_servant_of_Saryrn19,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn18,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn17,63,Warrior,Tormentor,NPC
A_Kaniz_hide_collector01,63,Warrior,Tormentor,NPC
a_servant_of_Saryrn16,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn15,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn14,65,Warrior,Tormentor,NPC
a_servant_of_Saryrn13,65,Warrior,Tormentor,NPC
