Name,Level,Class,Race,Type
a_Crystalline_Crawler09,61,Warrior,Lightcrawler,NPC
a_Crystalline_Crawler08,61,Warrior,Lightcrawler,NPC
a_Crystalline_Arachnae15,61,Warrior,Crystal Spider,NPC
a_Crystalline_Crawler06,61,Warrior,Lightcrawler,NPC
a_Crystalline_Golem16,62,Warrior,Geonid,NPC
a_Crystalline_Golem15,62,Warrior,Geonid,NPC
a_Crystalline_Golem02,62,Warrior,Geonid,NPC
a_Crystalline_Crawler04,61,Warrior,Lightcrawler,NPC
a_Soldier_of_Marr10,66,Warrior,Human,NPC
a_Soldier_of_Marr09,66,Warrior,Human,NPC
a_Soldier_of_Marr08,66,Warrior,Human,NPC
a_Crystalline_Crawler02,61,Warrior,Lightcrawler,NPC
a_Soldier_of_Marr07,66,Warrior,Human,NPC
a_Crystalline_Arachnae13,61,Warrior,Crystal Spider,NPC
a_Soldier_of_Marr06,66,Warrior,Human,NPC
a_Soldier_of_Marr05,66,Warrior,Human,NPC
a_Soldier_of_Marr04,66,Warrior,Human,NPC
A_Squad_Leader00,67,Warrior,Valorian,NPC
a_Lumbering_Beast16,62,Warrior,Geonid,NPC
a_Lumbering_Beast15,62,Warrior,Geonid,NPC
a_Crystalline_Crawler00,61,Warrior,Lightcrawler,NPC
a_Lumbering_Beast13,62,Warrior,Geonid,NPC
a_planarian_larvae04,59,Warrior,Worm,NPC
a_Lumbering_Beast11,62,Warrior,Geonid,NPC
a_Lumbering_Beast10,62,Warrior,Geonid,NPC
a_Crystalline_Arachnae08,61,Warrior,Crystal Spider,NPC
a_Lumbering_Beast09,62,Warrior,Geonid,NPC
a_Lumbering_Beast08,62,Warrior,Geonid,NPC
a_Gamite_Frog09,59,Warrior,Poison Frog,NPC
a_Gamite_Frog07,60,Warrior,Poison Frog,NPC
a_Gamite_Frog06,59,Warrior,Poison Frog,NPC
a_Gamite_Frog05,59,Warrior,Poison Frog,NPC
a_Crystalline_Golem00,62,Warrior,Geonid,NPC
a_Gamite_Frog03,59,Warrior,Poison Frog,NPC
a_Gamite_Frog02,59,Warrior,Poison Frog,NPC
a_Gamite_Frog01,60,Warrior,Poison Frog,NPC
a_Gamite_Frog00,59,Warrior,Poison Frog,NPC
Barry_Karmme00,66,Warrior,Human,NPC
Genii_Rolfs00,66,Warrior,Human,NPC
Aken_Feldmin00,66,Warrior,Human,NPC
Fenric_Zarign00,66,Warrior,Human,NPC
A_Guardian_of_Marr01,66,Warrior,Human,NPC
a_Crystalline_Crawler03,61,Warrior,Lightcrawler,NPC
A_Guardian_of_Marr00,66,Warrior,Human,NPC
a_Valorian_Sentry04,63,Warrior,Human,NPC
a_Valorian_Sentry03,63,Warrior,Human,NPC
a_Valorian_Sentry02,63,Warrior,Human,NPC
a_Crystalline_Arachnae09,61,Warrior,Crystal Spider,NPC
a_Crystalline_Arachnae05,61,Warrior,Crystal Spider,NPC
a_Crystalline_Arachnae02,61,Warrior,Crystal Spider,NPC
a_Crystalline_Arachnae01,61,Warrior,Crystal Spider,NPC
a_Crystalline_Arachnae00,61,Warrior,Crystal Spider,NPC
An_Ancient_Guardian01,62,Warrior,Geonid,NPC
An_Ancient_Guardian00,62,Warrior,Geonid,NPC
a_Razorfiend_Subduer10,63,Warrior,Fungal Fiend,NPC
a_Razorfiend_Subduer09,63,Warrior,Fungal Fiend,NPC
a_Razorfiend_Subduer08,63,Warrior,Fungal Fiend,NPC
a_Razorfiend_Subduer07,63,Warrior,Fungal Fiend,NPC
a_Crystalline_Golem23,62,Warrior,Geonid,NPC
a_Valorian_Guard05,66,Warrior,Human,NPC
An_Animated_Guard01,66,Warrior,Ancient Animated Armor,NPC
An_Animated_Guard00,66,Warrior,Ancient Animated Armor,NPC
a_Lumbering_Beast07,62,Warrior,Geonid,NPC
a_Lumbering_Beast06,62,Warrior,Geonid,NPC
a_Crystalline_Arachnae11,61,Warrior,Crystal Spider,NPC
a_Lumbering_Beast04,62,Warrior,Geonid,NPC
a_Lumbering_Beast03,62,Warrior,Geonid,NPC
a_Crystalline_Arachnae10,61,Warrior,Crystal Spider,NPC
a_Lumbering_Beast02,62,Warrior,Geonid,NPC
an_Ungainly_Beast00,64,Warrior,Geonid,NPC
a_Lumbering_Beast01,62,Warrior,Geonid,NPC
a_Lumbering_Beast00,62,Warrior,Geonid,NPC
a_Crystalline_Arachnae04,61,Warrior,Crystal Spider,NPC
a_Crystalline_Crawler07,61,Warrior,Lightcrawler,NPC
a_planarian_larvae05,59,Warrior,Worm,NPC
Rogbert_Lilwen00,66,Warrior,Human,NPC
Taggart_Hines00,65,Warrior,Human,NPC
Boluen_Areden00,66,Warrior,Human,NPC
Ranin_Tredbul00,66,Warrior,Human,NPC
Master_Sergeant_Aaramis_Daryln,67,Warrior,Valorian,NPC
a_Valorian_Guard04,67,Warrior,Valorian,NPC
a_Valorian_Guard03,67,Warrior,Valorian,NPC
Katizm_Banum00,66,Warrior,Human,NPC
a_tree_frog01,59,Warrior,Poison Frog,NPC
Abalin_Goret00,66,Warrior,Human,NPC
a_tree_frog00,59,Warrior,Poison Frog,NPC
Rammoc_Mills00,66,Warrior,Human,NPC
Baltron_Werters00,66,Warrior,Human,NPC
Sergeant_Lusahn_Matthers00,67,Warrior,Valorian,NPC
a_Valorian_Guard02,67,Warrior,Valorian,NPC
a_Valorian_Guard01,67,Warrior,Valorian,NPC
