Name,Level,Class,Race,Type
an_ancient_regrua_sentinel00,70,Warrior,Crab,NPC
a_regrua_sentry02,68,Warrior,Crab,NPC
a_regrua_sentry01,68,Warrior,Crab,NPC
a_regrua_sentry00,68,Warrior,Crab,NPC
a_greater_deepwater_kraken08,67,Warrior,Kraken,NPC
a_greater_deepwater_kraken07,67,Warrior,Kraken,NPC
a_large_hammerhead_shark08,65,Warrior,Shark,NPC
a_triloun_champion03,65,Warrior,Water Mephit,NPC
a_triloun_champion02,65,Warrior,Water Mephit,NPC
a_triloun_champion01,65,Warrior,Water Mephit,NPC
a_triloun_champion00,65,Warrior,Water Mephit,NPC
a_hraquis_hunter22,68,Warrior,Hraquis,NPC
a_hraquis_hunter21,68,Warrior,Hraquis,NPC
a_hraquis_hunter20,68,Warrior,Hraquis,NPC
a_hraquis_hunter19,68,Warrior,Hraquis,NPC
a_hraquis_faith_warden04,68,Cleric,Hraquis,NPC
a_hraquis_faith_warden03,68,Cleric,Hraquis,NPC
a_hraquis_hunter18,68,Warrior,Hraquis,NPC
a_hraquis_hunter17,68,Warrior,Hraquis,NPC
a_hraquis_hunter16,68,Warrior,Hraquis,NPC
a_hraquis_hunter15,68,Warrior,Hraquis,NPC
a_hraquis_hunter14,68,Warrior,Hraquis,NPC
a_hraquis_magus00,68,Wizard,Hraquis,NPC
a_hraquis_hunter13,68,Warrior,Hraquis,NPC
a_hraquis_hunter12,68,Warrior,Hraquis,NPC
a_hraquis_mystic02,68,Shaman,Hraquis,NPC
a_hraquis_mystic01,68,Shaman,Hraquis,NPC
a_hraquis_hunter11,68,Warrior,Hraquis,NPC
#The_Fabled_Hydrotha00,85,Warrior,Kraken,NPC
a_hraquis_hunter10,68,Warrior,Hraquis,NPC
a_regrua_guardian14,67,Warrior,Crab,NPC
a_regrua_guardian13,67,Warrior,Crab,NPC
a_regrua_guardian12,67,Warrior,Crab,NPC
a_regrua_guardian11,67,Warrior,Crab,NPC
a_regrua_guardian10,67,Warrior,Crab,NPC
a_hraquis_mystic00,68,Shaman,Hraquis,NPC
a_hraquis_scout02,68,Warrior,Hraquis,NPC
a_hraquis_faith_warden02,68,Cleric,Hraquis,NPC
a_hraquis_hunter09,68,Warrior,Hraquis,NPC
a_hraquis_hunter08,68,Warrior,Hraquis,NPC
a_hraquis_faith_warden01,68,Cleric,Hraquis,NPC
a_hraquis_hunter07,68,Warrior,Hraquis,NPC
a_hraquis_scout01,68,Warrior,Hraquis,NPC
a_hraquis_hunter06,68,Warrior,Hraquis,NPC
a_hraquis_scout00,68,Warrior,Hraquis,NPC
a_hraquis_faith_warden00,68,Cleric,Hraquis,NPC
a_regrua_defender03,68,Warrior,Crab,NPC
a_regrua_guardian09,67,Warrior,Crab,NPC
a_regrua_defender02,68,Warrior,Crab,NPC
Fabled_Furious_Deepwater_Krake,83,Warrior,Kraken,NPC
a_deepwater_kraken02,66,Warrior,Kraken,NPC
an_anglerfish03,66,Warrior,Dragon,NPC
an_anglerfish02,66,Warrior,Dragon,NPC
a_deepwater_kraken01,66,Warrior,Kraken,NPC
a_deepwater_kraken00,66,Warrior,Kraken,NPC
a_greater_anglerfish10,67,Warrior,Dragon,NPC
a_greater_anglerfish09,67,Warrior,Dragon,NPC
a_greater_deepwater_kraken06,67,Warrior,Kraken,NPC
a_hraquis_hunter05,68,Warrior,Hraquis,NPC
a_hraquis_hunter04,68,Warrior,Hraquis,NPC
a_hraquis_hunter03,68,Warrior,Hraquis,NPC
a_regrua_guardian08,67,Warrior,Crab,NPC
a_regrua_guardian07,67,Warrior,Crab,NPC
a_regrua_guardian06,67,Warrior,Crab,NPC
a_regrua_guardian05,67,Warrior,Crab,NPC
a_greater_deepwater_kraken05,67,Warrior,Kraken,NPC
a_greater_anglerfish08,67,Warrior,Dragon,NPC
a_greater_anglerfish07,67,Warrior,Dragon,NPC
a_greater_anglerfish06,67,Warrior,Dragon,NPC
a_hraquis_hunter02,68,Warrior,Hraquis,NPC
a_regrua_guardian04,67,Warrior,Crab,NPC
a_regrua_guardian03,67,Warrior,Crab,NPC
a_regrua_guardian02,67,Warrior,Crab,NPC
a_greater_anglerfish05,67,Warrior,Dragon,NPC
a_greater_deepwater_kraken04,67,Warrior,Kraken,NPC
a_greater_anglerfish04,67,Warrior,Dragon,NPC
a_greater_deepwater_kraken03,67,Warrior,Kraken,NPC
a_greater_deepwater_kraken02,67,Warrior,Kraken,NPC
a_greater_anglerfish03,67,Warrior,Dragon,NPC
a_greater_deepwater_kraken01,67,Warrior,Kraken,NPC
an_anglerfish01,66,Warrior,Dragon,NPC
an_anglerfish00,66,Warrior,Dragon,NPC
a_hraquis_hunter01,68,Warrior,Hraquis,NPC
Fabled_Hraquis_Arch_Magus00,83,Wizard,Hraquis,NPC
a_hraquis_hunter00,68,Warrior,Hraquis,NPC
a_regrua_defender01,68,Warrior,Crab,NPC
a_regrua_guardian01,67,Warrior,Crab,NPC
a_regrua_guardian00,67,Warrior,Crab,NPC
a_regrua_defender00,68,Warrior,Crab,NPC
a_greater_anglerfish02,67,Warrior,Dragon,NPC
a_greater_anglerfish01,67,Warrior,Dragon,NPC
a_greater_anglerfish00,67,Warrior,Dragon,NPC
a_greater_deepwater_kraken00,67,Warrior,Kraken,NPC
a_large_hammerhead_shark07,65,Warrior,Shark,NPC
a_large_hammerhead_shark06,65,Warrior,Shark,NPC
a_large_hammerhead_shark05,65,Warrior,Shark,NPC
a_great_white_shark06,65,Warrior,Shark,NPC
a_large_hammerhead_shark04,65,Warrior,Shark,NPC
a_great_white_shark05,65,Warrior,Shark,NPC
a_large_hammerhead_shark03,65,Warrior,Shark,NPC
a_great_white_shark04,65,Warrior,Shark,NPC
a_greater_swordfish04,65,Rogue,Swordfish,NPC
a_greater_sea_turtle02,65,Warrior,Sea Turtle,NPC
a_triloun_gatherer08,65,Warrior,Water Mephit,NPC
a_greater_sea_turtle01,65,Warrior,Sea Turtle,NPC
a_greater_swordfish03,65,Rogue,Swordfish,NPC
a_greater_frog03,65,Warrior,Poison Frog,NPC
a_greater_frog02,65,Warrior,Poison Frog,NPC
a_greater_frog01,65,Warrior,Poison Frog,NPC
a_frog03,64,Warrior,Poison Frog,NPC
a_greater_barracuda01,65,Warrior,Fish,NPC
a_triloun_gatherer06,65,Warrior,Water Mephit,NPC
a_triloun_gatherer07,65,Warrior,Water Mephit,NPC
A_Fabled_Triloun02,83,Warrior,Water Mephit,NPC
a_triloun_gatherer05,65,Warrior,Water Mephit,NPC
a_triloun_keeper01,65,Cleric,Water Mephit,NPC
a_greater_swordfish02,65,Rogue,Swordfish,NPC
a_greater_piranha02,65,Warrior,Piranha,NPC
#The_Fabled_Grioihin_the_Wise0,85,Warrior,Water Mephit,NPC
a_greater_piranha01,65,Warrior,Piranha,NPC
a_greater_barracuda00,65,Warrior,Fish,NPC
