Name,Level,Class,Race,Type
a_giant_sewer_rat02,6,Warrior,Rat,NPC
a_green_snake00,1,Warrior,Snake,NPC
a_gopher_snake03,1,Warrior,Snake,NPC
a_fire_beetle05,2,Warrior,Beetle,NPC
a_fish10,1,Warrior,Fish,NPC
Banker_Javen00,60,Banker,Beggar,NPC
a_large_piranha05,5,Warrior,Piranha,NPC
a_sludge_spiderling03,3,Warrior,Spider,NPC
a_fish08,1,Warrior,Fish,NPC
a_sludge_spiderling02,2,Warrior,Spider,NPC
a_fish03,1,Warrior,Fish,NPC
a_fire_beetle04,2,Warrior,Beetle,NPC
a_large_snake00,5,Warrior,Snake,NPC
a_sludge_spiderling01,1,Warrior,Spider,NPC
a_gelatinous_cube04,6,Warrior,Gelatinous Cube,NPC
a_large_spider00,4,Warrior,Spider,NPC
a_gopher_snake02,1,Warrior,Snake,NPC
Senst_Ereek00,50,Shopkeeper,Human,NPC
a_large_piranha08,6,Warrior,Piranha,NPC
Naes_Ereek00,50,Shopkeeper,Human,NPC
a_beggar02,5,Rogue,Beggar,NPC
Tessia_Sowtsui00,50,Shopkeeper,Human,NPC
Leon_Ereek00,50,Shopkeeper,Human,NPC
Likka_Sowtsui00,50,Shopkeeper,Human,NPC
an_exhausted_guard00,4,Warrior,Human,NPC
a_fish00,1,Warrior,Fish,NPC
a_skeleton01,5,Warrior,Ancient Skeleton,NPC
Dranot_Harbin00,50,Shopkeeper,Human,NPC
Kubder_Restona00,50,Shopkeeper,Human,NPC
Felia_Milltorn00,50,Shopkeeper,Human,NPC
Bruax_Grengar00,70,Necromancer GM,Human,NPC
Nulima_Opalis00,70,Necromancer GM,Human,NPC
Kurne_Rextula00,70,Necromancer GM,Human,NPC
Unmuz_Tukore00,70,ShadowKnight GM,Human,NPC
Zaen_Kalystir00,70,ShadowKnight GM,Human,NPC
Garuc_Anehm00,70,ShadowKnight GM,Human,NPC
a_gelatinous_cube03,6,Warrior,Gelatinous Cube,NPC
a_fish02,1,Warrior,Fish,NPC
a_fish15,1,Warrior,Fish,NPC
a_froglok02,5,Warrior,Froglok,NPC
a_beggar01,5,Rogue,Beggar,NPC
a_sewer_rat02,1,Warrior,Rat,NPC
a_gelatinous_cube01,6,Warrior,Gelatinous Cube,NPC
a_fire_beetle01,2,Warrior,Beetle,NPC
a_gopher_snake00,1,Warrior,Snake,NPC
a_cave_myotis_bat01,1,Warrior,Bat,NPC
a_fire_beetle00,2,Warrior,Beetle,NPC
a_large_piranha00,6,Warrior,Piranha,NPC
a_sewer_rat04,1,Warrior,Rat,NPC
a_froglok01,5,Warrior,Froglok,NPC
a_fire_beetle06,2,Warrior,Beetle,NPC
a_fish13,1,Warrior,Fish,NPC
a_fire_beetle03,2,Warrior,Beetle,NPC
a_fish22,1,Warrior,Fish,NPC
a_large_piranha03,4,Warrior,Piranha,NPC
a_smuggler02,9,Rogue,Half Elf,NPC
a_large_rat01,1,Warrior,Rat,NPC
Teydar00,60,Shadow Knight,Human,NPC
a_large_piranha02,5,Warrior,Piranha,NPC
a_fish19,1,Warrior,Fish,NPC
a_shark01,16,Warrior,Shark,NPC
a_shark00,15,Warrior,Shark,NPC
Argyn_Shieldstan00,30,Warrior,Human,NPC
Vun_Shatblack00,30,Shadow Knight,Human,NPC
Chou_Whinstone00,30,Shadow Knight,Human,NPC
Kron_Redstepp00,30,Cleric,Human,NPC
Marn_Darkson00,30,Shadow Knight,Human,NPC
a_gopher_snake01,1,Warrior,Snake,NPC
a_froglok00,6,Warrior,Froglok,NPC
a_fish12,1,Warrior,Fish,NPC
a_spectre03,36,Warrior,Spectre,NPC
a_spectre02,36,Warrior,Spectre,NPC
a_spectre01,37,Warrior,Spectre,NPC
a_fish04,1,Warrior,Fish,NPC
a_spectre00,36,Warrior,Spectre,NPC
Dollin_Nusmag00,65,Shadow Knight,Human,NPC
Torin_Krentar00,35,Cleric,Human,NPC
Wellis_Pestule00,35,Shadow Knight,Human,NPC
Illie_Roln00,35,Warrior,Human,NPC
Pakeg_Aspet00,50,Shopkeeper,Human,NPC
Jexun_Elsorg00,50,Shopkeeper,Human,NPC
Gehnon_Dejartes00,50,Shopkeeper,Human,NPC
a_fish26,1,Warrior,Fish,NPC
Rocthar_Bekesna00,70,Warrior GM,Human,NPC
Trenon_Callust00,70,Wizard GM,Human,NPC
a_sewer_rat05,1,Warrior,Rat,NPC
