Name,Level,Class,Race,Type
a_giant_spider13,7,Warrior,Spider,NPC
a_bandit11,11,Warrior,Barbarian,NPC
Brother_Chintle00,4,Cleric,Human,NPC
a_plains_lion23,9,Warrior,Lion,NPC
a_giant_spider10,7,Warrior,Spider,NPC
a_young_plains_lion03,5,Warrior,Lion,NPC
a_young_plains_lion30,5,Warrior,Lion,NPC
a_farmer07,5,Warrior,Human,NPC
a_farmer02,4,Warrior,Human,NPC
a_giant_spider01,7,Warrior,Spider,NPC
a_brown_bear00,3,Warrior,Bear,NPC
a_brown_bear06,4,Warrior,Bear,NPC
Cleet_Miller00,32,Shopkeeper,Human,NPC
a_young_plains_lion04,5,Warrior,Lion,NPC
unkempt_preserver00,12,Druid,Human,NPC
a_mist_wolf07,5,Warrior,Ancient Wolf,NPC
a_plains_lion00,9,Warrior,Lion,NPC
a_young_plains_lion29,6,Warrior,Lion,NPC
a_young_plains_lion46,5,Warrior,Lion,NPC
Guard_Justyn00,35,Warrior,Human,NPC
Brother_Estle00,6,Cleric,Human,NPC
a_bandit34,11,Warrior,Barbarian,NPC
a_cloaked_figure01,6,Warrior,Human,NPC
a_brown_bear11,3,Warrior,Bear,NPC
a_cloaked_figure00,6,Warrior,Human,NPC
Konia_Swiftfoot00,40,Warrior,Human,NPC
a_plains_lion19,9,Warrior,Lion,NPC
a_giant_spider19,9,Warrior,Spider,NPC
a_giant_spider23,9,Warrior,Spider,NPC
a_young_plains_lion08,6,Warrior,Lion,NPC
a_young_plains_lion50,4,Warrior,Lion,NPC
a_plains_lion25,8,Warrior,Lion,NPC
a_young_plains_lion27,6,Warrior,Lion,NPC
a_plains_lion11,8,Warrior,Lion,NPC
a_young_plains_lion49,6,Warrior,Lion,NPC
a_young_plains_lion18,4,Warrior,Lion,NPC
a_young_plains_lion20,5,Warrior,Lion,NPC
a_young_plains_lion25,6,Warrior,Lion,NPC
a_plains_lion02,8,Warrior,Lion,NPC
an_animated_scarecrow02,13,Warrior,Scarecrow,NPC
an_animated_scarecrow01,15,Warrior,Scarecrow,NPC
Guard_Donlan00,29,Warrior,Human,NPC
a_giant_spider16,9,Warrior,Spider,NPC
Guard_McCluskey00,34,Warrior,Human,NPC
Frostbite00,11,Warrior,Ancient Wolf,NPC
Einhorst_McMannus00,35,Warrior,Barbarian,NPC
#Argun_Talespinner00,119,Warrior,Human,NPC
a_brown_bear05,3,Warrior,Bear,NPC
a_giant_spider11,8,Warrior,Spider,NPC
an_ogre_guard01,19,Shadow Knight,Ogre,NPC
Anderia00,4,Warrior,Human,NPC
a_treant00,24,Druid,Treant,NPC
a_fire_beetle09,2,Warrior,Beetle,NPC
a_bandit32,9,Rogue,Human,NPC
a_bandit15,11,Rogue,Human,NPC
a_fire_beetle03,2,Warrior,Beetle,NPC
a_fire_beetle11,2,Warrior,Beetle,NPC
a_fire_beetle05,2,Warrior,Beetle,NPC
a_bandit29,11,Rogue,Human,NPC
a_plains_lion24,8,Warrior,Lion,NPC
a_giant_spider12,8,Warrior,Spider,NPC
a_bandit22,11,Rogue,Human,NPC
a_bandit28,11,Rogue,Human,NPC
a_bandit27,11,Rogue,Human,NPC
Analya00,45,Shopkeeper,Barbarian,NPC
a_bandit09,9,Warrior,Barbarian,NPC
a_bandit26,11,Rogue,Human,NPC
a_bandit23,10,Rogue,Human,NPC
a_farmer04,5,Warrior,Human,NPC
a_plains_lion08,9,Warrior,Lion,NPC
a_bandit01,10,Warrior,Half Elf,NPC
a_plains_lion17,8,Warrior,Lion,NPC
Lars_McMannus00,20,Warrior,Barbarian,NPC
Misla_McMannus00,25,Shopkeeper,Barbarian,NPC
Sera_McMannus00,25,Shopkeeper,Barbarian,NPC
Brenzl_McMannus00,25,Shopkeeper,Barbarian,NPC
Spinner00,45,Shopkeeper,Human,NPC
Ollysa_Bladefinder00,50,Shopkeeper,Human,NPC
Alysa00,45,Shopkeeper,Human,NPC
a_bandit20,10,Warrior,Barbarian,NPC
Chrislin_Baker00,45,Shopkeeper,Human,NPC
Misty_Storyswapper00,17,Bard,Half Elf,NPC
Junth_McMannus00,20,Warrior,Barbarian,NPC
Innkeep_Danin00,30,Shopkeeper,Human,NPC
Innkeep_Rislarn00,30,Shopkeeper,Human,NPC
Tarnar00,30,Shopkeeper,Human,NPC
a_giant_spider15,7,Warrior,Spider,NPC
a_skeletal_soldier02,6,Warrior,Ancient Skeleton,NPC
a_skeletal_soldier01,4,Warrior,Ancient Skeleton,NPC
Quegin_Hadder00,6,Paladin,Human,NPC
a_zombie_yeoman02,8,Warrior,Zombie,NPC
a_zombie_yeoman01,7,Warrior,Zombie,NPC
a_zombie_yeoman00,6,Warrior,Zombie,NPC
a_giant_spider05,8,Warrior,Spider,NPC
Froon00,30,Warrior,Giant,NPC
