Name,Level,Class,Race,Type
a_gopher_snake02,1,Warrior,Snake,NPC
a_gopher_snake05,1,Warrior,Snake,NPC
a_grass_snake04,1,Warrior,Snake,NPC
a_gopher_snake12,1,Warrior,Snake,NPC
a_grass_snake00,1,Warrior,Snake,NPC
a_gopher_snake00,1,Warrior,Snake,NPC
a_gopher_snake04,1,Warrior,Snake,NPC
a_grass_snake07,1,Warrior,Snake,NPC
a_gopher_snake03,1,Warrior,Snake,NPC
a_gopher_snake01,1,Warrior,Snake,NPC
a_mangy_rat00,1,Warrior,Rat,NPC
a_rodent17,1,Warrior,Rat,NPC
a_large_rat02,1,Warrior,Rat,NPC
a_rodent16,1,Warrior,Rat,NPC
a_rodent13,1,Warrior,Rat,NPC
a_rodent15,1,Warrior,Rat,NPC
a_rodent10,1,Warrior,Rat,NPC
a_large_rat01,1,Warrior,Rat,NPC
a_large_rat03,1,Warrior,Rat,NPC
a_rodent05,1,Warrior,Rat,NPC
a_rodent09,1,Warrior,Rat,NPC
a_rodent07,1,Warrior,Rat,NPC
a_rodent03,1,Warrior,Rat,NPC
a_rodent00,1,Warrior,Rat,NPC
a_rodent08,1,Warrior,Rat,NPC
a_rodent04,1,Warrior,Rat,NPC
a_rodent02,1,Warrior,Rat,NPC
a_rodent06,1,Warrior,Rat,NPC
a_large_rat17,1,Warrior,Rat,NPC
a_large_rat14,1,Warrior,Rat,NPC
a_large_rat15,1,Warrior,Rat,NPC
a_rodent18,1,Warrior,Rat,NPC
a_large_rat13,1,Warrior,Rat,NPC
a_rodent14,1,Warrior,Rat,NPC
a_rodent11,1,Warrior,Rat,NPC
a_large_rat00,1,Warrior,Rat,NPC
a_rodent01,1,Warrior,Rat,NPC
a_large_rat12,1,Warrior,Rat,NPC
a_large_rat11,1,Warrior,Rat,NPC
a_large_rat10,1,Warrior,Rat,NPC
a_large_rat09,1,Warrior,Rat,NPC
a_large_rat06,1,Warrior,Rat,NPC
a_large_rat05,1,Warrior,Rat,NPC
a_rodent12,1,Warrior,Rat,NPC
a_rodent19,1,Warrior,Rat,NPC
a_large_rat04,1,Warrior,Rat,NPC
a_large_rat07,1,Warrior,Rat,NPC
a_gnoll_pup01,1,Warrior,Gnoll,NPC
a_gnoll_pup00,1,Warrior,Gnoll,NPC
a_gnoll_pup04,1,Warrior,Gnoll,NPC
a_Koalindl01,1,Warrior,Fish,NPC
a_Koalindl00,1,Warrior,Fish,NPC
a_klicnik_noble00,7,Warrior,Beetle,NPC
a_klicnik_warrior00,6,Warrior,Beetle,NPC
a_klicnik_worker04,4,Warrior,Beetle,NPC
a_klicnik_worker01,4,Warrior,Beetle,NPC
a_klicnik_worker02,3,Warrior,Beetle,NPC
a_fire_beetle01,2,Warrior,Beetle,NPC
Princess_Klicnik00,2,Warrior,Beetle,NPC
a_fire_beetle00,2,Warrior,Beetle,NPC
a_klicnik_drone00,2,Warrior,Beetle,NPC
a_klicnik_worker00,2,Warrior,Beetle,NPC
a_klicnik_drone03,2,Warrior,Beetle,NPC
a_fire_beetle04,2,Warrior,Beetle,NPC
a_fire_beetle03,2,Warrior,Beetle,NPC
a_klicnik_drone01,2,Warrior,Beetle,NPC
a_klicnik_drone02,2,Warrior,Beetle,NPC
a_whiskered_bat00,3,Warrior,Bat,NPC
a_whiskered_bat05,2,Warrior,Bat,NPC
a_brown_myotis_bat04,1,Warrior,Bat,NPC
a_brown_myotis_bat11,1,Warrior,Bat,NPC
a_brown_myotis_bat07,1,Warrior,Bat,NPC
a_brown_myotis_bat01,1,Warrior,Bat,NPC
a_brown_myotis_bat00,1,Warrior,Bat,NPC
a_brown_myotis_bat10,1,Warrior,Bat,NPC
a_brown_myotis_bat08,1,Warrior,Bat,NPC
a_brown_myotis_bat06,1,Warrior,Bat,NPC
a_brown_myotis_bat05,1,Warrior,Bat,NPC
a_brown_myotis_bat02,1,Warrior,Bat,NPC
a_skeleton00,4,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton01,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton04,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton03,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton00,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton02,2,Warrior,Ancient Skeleton,NPC
