Name,Level,Class,Race,Type
a_whiskered_bat05,3,Warrior,Bat,NPC
a_willowisp05,9,Warrior,Will-O-Wisp,NPC
a_gnoll00,5,Warrior,Gnoll,NPC
#Guard_Blevins00,22,Warrior,Human,NPC
Guard_Freklin00,50,Warrior,Human,NPC
a_brown_bear01,3,Warrior,Bear,NPC
Cethernee_Vellestan00,50,Warrior,Vah Shir,NPC
Pemawen_Vorana00,50,Warrior,Human,NPC
Pellween_Sithmoor00,50,Warrior,Human,NPC
a_giant_rat00,6,Warrior,Rat,NPC
Waradern_Skymoor00,50,Warrior,Human,NPC
Lamangao_Fallstine00,50,Warrior,Human,NPC
Guard_Yalroen00,12,Warrior,Human,NPC
a_decaying_skeleton13,1,Warrior,Ancient Skeleton,NPC
Guard_Sironan00,14,Warrior,Human,NPC
a_decaying_skeleton00,1,Warrior,Ancient Skeleton,NPC
Guard_Beris00,15,Warrior,Human,NPC
a_large_field_rat01,3,Warrior,Rat,NPC
Neclo_Rheslar00,16,Wizard,Human,NPC
a_large_field_rat03,2,Warrior,Rat,NPC
a_whiskered_bat03,2,Warrior,Bat,NPC
a_large_field_rat04,1,Warrior,Rat,NPC
a_decaying_skeleton15,1,Warrior,Ancient Skeleton,NPC
a_willowisp14,11,Warrior,Will-O-Wisp,NPC
Ubzial_Iyeaql00,65,Cleric,Erudite,NPC
a_decaying_skeleton10,1,Warrior,Ancient Skeleton,NPC
erudite_traveler00,20,Enchanter,Dark Elf,NPC
a_decaying_skeleton06,1,Warrior,Ancient Skeleton,NPC
a_brown_bear03,4,Warrior,Bear,NPC
a_willowisp09,10,Warrior,Will-O-Wisp,NPC
a_restless_skeleton04,4,Warrior,Ancient Skeleton,NPC
Guard_Cheslin00,3,Warrior,Human,NPC
a_willowisp33,10,Warrior,Will-O-Wisp,NPC
a_willowisp32,11,Warrior,Will-O-Wisp,NPC
a_willowisp04,11,Warrior,Will-O-Wisp,NPC
a_gnoll_watcher03,5,Warrior,Gnoll,NPC
a_gnoll_watcher02,4,Warrior,Gnoll,NPC
a_gnoll_watcher01,3,Warrior,Gnoll,NPC
a_whiskered_bat02,4,Warrior,Bat,NPC
a_willowisp13,10,Warrior,Will-O-Wisp,NPC
a_willowisp07,9,Warrior,Will-O-Wisp,NPC
a_fire_beetle05,2,Warrior,Beetle,NPC
a_large_myotis_bat04,3,Warrior,Bat,NPC
a_willowisp17,11,Warrior,Will-O-Wisp,NPC
a_large_myotis_bat03,5,Warrior,Bat,NPC
a_giant_rat03,6,Warrior,Rat,NPC
a_large_field_rat00,2,Warrior,Rat,NPC
a_willowisp12,10,Warrior,Will-O-Wisp,NPC
