Name,Level,Class,Race,Type
a_bear_cub02,2,Warrior,Bear,NPC
a_piranha04,2,Warrior,Piranha,NPC
a_piranha03,2,Warrior,Piranha,NPC
a_piranha01,2,Warrior,Piranha,NPC
Durvinna_Barkkis00,50,Shopkeeper,Human,NPC
Raken00,50,Shopkeeper,Human,NPC
Arrivae_Valleren00,50,Shopkeeper,Human,NPC
Sallah00,50,Shopkeeper,Human,NPC
Qomber_Roblen00,50,Shopkeeper,Human,NPC
Mikkai_Nomak00,70,Tribute Master,Human,NPC
Tralo_Songsword00,70,Tribute Master,Half Elf,NPC
Gurrin_Nitestorm00,50,Druid,Human,NPC
Jhaya_Wyndrunner00,60,Druid,Human,NPC
Lerian_Wyndrunner00,65,Druid,Human,NPC
Hue_Arborleaf00,50,Shopkeeper,Half Elf,NPC
Narwkend_Falgon00,65,Ranger,Half Elf,NPC
Gemcrafter_Anuk00,25,Shopkeeper,Human,NPC
Merdan_Fleetfoot00,38,Warrior,Human,NPC
Niera_Farbreeze00,40,Ranger,Human,NPC
a_bloodsaber_defiler00,12,Necromancer,Human,NPC
Tonsia00,50,Shopkeeper,Human,NPC
Frannie00,50,Shopkeeper,Human,NPC
Frenway_Marthank00,31,Ranger,Human,NPC
Corun_Finisc00,6,Druid,Human,NPC
Merona_Castekin00,70,Ranger GM,Human,NPC
Larsk_Juton00,70,Ranger GM,Human,NPC
Gillarian_Naelev00,70,Ranger GM,Human,NPC
Krystal_Aspen00,30,Ranger,Human,NPC
Bren_Treeclimber00,7,Ranger,Human,NPC
Ran_Walker00,30,Druid,Half Elf,NPC
a_fish03,1,Warrior,Fish,NPC
a_fish02,1,Warrior,Fish,NPC
a_fish01,1,Warrior,Fish,NPC
a_fish00,1,Warrior,Fish,NPC
a_brown_bear05,5,Warrior,Bear,NPC
a_grizzly_bear05,10,Warrior,Bear,NPC
a_bear_cub01,2,Warrior,Bear,NPC
a_brown_bear04,4,Warrior,Bear,NPC
a_brown_bear03,5,Warrior,Bear,NPC
a_brown_bear02,5,Warrior,Bear,NPC
a_grizzly_bear04,11,Warrior,Bear,NPC
a_grizzly_bear03,9,Warrior,Bear,NPC
a_bear_cub00,2,Warrior,Bear,NPC
a_grizzly_bear02,10,Warrior,Bear,NPC
a_grizzly_bear01,11,Warrior,Bear,NPC
a_grizzly_bear00,9,Warrior,Bear,NPC
a_brown_bear01,5,Warrior,Bear,NPC
a_brown_bear00,5,Warrior,Bear,NPC
Hager_Sureshot00,70,Ranger GM,Human,NPC
Sequea_Erthinon00,50,Shopkeeper,Human,NPC
Gerael_Woodone00,70,Druid GM,Human,NPC
Te`Anara00,70,Druid GM,Human,NPC
Grathin_Nilm00,50,Shopkeeper,Human,NPC
Salmekia_Treherth00,70,Druid GM,Human,NPC
Vesteri_Nomanoi00,70,Druid GM,Human,NPC
Bukem_Breewood00,50,Shopkeeper,Human,NPC
Livam_T`Lant00,50,Shopkeeper,Human,NPC
Errin_Pinewhisper00,70,Ranger GM,Human,NPC
Sivina_Lutewhisper00,25,Bard,Human,NPC
Qaelin_Hailstorm00,50,Shopkeeper,Human,NPC
Dannos_Safecoin00,60,Banker,Human,NPC
Jarse_Kedison00,50,Shopkeeper,Human,NPC
Guaril_Leafkeeper00,1,Mercenary Liaison,Half Elf,NPC
Donka_Leafkeeper00,1,Mercenary Liaison,Half Elf,NPC
a_piranha05,2,Warrior,Piranha,NPC
a_piranha07,2,Warrior,Piranha,NPC
a_piranha00,2,Warrior,Piranha,NPC
