Name,Level,Class,Race,Type
a_fungus_spore01,1,Ranger,Fungusman,NPC
a_basilisk07,17,Warrior,Alligator,NPC
a_brown_bear01,4,Warrior,Bear,NPC
dry_bone_skeleton01,17,Warrior,Ancient Skeleton,NPC
a_feral_bleeder24,1,Warrior,Mosquito,NPC
a_feral_bleeder23,1,Warrior,Mosquito,NPC
a_skeleton18,4,Warrior,Ancient Skeleton,NPC
Kindra_Farseer00,30,Enchanter,Human,NPC
a_bandit04,12,Wizard,Half Elf,NPC
a_bandit03,10,Wizard,Half Elf,NPC
an_orc_priest04,15,Cleric,Orc,NPC
Albain_Tinderbrand00,16,Druid,Half Elf,NPC
an_orc_priest03,13,Cleric,Orc,NPC
a_cyclops00,28,Warrior,Giant,NPC
a_lizardman_warrior09,12,Warrior,Lizard Man,NPC
a_fire_beetle07,2,Warrior,Beetle,NPC
a_lizardman_warrior05,11,Warrior,Lizard Man,NPC
Karam_Dragonforge00,50,Shopkeeper,Dwarf,NPC
an_orc_priest01,13,Cleric,Orc,NPC
Blackwing00,35,Warrior,Drake,NPC
a_basilisk02,16,Warrior,Alligator,NPC
a_fire_beetle09,2,Warrior,Beetle,NPC
a_basilisk00,15,Warrior,Alligator,NPC
an_obsidian_drake00,12,Warrior,Drake,NPC
an_orc_warrior17,11,Warrior,Orc,NPC
a_basilisk12,13,Warrior,Alligator,NPC
a_feral_bleeder09,1,Warrior,Mosquito,NPC
a_lizardman_mystic01,10,Shaman,Lizard Man,NPC
an_adult_bleeder16,4,Warrior,Mosquito,NPC
a_basilisk09,14,Warrior,Alligator,NPC
a_grizzly_bear02,9,Warrior,Bear,NPC
Scribe_Gukloki00,50,Shopkeeper,Froglok,NPC
an_adult_bleeder15,4,Warrior,Mosquito,NPC
an_adult_bleeder14,5,Warrior,Mosquito,NPC
a_bandit01,10,Warrior,Half Elf,NPC
a_grizzly_bear00,11,Warrior,Bear,NPC
Giraga00,121,Warrior,Troll,NPC
Volantpiscis00,121,Warrior,Sphinx,NPC
a_feral_bleeder05,1,Warrior,Mosquito,NPC
Kor_Fibbilus00,40,Warrior,Froglok,NPC
a_peaceful_student00,70,Warrior,Froglok,NPC
a_debating_student01,70,Warrior,Froglok,NPC
a_brown_bear06,5,Warrior,Bear,NPC
a_debating_student00,70,Warrior,Froglok,NPC
a_student_of_the_staff01,70,Warrior,Froglok,NPC
