Name,Level,Class,Race,Type
Sludge_Dankmire00,25,Warrior,Goblin,NPC
a_goblin_merchant01,14,Shopkeeper,Goblin,NPC
a_Sporali_Defender07,23,Warrior,Fungusman,NPC
a_goblin_merchant00,17,Shopkeeper,Goblin,NPC
a_Pickclaw_Foeslicer07,19,Warrior,Goblin,NPC
an_Evil_Eye_prisoner01,27,Wizard,Evil Eye,NPC
an_Evil_Eye_prisoner00,29,Wizard,Evil Eye,NPC
a_Pickclaw_Foeslicer04,20,Warrior,Goblin,NPC
a_Pickclaw_Bladestopper01,16,Warrior,Goblin,NPC
#Lord_Pickclaw00,32,Warrior,Goblin,NPC
a_Pickclaw_Destroyer07,20,Warrior,Goblin,NPC
a_Pickclaw_Zekspeaker05,19,Cleric,Goblin,NPC
a_Pickclaw_Slayspell03,23,Wizard,Goblin,NPC
a_Sporali_worker01,19,Rogue,Fungusman,NPC
a_Pickclaw_Foechopper01,20,Warrior,Goblin,NPC
a_goblin_peon00,7,Warrior,Goblin,NPC
a_Pickclaw_Foeslicer03,17,Warrior,Goblin,NPC
a_Pickclaw_Foeslicer01,18,Warrior,Goblin,NPC
a_Pickclaw_Fleshburner04,17,Wizard,Goblin,NPC
#Battlelord_Paluk00,28,Warrior,Goblin,NPC
a_Pickclaw_Zekspeaker01,19,Cleric,Goblin,NPC
a_Pickclaw_Zekspeaker00,23,Cleric,Goblin,NPC
a_Pickclaw_Slayspell05,22,Wizard,Goblin,NPC
a_Pickclaw_Bladestopper00,16,Warrior,Goblin,NPC
a_Pickclaw_bonemender00,16,Cleric,Goblin,NPC
a_Pickclaw_Destroyer05,20,Warrior,Goblin,NPC
a_Pickclaw_Ambushbaiter00,17,Rogue,Goblin,NPC
a_Pickclaw_Foechopper05,18,Warrior,Goblin,NPC
a_Pickclaw_Foechopper02,20,Warrior,Goblin,NPC
a_goblin_bartender00,14,Shopkeeper,Goblin,NPC
a_goblin_banker00,99,Banker,Goblin,NPC
a_Pickclaw_Ambushbaiter02,16,Rogue,Goblin,NPC
a_mimic00,1,Warrior,Mimic,NPC
a_Pickclaw_Destroyer00,20,Warrior,Goblin,NPC
an_ooze_crawler02,21,Warrior,Snake,NPC
a_sludge_guppy05,15,Warrior,Fish,NPC
a_sludge_guppy04,15,Warrior,Fish,NPC
a_Pickclaw_bonemender03,16,Cleric,Goblin,NPC
an_ooze_crawler01,23,Warrior,Snake,NPC
an_ooze_crawler00,22,Warrior,Snake,NPC
a_sludge_guppy03,14,Warrior,Fish,NPC
a_sludge_guppy02,17,Warrior,Fish,NPC
a_sludge_guppy01,16,Warrior,Fish,NPC
a_sludge_guppy00,16,Warrior,Fish,NPC
a_Pickclaw_Slayspell00,23,Wizard,Goblin,NPC
a_Pickclaw_Fleshburner01,16,Wizard,Goblin,NPC
a_Pickclaw_Thoughtshaper00,14,Enchanter,Goblin,NPC
a_Pickclaw_mindripper01,14,Enchanter,Goblin,NPC
a_goblin_runt02,9,Warrior,Goblin,NPC
a_Pickclaw_Ambushbaiter01,18,Rogue,Goblin,NPC
a_Sporali_gatherer02,18,Warrior,Fungusman,NPC
a_Sporali_Scavenger01,21,Rogue,Fungusman,NPC
a_Sporali_worker07,20,Rogue,Fungusman,NPC
a_Sporali_Miner05,20,Rogue,Fungusman,NPC
a_Sporali_worker06,17,Rogue,Fungusman,NPC
a_Sporali_Miner04,20,Rogue,Fungusman,NPC
a_Sporali_worker05,20,Rogue,Fungusman,NPC
a_Sporali_Miner03,21,Rogue,Fungusman,NPC
a_Pickclaw_Foeseeker07,21,Rogue,Goblin,NPC
a_Sporali_worker04,21,Rogue,Fungusman,NPC
a_Pickclaw_Arroweater01,15,Warrior,Goblin,NPC
a_Sporali_Miner02,18,Rogue,Fungusman,NPC
a_Sporali_Miner01,20,Rogue,Fungusman,NPC
a_Sporali_Miner00,18,Rogue,Fungusman,NPC
a_Sporali_worker03,19,Rogue,Fungusman,NPC
a_Sporali_gatherer01,18,Warrior,Fungusman,NPC
a_Sporali_gatherer00,19,Warrior,Fungusman,NPC
a_Sporali_Scavenger00,17,Rogue,Fungusman,NPC
a_Sporali_worker02,19,Rogue,Fungusman,NPC
a_Sporali_Defender06,20,Warrior,Fungusman,NPC
a_Sporali_Defender05,22,Warrior,Fungusman,NPC
a_Sporali_Defender04,20,Warrior,Fungusman,NPC
a_Sporali_Defender03,20,Warrior,Fungusman,NPC
a_Sporali_Defender02,23,Warrior,Fungusman,NPC
a_Sporali_Defender01,20,Warrior,Fungusman,NPC
a_Pickclaw_Fleshburner02,16,Wizard,Goblin,NPC
a_Pickclaw_Bladestopper04,16,Warrior,Goblin,NPC
a_Pickclaw_Foechopper11,20,Warrior,Goblin,NPC
a_Pickclaw_Thoughtshaper02,14,Enchanter,Goblin,NPC
a_Sporali_worker00,20,Rogue,Fungusman,NPC
a_Pickclaw_Foeseeker06,24,Rogue,Goblin,NPC
a_Pickclaw_bonemender01,14,Cleric,Goblin,NPC
a_Pickclaw_Foeseeker11,23,Rogue,Goblin,NPC
a_Pickclaw_Bladestopper02,14,Warrior,Goblin,NPC
a_goblin_runt03,11,Warrior,Goblin,NPC
#The_Sporali_Moldmaster00,25,Druid,Fungusman,NPC
#a_Pickclaw_Crusader00,23,Warrior,Goblin,NPC
a_Pickclaw_Foechopper03,21,Warrior,Goblin,NPC
a_Pickclaw_Thoughtshaper01,10,Enchanter,Goblin,NPC
a_Pickclaw_Slayspell02,22,Wizard,Goblin,NPC
a_Pickclaw_mindripper05,17,Enchanter,Goblin,NPC
a_Pickclaw_Foechopper06,21,Warrior,Goblin,NPC
a_Pickclaw_Fleshburner00,15,Wizard,Goblin,NPC
a_Pickclaw_Foeseeker09,23,Rogue,Goblin,NPC
a_Pickclaw_Fleshburner03,15,Wizard,Goblin,NPC
a_Pickclaw_Destroyer06,23,Warrior,Goblin,NPC
a_Pickclaw_Foeseeker05,21,Rogue,Goblin,NPC
a_Pickclaw_Foeseeker03,23,Rogue,Goblin,NPC
a_Pickclaw_Foeslicer06,21,Warrior,Goblin,NPC
a_Pickclaw_Foeslicer02,21,Warrior,Goblin,NPC
a_Pickclaw_Arroweater04,16,Warrior,Goblin,NPC
a_Pickclaw_veteran00,23,Warrior,Goblin,NPC
a_Pickclaw_bonemender02,14,Cleric,Goblin,NPC
a_Pickclaw_Destroyer01,22,Warrior,Goblin,NPC
an_evil_eye00,29,Wizard,Evil Eye,NPC
a_goblin_trainee02,9,Warrior,Goblin,NPC
a_Pickclaw_Destroyer03,21,Warrior,Goblin,NPC
a_goblin_scavenger00,10,Warrior,Goblin,NPC
a_goblin_trainee01,11,Warrior,Goblin,NPC
a_slime_elemental00,25,Warrior,Gelatinous Cube,NPC
a_Pickclaw_Foeseeker00,20,Rogue,Goblin,NPC
a_Pickclaw_Ambushbaiter03,20,Rogue,Goblin,NPC
a_Pickclaw_Foechopper07,18,Warrior,Goblin,NPC
a_Pickclaw_Arroweater00,18,Warrior,Goblin,NPC
a_Pickclaw_Foechopper09,18,Warrior,Goblin,NPC
a_goblin_janitor00,8,Warrior,Goblin,NPC
a_Pickclaw_Foeseeker10,24,Rogue,Goblin,NPC
a_Pickclaw_Foechopper04,21,Warrior,Goblin,NPC
a_Pickclaw_Foeslicer08,20,Warrior,Goblin,NPC
a_Pickclaw_Destroyer02,20,Warrior,Goblin,NPC
a_Pickclaw_Destroyer04,22,Warrior,Goblin,NPC
a_Pickclaw_Foechopper00,18,Warrior,Goblin,NPC
a_Pickclaw_Slayspell01,21,Wizard,Goblin,NPC
a_goblin_trainee00,8,Warrior,Goblin,NPC
