Name,Level,Class,Race,Type
a_lightcrawler47,39,Warrior,Lightcrawler,NPC
a_scarlet_cheetah06,37,Warrior,Scarlet Cheetah,NPC
a_bloodtribe_warrior18,40,Warrior,Galorian,NPC
a_bloodtribe_warrior17,42,Warrior,Galorian,NPC
a_grol_baku_shaman01,37,Shaman,Tegi,NPC
a_lightcrawler12,38,Warrior,Lightcrawler,NPC
a_tro_jeg_spiritward06,41,Shaman,Tegi,NPC
a_lightcrawler17,37,Warrior,Lightcrawler,NPC
bloodtribe_shaman16,37,Shaman,Galorian,NPC
a_sunflower22,39,Warrior,Sunflower,NPC
a_stone_cheetah00,38,Warrior,Scarlet Cheetah,NPC
a_scarlet_cheetah17,38,Warrior,Scarlet Cheetah,NPC
a_sunflower21,39,Warrior,Sunflower,NPC
bloodtribe_shaman06,44,Shaman,Galorian,NPC
bloodtribe_shaman15,39,Shaman,Galorian,NPC
a_sunflower11,38,Warrior,Sunflower,NPC
a_sun_revenant18,38,Warrior,Shadel,NPC
a_scarlet_cheetah21,39,Warrior,Scarlet Cheetah,NPC
bloodtribe_shaman14,39,Shaman,Galorian,NPC
a_sunflower29,41,Warrior,Sunflower,NPC
a_bloodtribe_warrior14,39,Warrior,Galorian,NPC
bloodtribe_shaman13,39,Shaman,Galorian,NPC
a_lightcrawler27,36,Warrior,Lightcrawler,NPC
a_bloodtribe_runekeeper00,36,Warrior,Galorian,NPC
a_grol_baku_warder05,37,Warrior,Tegi,NPC
a_bloodtribe_warrior13,38,Warrior,Galorian,NPC
bloodtribe_shaman08,41,Shaman,Galorian,NPC
bloodtribe_shaman11,39,Shaman,Galorian,NPC
a_bloodtribe_warrior06,39,Warrior,Galorian,NPC
a_scarlet_cheetah19,39,Warrior,Scarlet Cheetah,NPC
a_lightcrawler24,38,Warrior,Lightcrawler,NPC
a_bloodtribe_warrior12,38,Warrior,Galorian,NPC
a_sunflower10,35,Warrior,Sunflower,NPC
bloodtribe_shaman10,39,Shaman,Galorian,NPC
a_sunflower20,39,Warrior,Sunflower,NPC
a_bloodtribe_ornamentalist00,39,Warrior,Galorian,NPC
a_bloodtribe_warrior10,38,Warrior,Galorian,NPC
a_tro_jeg_legionnaire02,40,Warrior,Tegi,NPC
a_tro_jeg_legionnaire01,40,Warrior,Tegi,NPC
a_bloodtribe_sunworshiper00,37,Warrior,Galorian,NPC
a_tro_jeg_legionnaire00,40,Warrior,Tegi,NPC
bloodtribe_shaman01,42,Shaman,Galorian,NPC
a_tro_jeg_shaman10,39,Shaman,Tegi,NPC
a_bloodtribe_warrior47,38,Warrior,Galorian,NPC
a_tro_jeg_fire_warder01,42,Shaman,Tegi,NPC
a_tro_jeg_shaman09,39,Shaman,Tegi,NPC
a_tro_jeg_fire_worshiper02,43,Warrior,Tegi,NPC
a_bloodtribe_warrior36,41,Warrior,Galorian,NPC
a_bloodtribe_warrior35,42,Warrior,Galorian,NPC
a_bloodtribe_warrior23,45,Warrior,Galorian,NPC
a_vas_ren_guard05,35,Warrior,Tegi,NPC
a_bloodtribe_shaman06,44,Shaman,Galorian,NPC
a_lightcrawler16,38,Warrior,Lightcrawler,NPC
a_bloodtribe_warrior22,45,Warrior,Galorian,NPC
a_furious_rockhopper00,37,Warrior,Rockhopper,NPC
a_bloodtribe_shaman05,40,Shaman,Galorian,NPC
a_scarlet_cheetah13,40,Warrior,Scarlet Cheetah,NPC
a_vas_ren_guard03,35,Warrior,Tegi,NPC
a_sunflower08,36,Warrior,Sunflower,NPC
a_bloodtribe_warrior21,45,Warrior,Galorian,NPC
a_vas_ren_shaman07,31,Shaman,Tegi,NPC
a_mighty_bloodtribe_hunter01,36,Warrior,Galorian,NPC
a_vas_ren_nomad04,30,Warrior,Tegi,NPC
a_tro_jeg_sentinel04,35,Warrior,Tegi,NPC
a_sunflower03,39,Warrior,Sunflower,NPC
a_grol_baku_retainer01,39,Warrior,Tegi,NPC
a_vas_ren_shaman06,30,Shaman,Tegi,NPC
a_lightcrawler41,41,Warrior,Lightcrawler,NPC
a_tro_jeg_bane00,37,Warrior,Tegi,NPC
a_vas_ren_nomad01,31,Warrior,Tegi,NPC
a_vas_ren_shaman02,34,Shaman,Tegi,NPC
a_vas_ren_guard02,35,Warrior,Tegi,NPC
a_tro_jeg_sentinel03,35,Warrior,Tegi,NPC
a_cursed_sun_revenant00,39,Warrior,Shadel,NPC
a_lightcrawler01,33,Warrior,Lightcrawler,NPC
a_tro_jeg_sentinel02,35,Warrior,Tegi,NPC
a_vas_ren_shaman01,34,Shaman,Tegi,NPC
a_vas_ren_trooper01,32,Warrior,Tegi,NPC
a_prognostic_cheetah00,38,Warrior,Scarlet Cheetah,NPC
a_vas_ren_trooper00,34,Warrior,Tegi,NPC
a_tro_jeg_shaman07,34,Shaman,Tegi,NPC
a_vas_ren_nomad00,31,Warrior,Tegi,NPC
a_scarlet_rockhopper06,36,Warrior,Rockhopper,NPC
a_lightcrawler00,33,Warrior,Lightcrawler,NPC
a_mighty_bloodtribe_hunter00,36,Warrior,Galorian,NPC
a_tro_jeg_shaman06,34,Shaman,Tegi,NPC
a_lightcrawler04,41,Warrior,Lightcrawler,NPC
a_tro_jeg_sentinel01,35,Warrior,Tegi,NPC
a_tro_jeg_shaman05,34,Shaman,Tegi,NPC
a_scarlet_cheetah20,39,Warrior,Scarlet Cheetah,NPC
a_bloodtribe_warrior09,35,Warrior,Galorian,NPC
a_scarlet_cheetah12,38,Warrior,Scarlet Cheetah,NPC
a_sunflower30,34,Warrior,Sunflower,NPC
a_lightcrawler06,38,Warrior,Lightcrawler,NPC
a_scarlet_cheetah15,36,Warrior,Scarlet Cheetah,NPC
a_tro_jeg_sentinel00,35,Warrior,Tegi,NPC
a_tro_jeg_spiritward04,44,Shaman,Tegi,NPC
a_tro_jeg_warrior07,34,Warrior,Tegi,NPC
a_tro_jeg_shaman04,31,Shaman,Tegi,NPC
