Name,Level,Class,Race,Type
myconid_warrior02,50,Warrior,Fungusman,NPC
myconid_warrior03,51,Warrior,Fungusman,NPC
Houtia43661,53,Cleric,Froglok,NPC
froglok_ilis_wizard02,53,Wizard,Froglok,NPC
froglok_ilis_knight01,53,Warrior,Froglok,NPC
Karupshan`s_warder00,39,Warrior,Bear,NPC
Allea43660,53,Rogue,Halfling,NPC
Gasarer00,41,Warrior,Elemental,NPC
myconid_reaver07,52,Warrior,Fungusman,NPC
myconid_warrior09,50,Warrior,Fungusman,NPC
skeletal_champion07,48,Warrior,Iksar Skeleton,NPC
froglok_krup_shaman00,50,Shaman,Froglok,NPC
skeletal_guard03,51,Warrior,Iksar Skeleton,NPC
spectral_harbinger00,52,Rogue,Iksar Spirit,NPC
skeletal_guard02,51,Warrior,Iksar Skeleton,NPC
skeletal_guard01,51,Warrior,Iksar Skeleton,NPC
skeletal_guard00,51,Warrior,Iksar Skeleton,NPC
skeletal_crusader00,47,Warrior,Iksar Skeleton,NPC
skeletal_champion06,42,Monk,Iksar Skeleton,NPC
The_Fabled_Trakanon00,75,Necromancer,Trakanon,NPC
skeletal_champion05,43,Monk,Iksar Skeleton,NPC
skeletal_champion03,45,Monk,Iksar Skeleton,NPC
skeletal_baron00,51,Warrior,Iksar Skeleton,NPC
skeletal_duke00,51,Warrior,Iksar Skeleton,NPC
skeletal_harbinger00,51,Warrior,Iksar Skeleton,NPC
skeletal_champion02,47,Warrior,Iksar Skeleton,NPC
skeletal_hierophant00,51,Warrior,Iksar Skeleton,NPC
a_sebilite_golem03,47,Warrior,Iksar Golem,NPC
Imperial_Crypt_Guardian01,53,Cleric,Iksar Golem,NPC
a_sebilite_golem02,48,Warrior,Iksar Golem,NPC
Imperial_Crypt_Guardian00,53,Cleric,Iksar Golem,NPC
froglok_dar_knight11,43,Warrior,Froglok,NPC
crypt_caretaker00,53,Warrior,Gelatinous Cube,NPC
froglok_jin_shaman12,45,Shaman,Froglok,NPC
froglok_krup_shaman11,51,Shaman,Froglok,NPC
froglok_jin_shaman10,46,Shaman,Froglok,NPC
froglok_ilis_wizard01,53,Wizard,Froglok,NPC
skeletal_champion01,50,Warrior,Iksar Skeleton,NPC
froglok_kor_shaman02,42,Shaman,Froglok,NPC
froglok_dar_knight10,46,Warrior,Froglok,NPC
froglok_krup_wizard00,52,Wizard,Froglok,NPC
krup_ghoul_knight03,47,Shadow Knight,Froglok,NPC
a_sebilite_golem01,49,Warrior,Iksar Golem,NPC
dar_ghoul_knight00,47,Shadow Knight,Froglok,NPC
froglok_jin_shaman09,45,Shaman,Froglok,NPC
froglok_krup_wizard04,50,Wizard,Froglok,NPC
froglok_dar_knight09,43,Warrior,Froglok,NPC
froglok_krup_knight19,51,Warrior,Froglok,NPC
skeletal_champion00,50,Warrior,Iksar Skeleton,NPC
froglok_jin_shaman08,44,Shaman,Froglok,NPC
froglok_krup_knight18,52,Warrior,Froglok,NPC
froglok_ilis_knight04,53,Warrior,Froglok,NPC
froglok_jin_shaman06,45,Shaman,Froglok,NPC
froglok_jin_shaman04,45,Shaman,Froglok,NPC
skeletal_champion04,48,Warrior,Iksar Skeleton,NPC
froglok_bok_shaman01,46,Shaman,Froglok,NPC
froglok_dar_knight07,44,Warrior,Froglok,NPC
froglok_jin_wizard03,44,Wizard,Froglok,NPC
froglok_jin_shaman03,47,Shaman,Froglok,NPC
froglok_dar_knight06,43,Warrior,Froglok,NPC
froglok_zol_knight01,40,Warrior,Froglok,NPC
froglok_bok_wizard00,48,Wizard,Froglok,NPC
a_sepsis_scarab02,49,Warrior,Beetle,NPC
froglok_krup_shaman04,51,Shaman,Froglok,NPC
froglok_krup_knight13,49,Warrior,Froglok,NPC
froglok_krup_knight03,48,Warrior,Froglok,NPC
a_sepsis_scarab01,49,Warrior,Beetle,NPC
a_sepsis_scarab00,50,Warrior,Beetle,NPC
a_sebilite_golem00,51,Warrior,Iksar Golem,NPC
froglok_bok_shaman05,46,Shaman,Froglok,NPC
froglok_zol_knight00,42,Warrior,Froglok,NPC
froglok_bok_shaman03,49,Shaman,Froglok,NPC
froglok_jin_wizard02,43,Wizard,Froglok,NPC
froglok_bok_shaman00,46,Shaman,Froglok,NPC
froglok_krup_wizard03,50,Wizard,Froglok,NPC
froglok_krup_wizard01,48,Wizard,Froglok,NPC
froglok_krup_shaman14,51,Shaman,Froglok,NPC
froglok_bok_wizard08,47,Wizard,Froglok,NPC
an_Iksar_necromancer04,46,Necromancer,Iksar,NPC
froglok_ilis_knight03,53,Warrior,Froglok,NPC
froglok_krup_wizard08,48,Wizard,Froglok,NPC
froglok_bok_shaman16,49,Shaman,Froglok,NPC
