Name,Level,Class,Race,Type
a_duressed_civilian19,33,Warrior,Wood Elf,NPC
a_Loda_Kai_poacher05,10,Warrior,Human,NPC
a_shak_dratha_seeker26,5,Warrior,Tegi,NPC
a_Loda_Kai_trader00,15,Warrior,Human,NPC
a_duressed_civilian17,32,Warrior,Dwarf,NPC
a_Loda_Kai_poacher04,10,Warrior,Human,NPC
a_duressed_civilian16,33,Warrior,Dwarf,NPC
a_Loda_Kai_poacher03,10,Warrior,Half Elf,NPC
a_duressed_civilian15,36,Warrior,Half Elf,NPC
a_shak_dratha_seeker22,5,Warrior,Tegi,NPC
a_Loda_Kai_poacher02,9,Warrior,Human,NPC
a_supply_crate17,120,LDoN Object,Box,NPC
an_unknowing_civilian26,32,Warrior,Human,NPC
a_Loda_Kai_poacher01,10,Warrior,Half Elf,NPC
a_shak_dratha_invader07,14,Warrior,Tegi,NPC
a_Cht`Thk_bloodling02,1,Warrior,Rhino Beetle,NPC
a_Loda_Kai_poacher00,10,Warrior,Half Elf,NPC
an_unknowing_civilian24,40,Warrior,Barbarian,NPC
an_unknowing_civilian23,35,Warrior,Barbarian,NPC
a_skeletal_thug01,11,Warrior,Skeleton,NPC
an_unknowing_civilian22,36,Warrior,Erudite,NPC
a_saurek_hopper10,4,Warrior,Rockhopper,NPC
an_unknowing_civilian21,40,Warrior,Erudite,NPC
a_nuisance15,2,Cleric,Shik'Nar,NPC
an_unknowing_civilian19,37,Warrior,Wood Elf,NPC
a_shak_dratha_senthien14,19,Warrior,Tegi,NPC
a_Cht`Thk_bloodling05,2,Warrior,Rhino Beetle,NPC
an_unknowing_civilian16,32,Warrior,Half Elf,NPC
an_unknowing_civilian15,39,Warrior,Half Elf,NPC
an_unknowing_civilian14,30,Warrior,Human,NPC
a_charred_corpse06,20,Warrior,Vah Shir Skeleton,NPC
an_unknowing_civilian13,37,Warrior,Half Elf,NPC
a_Loda_Kai_poacher10,10,Warrior,Human,NPC
a_gor_taku_scout09,5,Warrior,Tegi,NPC
an_unknowing_civilian12,35,Warrior,Dwarf,NPC
an_unknowing_civilian11,30,Warrior,Erudite,NPC
an_unknowing_civilian10,35,Warrior,Barbarian,NPC
a_shak_dratha_senthien05,19,Warrior,Tegi,NPC
an_unknowing_civilian09,39,Warrior,Erudite,NPC
an_unknowing_civilian08,40,Warrior,Dwarf,NPC
a_skeletal_thug00,10,Warrior,Skeleton,NPC
a_nuisance12,2,Cleric,Shik'Nar,NPC
an_unknowing_civilian07,31,Warrior,Wood Elf,NPC
a_shak_dratha_dathiar01,21,Warrior,Tegi,NPC
an_unknowing_civilian05,32,Warrior,Barbarian,NPC
