Name,Level,Class,Race,Type
a_neriad_maiden12,48,Warrior,Mermaid,NPC
a_neriad_maiden11,49,Warrior,Mermaid,NPC
a_neriad_maiden10,50,Warrior,Mermaid,NPC
a_neriad_maiden09,48,Warrior,Mermaid,NPC
a_neriad_maiden08,50,Warrior,Mermaid,NPC
a_neriad_maiden07,48,Warrior,Mermaid,NPC
a_neriad_maiden06,48,Warrior,Mermaid,NPC
a_neriad_maiden05,48,Warrior,Mermaid,NPC
a_neriad_maiden04,49,Warrior,Mermaid,NPC
a_neriad_maiden03,49,Warrior,Mermaid,NPC
a_neriad_maiden02,50,Warrior,Mermaid,NPC
a_neriad_maiden01,50,Warrior,Mermaid,NPC
a_neriad_maiden00,49,Warrior,Mermaid,NPC
a_neriad_mistress16,56,Warrior,Mermaid,NPC
a_neriad_mistress15,55,Warrior,Mermaid,NPC
a_neriad_mistress14,55,Warrior,Mermaid,NPC
a_neriad_mistress13,55,Warrior,Mermaid,NPC
a_neriad_mistress12,55,Warrior,Mermaid,NPC
a_neriad_mistress11,55,Warrior,Mermaid,NPC
a_neriad_mistress10,55,Warrior,Mermaid,NPC
a_neriad_mistress09,56,Warrior,Mermaid,NPC
a_neriad_mistress08,55,Warrior,Mermaid,NPC
a_neriad_mistress07,55,Warrior,Mermaid,NPC
a_neriad_mistress06,56,Warrior,Mermaid,NPC
a_neriad_mistress05,55,Warrior,Mermaid,NPC
a_neriad_mistress04,56,Warrior,Mermaid,NPC
a_neriad_weaver00,61,Warrior,Mermaid,NPC
a_neriad_mistress03,56,Warrior,Mermaid,NPC
a_neriad_mistress02,56,Warrior,Mermaid,NPC
a_neriad_mistress01,55,Warrior,Mermaid,NPC
a_neriad_mistress00,55,Warrior,Mermaid,NPC
an_icy_servant05,55,Warrior,Ancient Elemental,NPC
an_icy_servant04,55,Warrior,Ancient Elemental,NPC
a_siren_myrmidon23,56,Warrior,Siren,NPC
a_siren_myrmidon22,56,Warrior,Siren,NPC
a_siren_myrmidon21,57,Warrior,Siren,NPC
a_siren_myrmidon20,56,Warrior,Siren,NPC
a_siren_myrmidon19,55,Warrior,Siren,NPC
a_siren_myrmidon18,56,Warrior,Siren,NPC
a_siren_myrmidon17,55,Warrior,Siren,NPC
a_siren_templar03,55,Cleric,Siren,NPC
a_siren_myrmidon16,56,Warrior,Siren,NPC
a_siren_myrmidon15,55,Warrior,Siren,NPC
a_siren_myrmidon14,56,Warrior,Siren,NPC
#a_deadly_siren00,61,Cleric,Siren,NPC
a_siren_beguiler07,55,Enchanter,Siren,NPC
a_siren_myrmidon13,57,Warrior,Siren,NPC
a_siren_beguiler06,56,Enchanter,Siren,NPC
a_siren_beguiler05,57,Enchanter,Siren,NPC
a_siren_beguiler04,57,Enchanter,Siren,NPC
a_siren_myrmidon12,57,Warrior,Siren,NPC
a_siren_myrmidon11,56,Warrior,Siren,NPC
a_siren_myrmidon10,56,Warrior,Siren,NPC
a_siren_myrmidon09,57,Warrior,Siren,NPC
a_siren_myrmidon08,56,Warrior,Siren,NPC
a_siren_templar02,56,Cleric,Siren,NPC
a_siren_beguiler03,55,Enchanter,Siren,NPC
a_siren_templar01,55,Cleric,Siren,NPC
a_siren_beguiler02,56,Enchanter,Siren,NPC
a_siren_beguiler01,56,Enchanter,Siren,NPC
