Name,Level,Class,Race,Type
an_elder_wyvern05,50,Warrior,Wyvern,NPC
a_blazeshard_mephit11,55,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit10,50,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit09,53,Enchanter,Fire Mephit,NPC
a_mature_wurm20,47,Warrior,Wurm,NPC
a_blazeshard_mephit08,50,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit07,54,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit06,50,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit05,54,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit04,55,Enchanter,Fire Mephit,NPC
a_wurm00,43,Warrior,Wurm,NPC
a_blazeshard_mephit03,54,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit02,53,Enchanter,Fire Mephit,NPC
Byllella_Voon00,50,Warrior,Human,NPC
a_blazeshard_mephit01,51,Enchanter,Fire Mephit,NPC
a_blazeshard_mephit00,53,Enchanter,Fire Mephit,NPC
a_mature_wurm35,45,Warrior,Wurm,NPC
a_skyfire_drake05,50,Warrior,Drake,NPC
an_elder_wyvern03,51,Warrior,Wyvern,NPC
a_mature_wurm16,47,Warrior,Wurm,NPC
a_skycinder_drake07,44,Warrior,Drake,NPC
a_mature_wyvern00,48,Warrior,Wyvern,NPC
a_skycinder_drake06,46,Warrior,Drake,NPC
a_mature_chromadrac08,48,Warrior,Fae Drake,NPC
a_skyfire_drake04,48,Warrior,Drake,NPC
an_old_wurm02,47,Warrior,Wurm,NPC
a_mature_wyvern09,45,Warrior,Wyvern,NPC
a_skycinder_drake19,46,Warrior,Drake,NPC
#an_Ancient_Wurm00,50,Warrior,Wurm,NPC
an_elder_wyvern19,48,Warrior,Wyvern,NPC
Warder_Cecilia00,65,Warrior,Human,NPC
a_mature_wurm09,44,Warrior,Wurm,NPC
a_mature_wyvern07,48,Warrior,Wyvern,NPC
a_skycinder_drake26,47,Warrior,Drake,NPC
a_mature_chromadrac04,47,Warrior,Fae Drake,NPC
a_mature_wyvern35,44,Warrior,Wyvern,NPC
a_mature_chromadrac03,46,Warrior,Fae Drake,NPC
a_skycinder_drake17,45,Warrior,Drake,NPC
a_skycinder_drake33,44,Warrior,Drake,NPC
a_skycinder_drake38,45,Warrior,Drake,NPC
a_mature_chromadrac23,46,Warrior,Fae Drake,NPC
an_elder_wyvern00,51,Warrior,Wyvern,NPC
a_mature_chromadrac22,48,Warrior,Fae Drake,NPC
a_chromadrac17,41,Warrior,Fae Drake,NPC
a_mature_wyvern01,48,Warrior,Wyvern,NPC
a_chromadrac15,42,Warrior,Fae Drake,NPC
a_mature_wyvern05,47,Warrior,Wyvern,NPC
a_chromadrac12,41,Warrior,Fae Drake,NPC
a_skyash_drake08,43,Warrior,Drake,NPC
a_ravenous_devourer0200,25,Warrior,Devourer,NPC
a_wyvern11,44,Warrior,Wyvern,NPC
a_chromadrac13,42,Warrior,Fae Drake,NPC
a_mature_wurm08,45,Warrior,Wurm,NPC
a_mature_wurm07,47,Warrior,Wurm,NPC
a_wurm05,44,Warrior,Wurm,NPC
an_elder_wyvern09,52,Warrior,Wyvern,NPC
a_wurm13,40,Warrior,Wurm,NPC
a_skyash_drake06,41,Warrior,Drake,NPC
a_mature_chromadrac20,47,Warrior,Fae Drake,NPC
a_skyash_drake07,40,Warrior,Drake,NPC
a_ravenous_devourer0100,25,Warrior,Devourer,NPC
a_skyash_drake05,42,Warrior,Drake,NPC
an_elder_wyvern04,51,Warrior,Wyvern,NPC
a_wurm04,44,Warrior,Wurm,NPC
a_skycinder_drake12,43,Warrior,Drake,NPC
a_skycinder_drake11,43,Warrior,Drake,NPC
a_mature_wurm06,44,Warrior,Wurm,NPC
a_mature_wyvern37,44,Warrior,Wyvern,NPC
an_elder_wyvern01,52,Warrior,Wyvern,NPC
#a_mottled_wyvern00,55,Warrior,Wyvern,NPC
a_mature_chromadrac16,45,Warrior,Fae Drake,NPC
a_mature_wurm05,45,Warrior,Wurm,NPC
a_bottomless_feaster01,42,Warrior,Devourer,NPC
a_mature_wurm29,45,Warrior,Wurm,NPC
a_wyvern19,43,Warrior,Wyvern,NPC
a_chromadrac06,41,Warrior,Fae Drake,NPC
a_bottomless_feaster09,45,Warrior,Devourer,NPC
a_bottomless_devourer12,46,Warrior,Devourer,NPC
a_wurm12,43,Warrior,Wurm,NPC
a_mature_chromadrac24,46,Warrior,Fae Drake,NPC
a_mature_wurm15,44,Warrior,Wurm,NPC
a_mature_chromadrac13,49,Warrior,Fae Drake,NPC
a_bottomless_feaster08,46,Warrior,Devourer,NPC
a_chromadrac11,43,Warrior,Fae Drake,NPC
a_skyash_drake02,42,Warrior,Drake,NPC
a_bottomless_feaster07,42,Warrior,Devourer,NPC
a_skycinder_drake25,43,Warrior,Drake,NPC
a_wyvern18,44,Warrior,Wyvern,NPC
a_chromadrac05,45,Warrior,Fae Drake,NPC
a_chromadrac10,44,Warrior,Fae Drake,NPC
a_chromadrac04,42,Warrior,Fae Drake,NPC
a_skycinder_drake10,46,Warrior,Drake,NPC
a_skyfire_drake21,51,Warrior,Drake,NPC
a_bottomless_gnawer03,42,Warrior,Devourer,NPC
a_wyvern16,43,Warrior,Wyvern,NPC
a_skycinder_drake21,43,Warrior,Drake,NPC
a_wyvern15,40,Warrior,Wyvern,NPC
a_wurm09,43,Warrior,Wurm,NPC
a_mature_wyvern04,44,Warrior,Wyvern,NPC
an_elder_wyvern17,50,Warrior,Wyvern,NPC
an_old_wurm09,50,Warrior,Wurm,NPC
a_wurm07,42,Warrior,Wurm,NPC
a_mature_wurm13,45,Warrior,Wurm,NPC
a_wyvern14,44,Warrior,Wyvern,NPC
a_bottomless_feaster06,46,Warrior,Devourer,NPC
an_elder_wyvern06,48,Warrior,Wyvern,NPC
a_wyvern06,43,Warrior,Wyvern,NPC
a_bottomless_devourer11,45,Warrior,Devourer,NPC
a_mature_wurm12,46,Warrior,Wurm,NPC
a_mature_wyvern02,44,Warrior,Wyvern,NPC
a_wyvern03,44,Warrior,Wyvern,NPC
a_mature_chromadrac21,46,Warrior,Fae Drake,NPC
a_chromadrac09,41,Warrior,Fae Drake,NPC
a_chromadrac02,43,Warrior,Fae Drake,NPC
Druania_Sharen00,50,Warrior,Human,NPC
a_skyfire_drake16,49,Warrior,Drake,NPC
a_chromadrac03,43,Warrior,Fae Drake,NPC
a_wyvern09,40,Warrior,Wyvern,NPC
an_old_wurm08,47,Warrior,Wurm,NPC
a_skyfire_drake20,47,Warrior,Drake,NPC
a_wyvern02,40,Warrior,Wyvern,NPC
an_old_wurm07,48,Warrior,Wurm,NPC
a_skycinder_drake05,47,Warrior,Drake,NPC
a_skycinder_drake04,45,Warrior,Drake,NPC
a_mature_wyvern34,48,Warrior,Wyvern,NPC
a_skyash_drake11,40,Warrior,Drake,NPC
a_bottomless_devourer10,49,Warrior,Devourer,NPC
a_wyvern00,41,Warrior,Wyvern,NPC
a_skycinder_drake01,43,Warrior,Drake,NPC
a_mature_wurm11,47,Warrior,Wurm,NPC
a_skycinder_drake03,45,Warrior,Drake,NPC
a_skyfire_drake19,51,Warrior,Drake,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
a_chromadrac01,44,Warrior,Fae Drake,NPC
a_wyvern04,40,Warrior,Wyvern,NPC
a_bottomless_devourer09,46,Warrior,Devourer,NPC
a_mature_chromadrac19,45,Warrior,Fae Drake,NPC
a_bottomless_gnawer04,43,Warrior,Devourer,NPC
a_mature_chromadrac01,49,Warrior,Fae Drake,NPC
a_mature_chromadrac00,47,Warrior,Fae Drake,NPC
a_mature_chromadrac06,47,Warrior,Fae Drake,NPC
Faerie_of_Dismay00,47,Warrior,Fae Drake,NPC
a_skyfire_drake01,47,Warrior,Drake,NPC
a_bottomless_devourer05,48,Warrior,Devourer,NPC
a_mature_wurm01,46,Warrior,Wurm,NPC
a_skyfire_drake00,51,Warrior,Drake,NPC
a_wyvern08,40,Warrior,Wyvern,NPC
a_lava_walker03,51,Warrior,Wyvern,NPC
a_lava_walker00,49,Warrior,Fae Drake,NPC
a_mature_chromadrac12,46,Warrior,Fae Drake,NPC
a_mature_wurm03,46,Warrior,Wurm,NPC
a_wurm06,40,Warrior,Wurm,NPC
an_old_wurm05,47,Warrior,Wurm,NPC
a_mature_chromadrac09,45,Warrior,Fae Drake,NPC
a_wurm03,43,Warrior,Wurm,NPC
a_guardian_wurm02,60,Warrior,Wurm,NPC
a_skycinder_drake24,43,Warrior,Drake,NPC
a_mature_wyvern33,46,Warrior,Wyvern,NPC
a_wyvern05,42,Warrior,Wyvern,NPC
a_skycinder_drake09,47,Warrior,Drake,NPC
a_skycinder_drake18,46,Warrior,Drake,NPC
a_skyfire_drake17,49,Warrior,Drake,NPC
a_mature_wurm38,46,Warrior,Wurm,NPC
a_skyfire_drake10,49,Warrior,Drake,NPC
an_elder_wyvern08,51,Warrior,Wyvern,NPC
a_wurm02,41,Warrior,Wurm,NPC
a_wyvern17,44,Warrior,Wyvern,NPC
a_mature_chromadrac07,49,Warrior,Fae Drake,NPC
a_skycinder_drake14,43,Warrior,Drake,NPC
an_elder_wyvern18,48,Warrior,Wyvern,NPC
a_chromadrac08,43,Warrior,Fae Drake,NPC
an_elder_wyvern07,51,Warrior,Wyvern,NPC
a_skycinder_drake00,46,Warrior,Drake,NPC
a_skycinder_drake08,47,Warrior,Drake,NPC
a_mature_wurm33,43,Warrior,Wurm,NPC
a_shadow_drake00,48,Warrior,Drake,NPC
a_mature_wurm00,45,Warrior,Wurm,NPC
a_mature_wyvern06,48,Warrior,Wyvern,NPC
a_bottomless_feaster03,44,Warrior,Devourer,NPC
a_mature_wurm32,44,Warrior,Wurm,NPC
a_skyfire_drake12,49,Warrior,Drake,NPC
Jennus_Lyklobar00,61,Magician,Gnome,NPC
a_skycinder_drake28,44,Warrior,Drake,NPC
a_skycinder_drake02,44,Warrior,Drake,NPC
a_mature_chromadrac05,48,Warrior,Fae Drake,NPC
a_bottomless_gnawer02,39,Warrior,Devourer,NPC
a_mature_wurm04,46,Warrior,Wurm,NPC
a_mature_wurm02,45,Warrior,Wurm,NPC
a_wyvern01,42,Warrior,Wyvern,NPC
a_bottomless_devourer08,45,Warrior,Devourer,NPC
a_bottomless_devourer07,49,Warrior,Devourer,NPC
a_skyfire_drake14,50,Warrior,Drake,NPC
a_skyfire_drake13,48,Warrior,Drake,NPC
a_wyvern07,40,Warrior,Wyvern,NPC
a_wurm01,44,Warrior,Wurm,NPC
a_bottomless_devourer06,46,Warrior,Devourer,NPC
a_chromadrac07,45,Warrior,Fae Drake,NPC
a_mature_chromadrac10,48,Warrior,Fae Drake,NPC
a_wurm10,43,Warrior,Wurm,NPC
an_elder_wyvern20,50,Warrior,Wyvern,NPC
an_elder_wyvern10,52,Warrior,Wyvern,NPC
a_skyfire_drake02,49,Warrior,Drake,NPC
an_old_wurm01,50,Warrior,Wurm,NPC
a_wyvern12,41,Warrior,Wyvern,NPC
a_skycinder_drake37,44,Warrior,Drake,NPC
a_skycinder_drake15,47,Warrior,Drake,NPC
