Name,Level,Class,Race,Type
#Oglard00,65,Warrior,Wurm,NPC
an_Icy_Drake01,49,Cleric,Drake,NPC
#Supreme_Laochsmith_Psorin00,59,Warrior,Wyvern,NPC
An_Elite_Icy_Drake02,58,Cleric,Drake,NPC
An_Elite_Shimmering_Drake01,58,Warrior,Fae Drake,NPC
a_Ruby_Drake03,47,Wizard,Drake,NPC
a_Shrine_Protector43,58,Enchanter,Wyvern,NPC
an_Emerald_Drake04,48,Necromancer,Drake,NPC
a_Shrine_Protector42,58,Shadow Knight,Wyvern,NPC
an_Icy_Drake00,50,Cleric,Drake,NPC
a_Shrine_Protector41,58,Enchanter,Wyvern,NPC
an_Emerald_Drake03,51,Necromancer,Drake,NPC
an_Elite_Onyx_Drake02,58,Warrior,Drake,NPC
a_Ruby_Drake01,51,Wizard,Drake,NPC
an_Elite_Emerald_Drake03,58,Necromancer,Drake,NPC
An_Elite_Icy_Drake01,58,Cleric,Drake,NPC
An_Elite_Ruby_Drake02,58,Wizard,Drake,NPC
an_Emerald_Drake02,51,Necromancer,Drake,NPC
a_Shrine_Protector40,58,Enchanter,Wyvern,NPC
a_Shrine_Protector39,58,Enchanter,Wyvern,NPC
#Marech_of_the_Shrine00,55,Cleric,Drake,NPC
a_Shrine_Protector38,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector37,58,Enchanter,Wyvern,NPC
a_Shrine_Protector36,58,Enchanter,Wyvern,NPC
a_Miniature_Cube03,45,Wizard,Gelatinous Cube,NPC
a_Miniature_Cube02,45,Wizard,Gelatinous Cube,NPC
a_Miniature_Cube01,45,Wizard,Gelatinous Cube,NPC
a_Miniature_Cube00,45,Wizard,Gelatinous Cube,NPC
Elaend_Fe`Dhar00,1,Wizard,Wyvern,NPC
a_Shrine_Protector34,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector33,58,Enchanter,Wyvern,NPC
an_Old_Racnar10,58,Warrior,Raptor,NPC
a_Shrine_Protector32,58,Shadow Knight,Wyvern,NPC
an_Aged_Golem_Sentry00,42,Warrior,Golem,NPC
an_Old_Racnar09,58,Warrior,Raptor,NPC
a_Shrine_Protector30,58,Enchanter,Wyvern,NPC
Sapa00,40,Wizard,Gargoyle,NPC
a_Shrine_Protector29,58,Enchanter,Wyvern,NPC
a_Shrine_Protector28,58,Enchanter,Wyvern,NPC
a_Shrine_Protector27,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector26,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector25,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector24,58,Shadow Knight,Wyvern,NPC
An_Elite_Shimmering_Drake00,58,Warrior,Fae Drake,NPC
an_Elite_Onyx_Drake01,58,Warrior,Drake,NPC
a_Shrine_Defender06,58,Druid,Wurm,NPC
a_Shrine_Defender05,58,Druid,Wurm,NPC
a_Shrine_Protector23,58,Enchanter,Wyvern,NPC
a_Shrine_Protector22,58,Enchanter,Wyvern,NPC
a_Shrine_Protector21,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector20,58,Enchanter,Wyvern,NPC
a_Shrine_Protector19,58,Enchanter,Wyvern,NPC
a_Shrine_Protector18,58,Shadow Knight,Wyvern,NPC
a_Shrine_Protector17,58,Enchanter,Wyvern,NPC
The_Fabled_Grendish_the_Crusad,70,Warrior,Dragon,NPC
a_Shrine_Protector16,58,Enchanter,Wyvern,NPC
a_Shrine_Protector15,58,Enchanter,Wyvern,NPC
a_Shrine_Protector14,58,Enchanter,Wyvern,NPC
a_Shrine_Protector13,58,Enchanter,Wyvern,NPC
an_Old_Racnar08,58,Warrior,Raptor,NPC
a_Shrine_Protector12,58,Enchanter,Wyvern,NPC
an_Old_Racnar07,58,Warrior,Raptor,NPC
a_Shrine_Protector11,58,Enchanter,Wyvern,NPC
an_Old_Racnar06,58,Warrior,Raptor,NPC
an_Old_Racnar05,58,Warrior,Raptor,NPC
a_Kromzek_spy00,55,Warrior,Giant,NPC
an_Old_Racnar04,58,Warrior,Raptor,NPC
an_Old_Racnar03,58,Warrior,Raptor,NPC
The_Fabled_Lord_Yelinak00,75,Warrior,Dragon,NPC
a_Shrine_Protector10,58,Shadow Knight,Wyvern,NPC
an_Elder_Shimmering_Drake06,62,Druid,Fae Drake,NPC
an_Old_Racnar02,58,Warrior,Raptor,NPC
an_Elder_Emerald_Drake06,62,Necromancer,Drake,NPC
an_Old_Racnar01,58,Warrior,Raptor,NPC
an_Elder_Onyx_Drake05,62,Warrior,Drake,NPC
a_Shrine_Protector09,58,Shadow Knight,Wyvern,NPC
an_Elder_Onyx_Drake04,62,Warrior,Drake,NPC
An_Elder_Icy_Drake02,62,Cleric,Drake,NPC
an_Elite_Emerald_Drake02,58,Necromancer,Drake,NPC
An_Elite_Ruby_Drake01,58,Wizard,Drake,NPC
an_Elite_Emerald_Drake01,58,Necromancer,Drake,NPC
an_Elder_Onyx_Drake03,62,Warrior,Drake,NPC
#Kintaru_of_the_Shrine00,62,Cleric,Drake,NPC
a_Shrine_Defender04,58,Druid,Wurm,NPC
An_Elite_Icy_Drake00,58,Cleric,Drake,NPC
an_Elite_Onyx_Drake00,58,Warrior,Drake,NPC
an_Elite_Emerald_Drake00,58,Necromancer,Drake,NPC
An_Elite_Ruby_Drake00,58,Wizard,Drake,NPC
a_Shrine_Protector08,50,Shadow Knight,Wyvern,NPC
a_Shrine_Protector07,48,Shadow Knight,Wyvern,NPC
