Name,Level,Class,Race,Type
Ulessa_Bladesoul00,60,Warrior,Ghost,NPC
#Jonas_Levlellen00,50,Warrior,Human,NPC
#Remmen_the_Short00,50,Warrior,Gnome,NPC
Paldar_Bladesoul00,60,Warrior,Ghost,NPC
#Kal_t`Ven00,50,Warrior,Dark Elf,NPC
#Jobana_Du`Ata00,50,Warrior,Dark Elf,NPC
#Bittles_the_Lost00,50,Warrior,Gnome,NPC
#Ferrin_Q`Nyil00,50,Warrior,High Elf,NPC
a_prismatic_priest10,1,Warrior,Gargoyle,NPC
a_prismatic_priest09,1,Warrior,Gargoyle,NPC
a_prismatic_priest08,1,Warrior,Gargoyle,NPC
a_prismatic_priest07,1,Warrior,Gargoyle,NPC
a_prismatic_priest06,1,Warrior,Gargoyle,NPC
a_prismatic_priest05,1,Warrior,Gargoyle,NPC
a_prismatic_priest04,1,Warrior,Gargoyle,NPC
a_prismatic_priest03,1,Warrior,Gargoyle,NPC
a_prismatic_priest02,1,Warrior,Gargoyle,NPC
a_prismatic_priest01,1,Warrior,Gargoyle,NPC
a_prismatic_priest00,1,Warrior,Gargoyle,NPC
#Milas_An`Rev00,67,Warrior,Gnome,NPC
The_Fabled_Master_of_the_Guard,75,Warrior,Golem,NPC
The_Fabled_Vyskudra_the_Ancien,75,Warrior,Dragon,NPC
The_Fabled_Kildrukaun_the_Anci,75,Warrior,Dragon,NPC
The_Fabled_Progenitor00,75,Warrior,Golem,NPC
The_Fabled_Final_Arbiter00,75,Warrior,Golem,NPC
The_Fabled_Zeixshi`Kar_the_Anc,75,Warrior,Dragon,NPC
#Sorren_Dentral00,50,Warrior,Human,NPC
The_Fabled_Tjudawos_the_Ancien,75,Warrior,Dragon,NPC
#a_foreboding_sentry100,1,Warrior,Golem,NPC
#a_foreboding_sentry400,1,Warrior,Golem,NPC
#a_foreboding_sentry200,1,Warrior,Golem,NPC
#a_foreboding_sentry600,1,Warrior,Golem,NPC
#a_foreboding_sentry800,1,Warrior,Golem,NPC
#a_foreboding_sentry500,1,Warrior,Golem,NPC
#a_foreboding_sentry300,1,Warrior,Golem,NPC
#a_foreboding_sentry700,1,Warrior,Golem,NPC
#Drakeen_Apprentice00,63,Warrior,Drake,NPC
a_prismatic_servitor01,66,Wizard,Gargoyle,NPC
a_drakonine_flurrier03,66,Warrior,Drake,NPC
a_prismatic_servitor00,66,Wizard,Gargoyle,NPC
an_ancient_drakeen00,66,Warrior,Drake,NPC
a_prismatic_keeper02,66,Warrior,Drake,NPC
an_intrepid_drakeen04,66,Warrior,Drake,NPC
an_intrepid_drakeen03,66,Warrior,Drake,NPC
a_drakeen_sentinel02,66,Warrior,Drake,NPC
an_ancient_drakonine03,66,Warrior,Drake,NPC
an_intrepid_drakeen02,66,Warrior,Drake,NPC
an_ancient_drakonine02,66,Warrior,Drake,NPC
a_colloquial_antagonist11,66,Warrior,Wyvern,NPC
a_drakonine_opportunist00,66,Warrior,Drake,NPC
a_prismatic_sentry03,65,Warrior,Golem,NPC
a_drakonine_flurrier02,66,Warrior,Drake,NPC
Drakonine_Defender00,67,Warrior,Drake,NPC
an_intrepid_drakeen01,66,Warrior,Drake,NPC
a_prismatic_sentry02,65,Warrior,Golem,NPC
an_opalescent_sentry03,65,Warrior,Golem,NPC
a_colloquial_antagonist10,66,Warrior,Wyvern,NPC
a_drakeen_collaborator01,66,Warrior,Drake,NPC
an_ancient_drakonine01,66,Warrior,Drake,NPC
a_drakeen_sentinel01,66,Warrior,Drake,NPC
an_ancient_caretaker18,66,Warrior,Gargoyle,NPC
a_drakonine_antagonist00,66,Warrior,Drake,NPC
an_ancient_drakonine00,66,Warrior,Drake,NPC
an_intrepid_drakeen00,66,Warrior,Drake,NPC
an_ancient_caretaker17,66,Warrior,Gargoyle,NPC
a_drakeen_sentinel00,66,Warrior,Drake,NPC
an_iridescent_caretaker16,66,Warrior,Gargoyle,NPC
a_vigilant_custodian05,66,Wizard,Gargoyle,NPC
an_ancient_caretaker16,66,Warrior,Gargoyle,NPC
a_drakonine_flurrier01,66,Warrior,Drake,NPC
an_ancient_caretaker15,66,Warrior,Gargoyle,NPC
an_ancient_caretaker14,66,Warrior,Gargoyle,NPC
an_iridescent_caretaker15,66,Warrior,Gargoyle,NPC
a_scorn_spectre04,66,Shadow Knight,Ice Spectre,NPC
a_scorn_spectre03,66,Shadow Knight,Ice Spectre,NPC
an_ancient_caretaker13,66,Warrior,Gargoyle,NPC
a_prismatic_keeper01,66,Warrior,Drake,NPC
an_ancient_caretaker12,66,Warrior,Gargoyle,NPC
a_screeching_banshee04,64,Necromancer,Ice Spectre,NPC
a_scorn_spectre02,66,Shadow Knight,Ice Spectre,NPC
a_flailing_phantom03,62,Necromancer,Ice Spectre,NPC
a_watchful_custodian08,66,Wizard,Gargoyle,NPC
a_flailing_phantom02,62,Necromancer,Ice Spectre,NPC
an_iridescent_caretaker14,66,Warrior,Gargoyle,NPC
a_screeching_banshee03,64,Necromancer,Ice Spectre,NPC
a_colloquial_antagonist09,66,Warrior,Wyvern,NPC
a_scorn_spectre01,66,Shadow Knight,Ice Spectre,NPC
an_ancient_caretaker11,66,Warrior,Gargoyle,NPC
a_prismatic_sentry01,65,Warrior,Golem,NPC
a_flailing_phantom01,62,Necromancer,Ice Spectre,NPC
a_screeching_banshee02,64,Necromancer,Ice Spectre,NPC
a_scholarly_wyvern08,66,Wizard,Wyvern,NPC
an_iridescent_caretaker13,66,Warrior,Gargoyle,NPC
a_colloquial_antagonist08,66,Warrior,Wyvern,NPC
a_scorn_spectre00,66,Shadow Knight,Ice Spectre,NPC
a_vigilant_custodian04,66,Wizard,Gargoyle,NPC
an_iridescent_caretaker12,66,Warrior,Gargoyle,NPC
