Name,Level,Class,Race,Type
CWG_Model_CA03,30,Warrior,Clockwork Gnome,NPC
CWG_Model_MA13,32,Warrior,Clockwork Gnome,NPC
CWG_Model_MA12,32,Warrior,Clockwork Gnome,NPC
gnomish_miner23,30,Warrior,Gnome,NPC
CWG_Model_CB02,29,Warrior,Clockwork Gnome,NPC
gnomish_miner22,29,Warrior,Gnome,NPC
gnomish_miner21,33,Warrior,Gnome,NPC
CWG_Model_MC01,30,Warrior,Clockwork Gnome,NPC
CWG_Model_CA02,28,Warrior,Clockwork Gnome,NPC
gnomish_conjurer01,30,Magician,Gnome,NPC
gnomish_miner20,32,Warrior,Gnome,NPC
CWG_Model_MA11,32,Warrior,Clockwork Gnome,NPC
CWG_Model_CA01,28,Warrior,Clockwork Gnome,NPC
CWG_Model_MA10,31,Warrior,Clockwork Gnome,NPC
CWG_Model_MA09,30,Warrior,Clockwork Gnome,NPC
CWG_Model_XC01,33,Warrior,Clockwork Gnome,NPC
gnomish_miner19,32,Warrior,Gnome,NPC
gnomish_miner18,29,Warrior,Gnome,NPC
gnomish_miner17,32,Warrior,Gnome,NPC
gnomish_miner16,30,Warrior,Gnome,NPC
CWG_Model_MA08,32,Warrior,Clockwork Gnome,NPC
CWG_Model_MA07,30,Warrior,Clockwork Gnome,NPC
CWG_Model_MA06,32,Warrior,Clockwork Gnome,NPC
CWG_Model_XA07,32,Warrior,Clockwork Gnome,NPC
CWG_Model_XA06,34,Warrior,Clockwork Gnome,NPC
CWG_Model_XA05,34,Warrior,Clockwork Gnome,NPC
CWG_Model_XA04,32,Warrior,Clockwork Gnome,NPC
CWG_Model_XA03,34,Warrior,Clockwork Gnome,NPC
gnomish_miner15,32,Warrior,Gnome,NPC
gnomish_miner14,30,Warrior,Gnome,NPC
CWG_Model_XC00,32,Warrior,Clockwork Gnome,NPC
gnomish_miner13,30,Warrior,Gnome,NPC
gnomish_miner12,29,Warrior,Gnome,NPC
gnomish_miner11,31,Warrior,Gnome,NPC
CWG_Model_MA05,30,Warrior,Clockwork Gnome,NPC
gnomish_curator00,31,Cleric,Gnome,NPC
gnomish_miner10,30,Warrior,Gnome,NPC
gnomish_miner09,30,Warrior,Gnome,NPC
gnomish_miner08,33,Warrior,Gnome,NPC
gnomish_miner07,31,Warrior,Gnome,NPC
gnomish_miner06,32,Warrior,Gnome,NPC
gnomish_miner05,32,Warrior,Gnome,NPC
CWG_Model_CB01,30,Warrior,Clockwork Gnome,NPC
CWG_Model_MA04,31,Warrior,Clockwork Gnome,NPC
Captain_Bipnubble00,35,Warrior,Gnome,NPC
CWG_Model_MB01,32,Warrior,Clockwork Gnome,NPC
CWG_Model_XA02,34,Warrior,Clockwork Gnome,NPC
CWG_Model_XA01,34,Warrior,Clockwork Gnome,NPC
gnomish_conjurer00,31,Magician,Gnome,NPC
gnomish_miner04,31,Warrior,Gnome,NPC
gnomish_miner03,30,Warrior,Gnome,NPC
Marfen_Binkdirple00,31,Shopkeeper,Gnome,NPC
CWG_Model_XA00,32,Warrior,Clockwork Gnome,NPC
CWG_Model_MA03,30,Warrior,Clockwork Gnome,NPC
CWG_Model_CC00,28,Warrior,Clockwork Gnome,NPC
CWG_Model_MA02,30,Warrior,Clockwork Gnome,NPC
CWG_Model_MB00,31,Warrior,Clockwork Gnome,NPC
CWG_Model_MA01,30,Warrior,Clockwork Gnome,NPC
CWG_Model_CB00,29,Warrior,Clockwork Gnome,NPC
gnomish_miner02,31,Warrior,Gnome,NPC
gnomish_miner01,31,Warrior,Gnome,NPC
gnomish_miner00,29,Warrior,Gnome,NPC
CWG_Model_MA00,31,Warrior,Clockwork Gnome,NPC
CWG_Model_CA00,29,Warrior,Clockwork Gnome,NPC
CWG_Model_MC00,31,Warrior,Clockwork Gnome,NPC
Solusek_champion05,30,Warrior,Goblin,NPC
Solusek_champion04,28,Warrior,Goblin,NPC
Solusek_goblin01,28,Rogue,Goblin,NPC
Solusek_champion03,28,Warrior,Goblin,NPC
fire_goblin29,24,Rogue,Goblin,NPC
large_fire_goblin00,28,Rogue,Goblin,NPC
goblin_merchant00,27,Shopkeeper,Goblin,NPC
Solusek_champion02,28,Warrior,Goblin,NPC
Solusek_champion01,28,Warrior,Goblin,NPC
fire_goblin28,25,Rogue,Goblin,NPC
fire_goblin27,26,Warrior,Goblin,NPC
inferno_goblin15,26,Warrior,Goblin,NPC
inferno_goblin14,27,Rogue,Goblin,NPC
fire_goblin26,25,Warrior,Goblin,NPC
Solusek_champion00,30,Warrior,Goblin,NPC
fire_goblin25,25,Rogue,Goblin,NPC
fire_goblin_shaman03,24,Shaman,Goblin,NPC
Solusek_goblin00,30,Rogue,Goblin,NPC
fire_goblin_shaman02,26,Shaman,Goblin,NPC
Solusek_mage01,29,Wizard,Goblin,NPC
Solusek_priest01,28,Shaman,Goblin,NPC
fire_goblin24,26,Rogue,Goblin,NPC
inferno_goblin13,27,Rogue,Goblin,NPC
inferno_goblin_shaman02,26,Shaman,Goblin,NPC
inferno_goblin12,26,Warrior,Goblin,NPC
Solusek_mage00,28,Wizard,Goblin,NPC
Solusek_priest00,30,Shaman,Goblin,NPC
inferno_goblin_shaman01,27,Shaman,Goblin,NPC
inferno_goblin08,28,Warrior,Goblin,NPC
inferno_goblin07,27,Rogue,Goblin,NPC
inferno_goblin06,27,Warrior,Goblin,NPC
inferno_goblin_wizard00,28,Wizard,Goblin,NPC
fire_goblin15,26,Warrior,Goblin,NPC
fire_goblin14,25,Warrior,Goblin,NPC
fire_goblin13,26,Warrior,Goblin,NPC
reckless_efreeti00,26,Warrior,Efreeti,NPC
flame_goblin10,23,Warrior,Goblin,NPC
fire_goblin10,24,Warrior,Goblin,NPC
fire_goblin09,24,Warrior,Goblin,NPC
fire_goblin08,24,Warrior,Goblin,NPC
fire_goblin07,25,Warrior,Goblin,NPC
fire_goblin_shaman00,24,Shaman,Goblin,NPC
inferno_goblin_captain00,29,Warrior,Goblin,NPC
fire_goblin_wizard01,24,Wizard,Goblin,NPC
flame_goblin09,22,Rogue,Goblin,NPC
inferno_goblin01,26,Rogue,Goblin,NPC
flame_goblin_shaman01,23,Shaman,Goblin,NPC
fire_goblin06,25,Rogue,Goblin,NPC
fire_goblin05,24,Warrior,Goblin,NPC
fire_goblin_wizard00,26,Wizard,Goblin,NPC
fire_goblin04,26,Rogue,Goblin,NPC
inferno_goblin00,28,Warrior,Goblin,NPC
fire_goblin03,26,Warrior,Goblin,NPC
flame_goblin08,24,Rogue,Goblin,NPC
fire_goblin02,24,Warrior,Goblin,NPC
Kindle00,27,Rogue,Imp,NPC
flame_goblin07,23,Warrior,Goblin,NPC
fire_goblin01,26,Rogue,Goblin,NPC
flame_goblin06,24,Warrior,Goblin,NPC
flame_goblin04,23,Warrior,Goblin,NPC
flame_goblin03,23,Warrior,Goblin,NPC
kobold_predator00,25,Rogue,Kobold,NPC
young_goblin02,26,Rogue,Goblin,NPC
flame_goblin02,22,Warrior,Goblin,NPC
young_goblin01,20,Warrior,Goblin,NPC
flame_goblin01,24,Rogue,Goblin,NPC
young_goblin_shaman01,19,Shaman,Goblin,NPC
cinder_goblin10,21,Rogue,Goblin,NPC
young_goblin_shaman00,18,Shaman,Goblin,NPC
young_goblin06,19,Warrior,Goblin,NPC
inferno_goblin17,27,Rogue,Goblin,NPC
inferno_goblin03,26,Warrior,Goblin,NPC
fire_goblin21,26,Rogue,Goblin,NPC
fire_goblin20,24,Warrior,Goblin,NPC
fire_goblin19,24,Warrior,Goblin,NPC
young_goblin05,20,Warrior,Goblin,NPC
inferno_goblin02,28,Warrior,Goblin,NPC
fire_goblin18,26,Rogue,Goblin,NPC
young_goblin03,20,Warrior,Goblin,NPC
CWG_Model_CA05,29,Warrior,Clockwork Gnome,NPC
CWG_Model_MA16,30,Warrior,Clockwork Gnome,NPC
flame_goblin16,24,Rogue,Goblin,NPC
flame_goblin15,22,Rogue,Goblin,NPC
flame_goblin14,23,Warrior,Goblin,NPC
flame_goblin13,22,Rogue,Goblin,NPC
cinder_goblin_wizard00,21,Wizard,Goblin,NPC
young_goblin00,20,Rogue,Goblin,NPC
cinder_goblin00,22,Warrior,Goblin,NPC
fire_goblin17,25,Warrior,Goblin,NPC
inferno_goblin11,26,Rogue,Goblin,NPC
fire_goblin16,26,Warrior,Goblin,NPC
fire_goblin12,24,Warrior,Goblin,NPC
blazing_elemental01,25,Warrior,Elemental,NPC
blazing_elemental00,25,Warrior,Elemental,NPC
flame_goblin12,22,Rogue,Goblin,NPC
fire_goblin11,25,Rogue,Goblin,NPC
fire_goblin00,25,Warrior,Goblin,NPC
flame_goblin11,23,Rogue,Goblin,NPC
flame_goblin05,24,Rogue,Goblin,NPC
flame_goblin00,22,Warrior,Goblin,NPC
cinder_goblin06,21,Warrior,Goblin,NPC
flame_goblin_foreman00,24,Rogue,Goblin,NPC
young_goblin_shaman03,20,Shaman,Goblin,NPC
cinder_goblin05,20,Warrior,Goblin,NPC
young_goblin04,19,Warrior,Goblin,NPC
cinder_goblin04,22,Warrior,Goblin,NPC
inferno_goblin18,26,Warrior,Goblin,NPC
inferno_goblin16,28,Rogue,Goblin,NPC
inferno_goblin10,27,Warrior,Goblin,NPC
inferno_goblin09,28,Rogue,Goblin,NPC
inferno_goblin05,26,Warrior,Goblin,NPC
inferno_goblin04,28,Warrior,Goblin,NPC
Singe00,28,Warrior,Drake,NPC
smoldering_dragon_altar00,25,LDoN Object,Dragon Statue,NPC
burning_dragon_altar00,25,LDoN Object,Dragon Statue,NPC
searing_dragon_altar00,25,LDoN Object,Dragon Statue,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
Lynada_the_exiled00,29,Magician,Dark Elf,NPC
CWG_Model_CX00,31,Warrior,Clockwork Gnome,NPC
gnomish_miner28,33,Warrior,Gnome,NPC
gnomish_miner27,30,Warrior,Gnome,NPC
gnomish_miner26,30,Warrior,Gnome,NPC
gnomish_miner25,33,Warrior,Gnome,NPC
CWG_Model_MA15,32,Warrior,Clockwork Gnome,NPC
gnomish_miner24,33,Warrior,Gnome,NPC
CWG_Model_MA14,31,Warrior,Clockwork Gnome,NPC
CWG_Model_CA04,29,Warrior,Clockwork Gnome,NPC
