Name,Level,Class,Race,Type
a_sonic_bat12,42,Warrior,Bat,NPC
a_greater_kobold37,36,Warrior,Kobold,NPC
a_greater_kobold17,34,Warrior,Kobold,NPC
a_greater_kobold12,38,Warrior,Kobold,NPC
a_greater_kobold_shaman00,37,Shaman,Kobold,NPC
a_greater_kobold11,37,Warrior,Kobold,NPC
a_greater_kobold07,35,Warrior,Kobold,NPC
a_greater_kobold01,35,Warrior,Kobold,NPC
a_lava_beetle07,40,Warrior,Beetle,NPC
a_lava_beetle04,40,Warrior,Beetle,NPC
a_kobold_guardian00,40,Shadow Knight,Kobold,NPC
a_lava_beetle03,38,Warrior,Beetle,NPC
a_lava_duct_crawler03,44,Warrior,Spider,NPC
a_lava_beetle02,41,Warrior,Beetle,NPC
a_lava_duct_crawler02,43,Warrior,Spider,NPC
a_lava_beetle01,38,Warrior,Beetle,NPC
an_imp_protector09,44,Rogue,Imp,NPC
an_imp_protector08,46,Rogue,Imp,NPC
a_lava_beetle05,38,Warrior,Beetle,NPC
an_imp_protector07,45,Rogue,Imp,NPC
a_lava_guardian02,42,Warrior,Elemental,NPC
an_imp_protector06,47,Rogue,Imp,NPC
an_imp_protector05,47,Rogue,Imp,NPC
an_imp_protector04,46,Rogue,Imp,NPC
a_lava_guardian01,46,Warrior,Elemental,NPC
an_imp_protector03,46,Rogue,Imp,NPC
an_imp_protector02,44,Rogue,Imp,NPC
an_imp_protector01,44,Rogue,Imp,NPC
a_lava_duct_crawler00,43,Warrior,Spider,NPC
a_lava_guardian00,44,Warrior,Elemental,NPC
an_imp_protector00,44,Rogue,Imp,NPC
a_lava_duct_crawler08,43,Warrior,Spider,NPC
a_lava_duct_crawler04,45,Warrior,Spider,NPC
a_lava_beetle00,42,Warrior,Beetle,NPC
a_sonic_bat15,42,Warrior,Bat,NPC
a_sonic_bat10,42,Warrior,Bat,NPC
a_sonic_bat01,38,Warrior,Bat,NPC
a_sonic_bat00,42,Warrior,Bat,NPC
a_greater_kobold39,33,Warrior,Kobold,NPC
a_greater_kobold16,33,Warrior,Kobold,NPC
a_greater_kobold05,35,Warrior,Kobold,NPC
a_greater_kobold00,37,Warrior,Kobold,NPC
Zordak_Ragefire00,60,Shopkeeper,Human,NPC
Lord_Nagafen00,55,Warrior,Dragon,NPC
Neiroth00,52,Warrior,Giant,NPC
Magus_Rokyl00,51,Wizard,Giant,NPC
a_fire_giant_warrior15,49,Warrior,Giant,NPC
a_fire_giant_warrior14,49,Warrior,Giant,NPC
a_fire_giant_warrior13,48,Warrior,Giant,NPC
a_sonic_bat11,38,Warrior,Bat,NPC
a_fire_giant_warrior12,48,Warrior,Giant,NPC
a_fire_giant_warrior11,51,Warrior,Giant,NPC
a_fire_giant_warrior10,50,Warrior,Giant,NPC
a_lava_beetle06,38,Warrior,Beetle,NPC
a_fire_giant_warrior08,51,Warrior,Giant,NPC
a_fire_giant_warrior07,51,Warrior,Giant,NPC
a_lava_duct_crawler06,44,Warrior,Spider,NPC
a_lava_duct_crawler05,43,Warrior,Spider,NPC
a_fire_giant_warrior05,51,Warrior,Giant,NPC
a_fire_giant_warrior04,51,Warrior,Giant,NPC
a_fire_giant_wizard00,48,Wizard,Giant,NPC
a_fire_giant_warrior03,50,Warrior,Giant,NPC
a_lava_duct_crawler01,43,Warrior,Spider,NPC
