Name,Level,Class,Race,Type
a_flame_mephit17,61,Warrior,Fire Mephit,NPC
a_flame_mephit16,61,Warrior,Fire Mephit,NPC
a_flame_mephit15,61,Warrior,Fire Mephit,NPC
a_flame_mephit14,61,Warrior,Fire Mephit,NPC
a_whirl_of_cinders01,61,Warrior,Dervish,NPC
a_flame_mephit13,61,Warrior,Fire Mephit,NPC
a_flame_mephit12,61,Warrior,Fire Mephit,NPC
#The_Fabled_Jiva00,85,Warrior,Efreeti,NPC
a_flame_mephit11,61,Warrior,Fire Mephit,NPC
a_lava_mephit02,66,Magician,Fire Mephit,NPC
a_lava_mephit01,66,Magician,Fire Mephit,NPC
a_magma_giant07,70,Warrior,Giant,NPC
an_inferno_mephit15,61,Warrior,Fire Mephit,NPC
a_magma_giant05,70,Warrior,Giant,NPC
Guardian_of_Dresolik03,68,Warrior,Giant,NPC
Guardian_of_Dresolik02,68,Warrior,Giant,NPC
Guardian_of_Dresolik01,68,Warrior,Giant,NPC
Guardian_of_Dresolik00,68,Warrior,Giant,NPC
a_magma_giant04,70,Warrior,Giant,NPC
a_magma_giant03,70,Warrior,Giant,NPC
a_torrid_elemental05,63,Warrior,Elemental,NPC
a_magma_giant02,70,Warrior,Giant,NPC
a_magma_giant01,70,Warrior,Giant,NPC
a_magma_giant00,70,Warrior,Giant,NPC
#Grezou00,70,Shadow Knight,Fiend,NPC
#Instadis00,70,Rogue,Fiend,NPC
#Naelizar00,70,Warrior,Fiend,NPC
#Veleroth00,70,Enchanter,Fiend,NPC
#Balrezu00,70,Necromancer,Fiend,NPC
a_lava_mephit16,66,Magician,Fire Mephit,NPC
#Quazlith00,70,Beastlord,Fiend,NPC
a_flame_mephit05,61,Warrior,Fire Mephit,NPC
#Zrexul00,70,Shaman,Fiend,NPC
a_sun_guardian23,65,Warrior,Solusek Ro Guard,NPC
a_protector_of_Ro63,65,Warrior,Solusek Ro Guard,NPC
a_plasma_elemental05,63,Warrior,Elemental,NPC
a_plasma_elemental04,63,Warrior,Elemental,NPC
a_protector_of_Ro61,65,Warrior,Solusek Ro Guard,NPC
a_plasma_elemental03,63,Warrior,Elemental,NPC
a_protector_of_Ro60,65,Warrior,Solusek Ro Guard,NPC
a_magma_giant08,70,Warrior,Giant,NPC
