Name,Level,Class,Race,Type
a_seeker02,54,Cleric,Human,NPC
an_undead_knight00,35,Warrior,Ancient Skeleton,NPC
an_undead_knight_00,40,Warrior,Ancient Skeleton,NPC
Lord_Searfire00,40,Paladin,Dwarf,NPC
Torzan_Searfire00,35,Wizard,Elddar,NPC
Lon_the_Redeemed00,45,Rogue,Dark Elf,NPC
Walthin_Fireweaver00,35,Bard,Half Elf,NPC
Cryssia_Stardreamer00,34,Bard,Wood Elf,NPC
Ostorm00,34,Wizard,Erudite,NPC
Vilissia00,36,Wizard,Human,NPC
a_ward_of_ro05,34,Warrior,Imp,NPC
a_ward_of_ro04,34,Warrior,Imp,NPC
Vira00,35,Wizard,Gnome,NPC
Vurgo00,35,Wizard,Erudite,NPC
Syllina00,35,Wizard,Dark Elf,NPC
a_keeper10,34,Wizard,Gnome,NPC
a_keeper09,35,Wizard,Erudite,NPC
a_seeker06,35,Cleric,Human,NPC
a_keeper08,35,Wizard,Gnome,NPC
a_seeker05,35,Cleric,Human,NPC
Tazgar00,46,Warrior,Efreeti,NPC
a_ward_of_ro03,35,Warrior,Imp,NPC
Solomen00,35,Wizard,Human,NPC
Genni00,35,Wizard,Erudite,NPC
Sultin00,35,Wizard,Dark Elf,NPC
Romar_Sunto00,34,Wizard,Erudite,NPC
a_seeker04,35,Cleric,Human,NPC
Moltak00,1,Necromancer,Erudite,NPC
a_seeker03,35,Cleric,Human,NPC
a_keeper07,36,Wizard,High Elf,NPC
a_keeper06,34,Wizard,Erudite,NPC
a_ward_of_ro02,34,Warrior,Imp,NPC
Blaize_the_Radiant00,40,Cleric,High Elf,NPC
Gavel_the_Temperant00,40,Cleric,Dwarf,NPC
a_seeker01,35,Cleric,Human,NPC
a_seeker00,35,Cleric,Human,NPC
a_keeper05,34,Wizard,Gnome,NPC
a_keeper04,35,Wizard,Dark Elf,NPC
a_ward_of_ro01,36,Warrior,Imp,NPC
Gardern00,35,Wizard,High Elf,NPC
Joyce00,35,Wizard,High Elf,NPC
a_keeper03,36,Wizard,Gnome,NPC
a_keeper02,36,Wizard,High Elf,NPC
a_ward_of_ro00,36,Warrior,Imp,NPC
a_keeper01,35,Wizard,Gnome,NPC
a_keeper00,34,Wizard,Dark Elf,NPC
Lord_Lyfyx_of_Burwood00,45,Paladin,High Elf,NPC
Terblyn_Zelbus00,36,Shopkeeper,Gnome,NPC
