Name,Level,Class,Race,Type
an_adult_elephant01,17,Warrior,Mammoth,NPC
a_shadow_wolf03,3,Warrior,Ancient Wolf,NPC
a_shadow_wolf01,3,Warrior,Ancient Wolf,NPC
an_adult_elephant22,18,Warrior,Mammoth,NPC
an_escaped_Splitpaw_gnoll01,4,Warrior,Gnoll,NPC
aviak_avocet02,29,Warrior,Aviak,NPC
Vhalen_Nostrolo00,31,Bard,Human,NPC
an_adult_elephant10,15,Warrior,Mammoth,NPC
#Zrithsadioun00,50,Necromancer,Gnoll,NPC
centaur_archer07,22,Warrior,Centaur,NPC
an_elephant_calf12,12,Warrior,Mammoth,NPC
a_putrid_skeleton03,9,Warrior,Ancient Skeleton,NPC
aviak_rook10,22,Warrior,Aviak,NPC
an_adult_elephant21,18,Warrior,Mammoth,NPC
aviak_darter09,17,Warrior,Aviak,NPC
centaur_sheltie00,18,Warrior,Centaur,NPC
a_putrid_skeleton00,7,Warrior,Ancient Skeleton,NPC
aviak_avocet01,28,Warrior,Aviak,NPC
aviak_rook09,21,Warrior,Aviak,NPC
aviak_harrier04,25,Warrior,Aviak,NPC
a_lion15,9,Warrior,Lion,NPC
a_lion14,9,Warrior,Lion,NPC
a_lion10,8,Warrior,Lion,NPC
a_bull_elephant05,21,Warrior,Mammoth,NPC
a_shadow_wolf10,4,Warrior,Ancient Wolf,NPC
a_lion02,8,Warrior,Lion,NPC
aviak_darter07,17,Warrior,Aviak,NPC
a_lion06,10,Warrior,Lion,NPC
a_lioness12,8,Warrior,Lion,NPC
a_shadow_wolf02,3,Warrior,Ancient Wolf,NPC
an_adult_elephant20,16,Warrior,Mammoth,NPC
an_adult_elephant04,18,Warrior,Mammoth,NPC
aviak_rook05,22,Warrior,Aviak,NPC
an_adult_elephant06,15,Warrior,Mammoth,NPC
a_lion05,9,Warrior,Lion,NPC
aviak_rook04,20,Warrior,Aviak,NPC
centaur_foal00,15,Warrior,Centaur,NPC
centaur_archer01,22,Warrior,Centaur,NPC
a_gnoll_guard03,16,Warrior,Gnoll,NPC
aviak_darter06,18,Warrior,Aviak,NPC
a_gnoll_guard00,16,Warrior,Gnoll,NPC
