Name,Level,Class,Race,Type
Tran00,35,Shopkeeper,Human,NPC
Synthan00,35,Shopkeeper,Human,NPC
Transan00,50,Shopkeeper,Human,NPC
Isslana00,50,Shopkeeper,Human,NPC
a_sand_scarab17,11,Warrior,Beetle,NPC
a_Dervish_Cutthroat03,11,Warrior,Orc,NPC
an_orc_cleric08,10,Cleric,Orc,NPC
a_caiman17,13,Warrior,Alligator,NPC
a_Dervish_Cutthroat02,10,Rogue,Human,NPC
a_cistern_asp08,13,Warrior,Snake,NPC
a_sand_scarab09,10,Warrior,Beetle,NPC
a_Dervish_Cutthroat01,11,Rogue,Human,NPC
a_crocodile07,13,Warrior,Alligator,NPC
a_Dervish_Cutthroat00,11,Rogue,Human,NPC
a_tree_snake05,4,Warrior,Snake,NPC
an_orc_warrior15,9,Warrior,Orc,NPC
an_orc_cleric15,10,Cleric,Orc,NPC
an_orc_warrior14,10,Warrior,Orc,NPC
a_desert_madman03,9,Monk,Beggar,NPC
a_ghoul03,13,Warrior,Ghoul,NPC
a_sand_scarab08,11,Warrior,Beetle,NPC
a_zombie06,7,Warrior,Zombie,NPC
a_spectre07,35,Warrior,Spectre,NPC
an_orc_cleric13,10,Cleric,Orc,NPC
a_spectre06,36,Warrior,Spectre,NPC
an_orc_warrior36,11,Warrior,Orc,NPC
a_spectre05,33,Warrior,Spectre,NPC
a_spectre04,33,Warrior,Spectre,NPC
a_puma05,6,Warrior,Puma,NPC
a_spectre03,36,Warrior,Spectre,NPC
a_puma01,6,Warrior,Puma,NPC
a_spectre02,33,Warrior,Spectre,NPC
a_desert_madman10,8,Wizard,Beggar,NPC
a_spectre01,37,Warrior,Spectre,NPC
a_desert_madman15,12,Wizard,Beggar,NPC
a_cistern_asp03,13,Warrior,Snake,NPC
a_spectre00,36,Warrior,Spectre,NPC
crypt_mummy00,13,Warrior,Zombie,NPC
a_sand_scarab06,11,Warrior,Beetle,NPC
a_desert_madman13,12,Wizard,Beggar,NPC
Smith_Tv`ysa00,40,Shopkeeper,Dark Elf,NPC
a_fire_beetle02,2,Warrior,Beetle,NPC
Artist_Passia00,40,Shopkeeper,Dark Elf,NPC
an_orc_warrior04,14,Warrior,Orc,NPC
Merchant_Ulyssa00,40,Shopkeeper,Dark Elf,NPC
a_sand_scarab16,9,Warrior,Beetle,NPC
a_caiman09,12,Warrior,Alligator,NPC
a_sand_scarab04,11,Warrior,Beetle,NPC
a_cistern_asp05,13,Warrior,Snake,NPC
a_zombie07,6,Warrior,Zombie,NPC
Friggal_Bribbitz00,65,Warrior,Froglok,NPC
a_sand_scarab10,9,Warrior,Beetle,NPC
a_Dervish_Cutthroat04,14,Warrior,Orc,NPC
a_puma10,7,Warrior,Puma,NPC
Ghoul_of_Takish-Hiz00,40,Warrior,Ghoul,NPC
an_orc_warrior31,13,Warrior,Orc,NPC
a_desert_madman33,9,Monk,Beggar,NPC
an_orc_warrior09,11,Warrior,Orc,NPC
an_orc_warrior38,11,Warrior,Orc,NPC
a_Dervish_Cutthroat13,15,Cleric,Orc,NPC
a_sand_scarab05,9,Warrior,Beetle,NPC
a_ghoul02,17,Warrior,Ghoul,NPC
a_cistern_asp12,9,Warrior,Snake,NPC
a_ghoul01,17,Warrior,Ghoul,NPC
a_desert_madman11,10,Monk,Beggar,NPC
an_orc_warrior25,13,Warrior,Orc,NPC
a_zombie03,8,Warrior,Zombie,NPC
a_crocodile05,14,Warrior,Alligator,NPC
an_orc_warrior01,11,Warrior,Orc,NPC
an_orc_cleric03,10,Cleric,Orc,NPC
a_desert_madman08,8,Monk,Beggar,NPC
an_orc_warrior20,14,Warrior,Orc,NPC
a_coyote02,1,Warrior,Ancient Wolf,NPC
