Name,Level,Class,Race,Type
a_Citizen_of_Seru57,40,Warrior,Human,NPC
a_Citizen_of_Seru56,39,Warrior,Dwarf,NPC
a_Citizen_of_Seru55,38,Warrior,Erudite,NPC
a_Citizen_of_Seru54,37,Ranger,Half Elf,NPC
a_Citizen_of_Seru53,38,Ranger,Half Elf,NPC
a_Citizen_of_Seru52,40,Cleric,Halfling,NPC
a_Citizen_of_Seru51,37,Warrior,Half Elf,NPC
a_Citizen_of_Seru50,38,Warrior,Erudite,NPC
a_Praesertum_Librarii05,43,Warrior,Erudite,NPC
a_Citizen_of_Seru49,38,Enchanter,Gnome,NPC
#Legionnaire_Vindic00,52,Paladin,Half Elf,NPC
a_Citizen_of_Seru48,39,Wizard,High Elf,NPC
a_Citizen_of_Seru47,39,Cleric,Halfling,NPC
a_Citizen_of_Seru46,37,Warrior,Dwarf,NPC
a_Citizen_of_Seru45,39,Warrior,Half Elf,NPC
a_Citizen_of_Seru44,37,Ranger,Half Elf,NPC
a_Castrorum_Vigilum11,42,Warrior,Barbarian,NPC
a_Citizen_of_Seru43,37,Cleric,Erudite,NPC
a_Citizen_of_Seru42,37,Ranger,Half Elf,NPC
a_Citizen_of_Seru41,37,Warrior,Gnome,NPC
#Optio_Wiknari00,52,Warrior,Gnome,NPC
a_Citizen_of_Seru40,41,Ranger,Half Elf,NPC
a_Citizen_of_Seru39,39,Wizard,High Elf,NPC
#Sentry_Vak00,52,Warrior,Human,NPC
a_Citizen_of_Seru38,39,Cleric,Erudite,NPC
a_Citizen_of_Seru37,39,Warrior,High Elf,NPC
a_Citizen_of_Seru36,40,Warrior,Dwarf,NPC
a_Captured_Netherbian05,46,Warrior,Netherbian,NPC
#Centurion_Vashil00,50,Paladin,Half Elf,NPC
a_Citizen_of_Seru35,38,Magician,Human,NPC
a_Citizen_of_Seru34,37,Warrior,Human,NPC
Filtin_Meran00,60,Shopkeeper,Human,NPC
Gaif_Dula00,60,Shopkeeper,Human,NPC
Aldis_Rynka00,60,Shopkeeper,Human,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
Centurion_Jelin00,50,Warrior,Half Elf,NPC
#Centurion_Antru00,50,Paladin,Erudite,NPC
a_Citizen_of_Seru31,40,Warrior,Gnome,NPC
#Questioner_Uila00,52,Warrior,Halfling,NPC
a_Citizen_of_Seru30,38,Paladin,Barbarian,NPC
a_Guardian_of_the_Arx01,60,Warrior,Human,NPC
a_Citizen_of_Seru29,37,Warrior,Dwarf,NPC
A_Vigilum_Seniori01,60,Ranger,Half Elf,NPC
a_Citizen_of_Seru28,37,Warrior,Barbarian,NPC
a_Citizen_of_Seru27,38,Cleric,Erudite,NPC
#Vigilum_Greel00,45,Warrior,Human,NPC
a_Citizen_of_Seru26,40,Warrior,Barbarian,NPC
A_Veteran_Centurion00,56,Warrior,Human,NPC
a_Citizen_of_Seru25,37,Magician,Human,NPC
A_Watcher01,39,Warrior,Halfling,NPC
a_Citizen_of_Seru24,38,Warrior,Half Elf,NPC
A_Hand_Centurion02,40,Warrior,Half Elf,NPC
