Name,Level,Class,Race,Type
a_Shissar_Tormentor00,55,Shadow Knight,Shissar,NPC
a_temple_patroller19,52,Warrior,Shissar,NPC
a_Shissar_Lich10,53,Necromancer,Shissar,NPC
a_temple_patroller18,51,Warrior,Shissar,NPC
#Zel`Zachum00,55,Shadow Knight,Shissar,NPC
#Zel`Rekushoz00,55,Shadow Knight,Shissar,NPC
an_elite_temple_guard12,56,Shadow Knight,Shissar,NPC
a_temple_guard30,51,Warrior,Shissar,NPC
Taskmaster_Revan`Kezh00,60,Warrior,Shissar,NPC
a_temple_patroller07,54,Warrior,Shissar,NPC
a_temple_patroller04,50,Warrior,Shissar,NPC
a_Shissar_Arcanist09,51,Wizard,Shissar,NPC
a_Poxed_Soriz04,54,Shaman,Iksar Skeleton,NPC
a_temple_skirmisher22,55,Warrior,Shissar,NPC
a_temple_skirmisher21,54,Warrior,Shissar,NPC
a_Shissar_Arch_Arcanist12,53,Wizard,Shissar,NPC
a_temple_skirmisher20,53,Warrior,Shissar,NPC
a_Shissar_Arch_Arcanist11,53,Wizard,Shissar,NPC
a_temple_skirmisher19,54,Warrior,Shissar,NPC
a_temple_skirmisher18,55,Warrior,Shissar,NPC
a_Shissar_Spirit_Destroyer17,55,Shaman,Shissar,NPC
a_Shissar_Spirit_Destroyer16,55,Shaman,Shissar,NPC
an_elite_temple_guard11,58,Shadow Knight,Shissar,NPC
a_Shissar_Spirit_Destroyer15,53,Shaman,Shissar,NPC
a_Shissar_Lich01,53,Necromancer,Shissar,NPC
a_Shissar_Arch_Arcanist07,55,Wizard,Shissar,NPC
a_Shissar_Spirit_Destroyer14,55,Shaman,Shissar,NPC
a_temple_skirmisher17,55,Warrior,Shissar,NPC
a_Shissar_Templar05,56,Cleric,Shissar,NPC
a_temple_skirmisher16,55,Warrior,Shissar,NPC
a_temple_skirmisher15,55,Warrior,Shissar,NPC
a_Shissar_Spirit_Binder00,54,Shaman,Shissar,NPC
a_Shissar_Spirit_Destroyer13,55,Shaman,Shissar,NPC
an_elite_temple_guard10,58,Shadow Knight,Shissar,NPC
