Name,Level,Class,Race,Type
runaway_clockwork00,1,Warrior,Spider,NPC
a_grikbar_kobold09,3,Warrior,Kobold,NPC
a_grikbar_kobold27,3,Warrior,Kobold,NPC
Yama_Twerik00,65,Paladin,Gnome,NPC
a_small_coyote01,5,Warrior,Ancient Wolf,NPC
a_giant_diseased_rat03,10,Warrior,Rat,NPC
a_grikbar_kobold26,5,Warrior,Kobold,NPC
a_krag_chick07,4,Warrior,Aviak,NPC
a_decaying_gnome_skeleton14,1,Warrior,Ancient Skeleton,NPC
a_decaying_gnome_skeleton13,1,Warrior,Ancient Skeleton,NPC
a_decaying_gnome_skeleton12,1,Warrior,Ancient Skeleton,NPC
a_minotaur_slaver10,9,Warrior,Minotaur,NPC
a_grikbar_kobold11,5,Warrior,Kobold,NPC
a_decaying_gnome_skeleton11,1,Warrior,Ancient Skeleton,NPC
a_decaying_gnome_skeleton02,1,Warrior,Ancient Skeleton,NPC
a_decaying_gnome_skeleton10,1,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton01,10,Warrior,Ancient Skeleton,NPC
a_decaying_gnome_skeleton09,1,Warrior,Ancient Skeleton,NPC
a_krag_chick03,4,Warrior,Aviak,NPC
a_decaying_gnome_skeleton08,1,Warrior,Ancient Skeleton,NPC
a_giant_yellow_recluse00,9,Warrior,Spider,NPC
a_mountain_brownie02,11,Ranger,Brownie,NPC
a_female_rat01,7,Warrior,Rat,NPC
a_kobold_runt12,1,Warrior,Kobold,NPC
a_decaying_gnome_skeleton07,1,Warrior,Ancient Skeleton,NPC
a_kobold_runt01,1,Warrior,Kobold,NPC
a_gnome_skeleton36,1,Warrior,Ancient Skeleton,NPC
a_krag_warrior07,10,Warrior,Aviak,NPC
a_kobold_runt11,1,Warrior,Kobold,NPC
rogue_cleaner03,2,Warrior,Rat,NPC
a_large_rat05,1,Warrior,Rat,NPC
runaway_clockwork02,1,Warrior,Spider,NPC
a_coyote10,9,Warrior,Ancient Wolf,NPC
a_gnome_skeleton18,1,Warrior,Ancient Skeleton,NPC
Xobantik00,41,Warrior,Elemental,NPC
a_krag_chick04,3,Warrior,Aviak,NPC
a_krag_warrior04,9,Warrior,Aviak,NPC
Gorehorn00,14,Warrior,Minotaur,NPC
a_small_coyote05,4,Warrior,Ancient Wolf,NPC
an_earth_elemental00,10,Warrior,Elemental,NPC
Halorniop00,8,Wizard,Gnome,NPC
a_lesser_ebon_drake00,8,Warrior,Drake,NPC
Fearonoliop00,11,Necromancer,Gnome,NPC
a_gnome_skeleton06,10,Warrior,Ancient Skeleton,NPC
a_gnome_skeleton23,1,Warrior,Ancient Skeleton,NPC
a_coyote09,9,Warrior,Ancient Wolf,NPC
a_young_plague_rat04,2,Warrior,Rat,NPC
a_krag_chick02,4,Warrior,Aviak,NPC
a_young_plague_rat02,2,Warrior,Rat,NPC
a_decaying_gnome_skeleton32,1,Warrior,Ancient Skeleton,NPC
