Name,Level,Class,Race,Type
a_scorned_shiphand00,60,Warrior,Dark Elf,NPC
a_kejek_leopardess34,16,Warrior,Puma,NPC
a_kobold_spiritslaver01,21,Shaman,Kobold,NPC
Cedric_Trallus00,60,Warrior,Erudite,NPC
a_kobold_spiritslaver00,22,Shaman,Kobold,NPC
a_highland_graniteback17,30,Warrior,Gorilla,NPC
an_emerald_adder02,22,Warrior,Snake,NPC
a_kejekan_mujahed00,26,Shaman,Kerran,NPC
an_elder_graniteback28,33,Warrior,Gorilla,NPC
a_feral_leopard04,22,Warrior,Puma,NPC
a_kejekan_`amir00,25,Monk,Kerran,NPC
a_feral_leopard03,21,Warrior,Puma,NPC
a_valley_spiritling07,16,Warrior,Will-O-Wisp,NPC
a_feral_leopard02,22,Warrior,Puma,NPC
a_Kejek_tigress03,22,Warrior,Ancient Tiger,NPC
a_highland_kobold_shaman06,25,Shaman,Kobold,NPC
a_Kejek_tigress02,22,Warrior,Ancient Tiger,NPC
a_valley_spiritling04,18,Warrior,Will-O-Wisp,NPC
a_mountain_spiritling18,25,Warrior,Will-O-Wisp,NPC
a_panda_cub07,29,Warrior,Ulthork,NPC
a_panda_cub13,28,Warrior,Ulthork,NPC
a_panda_cub06,29,Warrior,Ulthork,NPC
a_mountain_spiritling27,25,Warrior,Will-O-Wisp,NPC
a_Kejek_tigress01,20,Warrior,Ancient Tiger,NPC
a_raging_kobold_savage01,20,Warrior,Kobold,NPC
a_Kejek_tigress00,21,Warrior,Ancient Tiger,NPC
a_panda_cub05,30,Warrior,Ulthork,NPC
a_panda_cub04,29,Warrior,Ulthork,NPC
a_young_gorilla01,20,Warrior,Gorilla,NPC
a_young_gorilla00,20,Warrior,Gorilla,NPC
a_hunting_kobold05,18,Warrior,Kobold,NPC
an_elder_graniteback13,25,Warrior,Gorilla,NPC
a_highland_tigress01,29,Warrior,Ancient Tiger,NPC
a_highland_kobold01,22,Warrior,Kobold,NPC
a_highland_tigress00,30,Warrior,Ancient Tiger,NPC
a_panda_cub03,30,Warrior,Ulthork,NPC
a_panda_cub02,29,Warrior,Ulthork,NPC
a_kejek_tiger05,26,Warrior,Ancient Tiger,NPC
a_highland_tiger06,33,Warrior,Ancient Tiger,NPC
a_kejek_tiger04,26,Warrior,Ancient Tiger,NPC
an_elder_graniteback01,27,Warrior,Gorilla,NPC
