Name,Level,Class,Race,Type
unhatched_swamp_leech_eggs58,25,Warrior,Rock Pile,NPC
a_froglok_fisher09,5,Warrior,Froglok,NPC
unhatched_swamp_leech_eggs57,25,Warrior,Rock Pile,NPC
a_mosquito08,1,Warrior,Mosquito,NPC
unhatched_swamp_leech_eggs50,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs55,25,Warrior,Rock Pile,NPC
a_mosquito32,1,Warrior,Mosquito,NPC
froglok_ton_shaman11,17,Shaman,Froglok,NPC
unhatched_swamp_leech_eggs53,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs52,25,Warrior,Rock Pile,NPC
froglok_tuk_warrior01,11,Warrior,Froglok,NPC
icebone_skeleton02,24,Warrior,Iksar Skeleton,NPC
unhatched_swamp_leech_eggs51,25,Warrior,Rock Pile,NPC
a_swamp_leech03,1,Warrior,Leech,NPC
icebone_skeleton01,23,Warrior,Iksar Skeleton,NPC
unhatched_swamp_leech_eggs49,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs48,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs47,25,Warrior,Rock Pile,NPC
a_man-eating_fern01,12,Warrior,Man-Eating Plant,NPC
unhatched_swamp_leech_eggs45,25,Warrior,Rock Pile,NPC
an_Iksar_brigand05,13,Warrior,Iksar,NPC
a_mosquito29,1,Warrior,Mosquito,NPC
unhatched_swamp_leech_eggs43,25,Warrior,Rock Pile,NPC
greater_skeleton03,12,Warrior,Iksar Skeleton,NPC
unhatched_swamp_leech_eggs42,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs07,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs41,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs56,25,Warrior,Rock Pile,NPC
unhatched_swamp_leech_eggs06,25,Warrior,Rock Pile,NPC
a_mosquito02,1,Warrior,Mosquito,NPC
unhatched_swamp_leech_eggs40,25,Warrior,Rock Pile,NPC
