Name,Level,Class,Race,Type
an_ancient_shard_wyvern04,64,Shadow Knight,Wyvern,NPC
a_shimmer_drake01,62,Druid,Fae Drake,NPC
an_ancient_shard_wyvern03,64,Shadow Knight,Wyvern,NPC
an_elder_shard_wyvern03,61,Shadow Knight,Wyvern,NPC
an_ancient_shard_wyvern02,64,Shadow Knight,Wyvern,NPC
an_elder_racnar00,63,Warrior,Raptor,NPC
A_Lava_Defender02,65,Monk,Drake,NPC
an_elder_shard_wyvern00,61,Shadow Knight,Wyvern,NPC
a_fiery_guardian03,62,Warrior,Wurm,NPC
a_shimmer_drake00,60,Ranger,Fae Drake,NPC
A_Sky_Defender00,65,Cleric,Drake,NPC
a_greater_malevolent_drake00,62,Shadow Knight,Drake,NPC
Belijor_the_Emerald_Eye00,63,Warrior,Drake,NPC
a_raging_wyvern03,61,Rogue,Wyvern,NPC
Nelaarn_the_Ebon_Claw00,63,Warrior,Drake,NPC
a_burning_guardian00,64,Warrior,Wurm,NPC
an_ancient_guardian_wurm01,62,Cleric,Wurm,NPC
a_lava_dancer03,62,Monk,Drake,NPC
a_raging_wyvern02,61,Rogue,Wyvern,NPC
an_ancient_guardian_wurm00,62,Cleric,Wurm,NPC
an_elder_crimson_drake00,62,Warrior,Drake,NPC
a_raging_wyvern01,61,Rogue,Wyvern,NPC
a_fiery_guardian01,62,Warrior,Wurm,NPC
a_fiery_guardian00,62,Warrior,Wurm,NPC
a_shimmering_green_drake12,62,Rogue,Drake,NPC
a_fiery_watcher01,64,Warrior,Drake,NPC
an_ancient_sky_drake09,62,Cleric,Drake,NPC
a_shimmering_green_drake11,62,Rogue,Drake,NPC
a_glimmering_drake05,64,Ranger,Fae Drake,NPC
an_onyx_sky_drake12,60,Shadow Knight,Drake,NPC
an_emerald_sky_defender05,60,Rogue,Drake,NPC
a_glimmering_drake04,60,Ranger,Fae Drake,NPC
a_cerulean_sky_gazer11,60,Cleric,Drake,NPC
an_ancient_sky_drake06,62,Cleric,Drake,NPC
an_onyx_sky_drake04,60,Shadow Knight,Drake,NPC
a_fiery_watcher03,60,Warrior,Drake,NPC
an_ancient_sky_drake04,62,Cleric,Drake,NPC
a_cerulean_sky_gazer10,60,Cleric,Drake,NPC
an_onyx_sky_drake03,60,Shadow Knight,Drake,NPC
a_cerulean_sky_gazer09,64,Cleric,Drake,NPC
