Name,Level,Class,Race,Type
a_coterie_centurion15,40,Warrior,Vampire,NPC
a_coterie_centurion14,43,Warrior,Vampire,NPC
a_grol_baku_soldier07,34,Warrior,Tegi,NPC
a_grol_baku_soldier06,35,Warrior,Tegi,NPC
a_darkwing_bat19,35,Warrior,Bat,NPC
a_darkwing_bat18,36,Warrior,Bat,NPC
a_grol_baku_soldier05,37,Warrior,Tegi,NPC
a_darkwing_bat17,34,Warrior,Bat,NPC
a_grimling_geomancer03,32,Wizard,Grimling,NPC
a_grimling_orefinder24,32,Warrior,Grimling,NPC
a_grol_baku_soldier04,37,Warrior,Tegi,NPC
a_cral_ligi_soldier03,34,Warrior,Tegi,NPC
a_darkwing_bat16,32,Warrior,Bat,NPC
a_darkwing_bat15,34,Warrior,Bat,NPC
a_dire_sonic_wolf46,34,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf45,34,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf44,36,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf43,36,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf42,36,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf41,36,Warrior,Sonic Wolf,NPC
a_darkwing_bat07,35,Warrior,Bat,NPC
a_darkwing_bat06,33,Warrior,Bat,NPC
a_coterie_centurion13,39,Warrior,Vampire,NPC
a_coterie_centurion12,43,Warrior,Vampire,NPC
a_coterie_centurion11,40,Warrior,Vampire,NPC
a_coterie_scout01,38,Rogue,Vampire,NPC
a_coterie_scout00,40,Rogue,Vampire,NPC
a_coterie_centurion10,43,Warrior,Vampire,NPC
a_coterie_centurion09,40,Warrior,Vampire,NPC
a_coterie_centurion08,43,Warrior,Vampire,NPC
a_coterie_centurion07,39,Warrior,Vampire,NPC
a_dire_sonic_wolf40,35,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf39,34,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf38,36,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf37,35,Warrior,Sonic Wolf,NPC
#Hoober`s_Pet00,27,Magician,Elemental,NPC
a_dire_sonic_wolf36,34,Warrior,Sonic Wolf,NPC
Hoober00,32,Warrior,Human,NPC
a_dire_sonic_wolf35,35,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf34,34,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf33,36,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf32,34,Warrior,Sonic Wolf,NPC
a_dire_sonic_wolf31,36,Warrior,Sonic Wolf,NPC
Veynar_Aeridia00,44,Enchanter,Vampire,NPC
Yaroslav_Verilak00,44,Monk,Vampire,NPC
